"survey","tmean_year","tmean_winter","tmean_breeding","prec_year","prec_winter","prec_breeding","hh","unique","LULC_0","LULC_11","LULC_22","LULC_33","LULC_44","LULC_55","LULC_66","LULC_77"
"FG79_3",9.50776249127353,1.9023264965234,9.45176515146263,508.3186878818,127.357103713995,187.883845296863,0.446562720878419,2,0,0,0.663458372562529,0,0.336541627437471,0,0,0
"FG80_3",9.585139068518,2.1263465877027,9.42565911193582,538.761143846076,131.948192411471,202.88691604178,0.51304842453347,4,0,0.0106224435081908,0.633259238774472,0.000662732633134142,0.266688347413339,0.0887672376708643,0,0
"FG81_3",9.63158179638771,2.15284025143015,9.4775337162515,509.48309062185,124.598779556406,192.087649723236,0.271980620511845,3,0,0.015748319739784,0.840889141008144,0,0.143362539252072,0,0,0
"FG82_3",9.74695177716592,2.23716326925787,9.6115782310854,489.371428612696,120.332028773135,183.557141322873,0.569888634023282,5,0.12537894117163,0.0703059116884248,0.625601836743939,0,0.121773349009366,0.0569399613866409,0,0
"FG83_3",9.69783083620283,2.17112279868496,9.57339971951343,495.036698496658,123.776432422108,183.814831262678,0.725573572528382,4,0.269343761420228,0,0.361296299956449,0,0.173333964820509,0.196025973802813,0,0
"FG84_3",9.35231966747389,1.82930150947205,9.23435201432393,528.78227179594,133.542592389738,195.278374634762,0.408688090103447,3,0,0,0.737117538874651,0,0.213343762868673,0.0495386982566762,0,0
"FG85_3",9.42748104432179,1.88988291609315,9.32010936553062,486.400169120498,120.274670541831,182.638972567779,0.499371261465327,4,0,0.146128018813817,0.66766324171153,0.00317247501423881,0.1828404928043,0.000195771656113661,0,0
"FG86_3",9.49259025050648,1.92886427556277,9.3932637742749,500.661434731873,124.044080670319,186.884493840439,0.548062087040598,4,0,0.165715908367624,0.635287789911583,0,0.0761978223940951,0.122798479326698,0,0
"FG87_3",9.54163995264216,1.9487015191861,9.45734854317189,504.057513335565,125.560395466482,187.16055942151,0.457728836391,4,0,0.130955736139244,0.716568996905588,0,0.0798624050858238,0.072612861869344,0,0
"FG88_3",9.49396183847209,1.88626803003226,9.41965275465436,517.840697933784,129.291717833715,191.824344478712,0.447920038446476,3,0,0,0.688530166116537,0,0.277183348778791,0.0342864851046721,0,0
"FG89_3",9.47537347826545,1.8470968042781,9.42107902775103,520.060824859878,129.569471143038,192.760442100226,0.515133875621921,4,0,0.148424053805882,0.661171269808636,0,0.156692200018952,0.0337124763665306,0,0
"FG90_3",9.66176206881034,2.19940505190357,9.50190968005406,492.232926583324,120.515132478842,186.54353060525,0.506670377933629,5,0.00253502118674072,0.048709332348974,0.672655435648792,0,0.151644191659225,0.124456019156268,0,0
"FG91_3",9.72472360306616,2.23888538199592,9.57598794560586,487.667898117098,119.187612024611,184.499234135542,0.642164929723727,5,0.106397611333234,0,0.532773434563377,0,0.115956827306653,0.220517460621275,0,0.0243546661754606
