atlas,period,survey,site,X,Y,variable,variable_label,n_species_contributing,expected_richness,positive_importance,negative_importance,total_importance,net_score,direction_balance,total_site_importance,relative_importance_at_site
1,1970s,CC64_1,CC64,532499.8388375221,6322499.6503872825,perc_grass_shrub,Grass/Shrubland (% coverage),157,59.030369955390384,1.4745961409361663e-4,2.4860893825494465e-4,3.960685523485613e-4,-1.0114932416132807e-4,-0.2553833763411525,0.027483720156149142,0.014411024057088787
1,1970s,CC64_1,CC64,532499.8388375221,6322499.6503872825,perc_pasture,Pasture (% coverage),157,59.030369955390384,1.7296998327321248e-4,6.657162329699596e-5,2.395416065702085e-4,1.0639835997621654e-4,0.44417486172712833,0.027483720156149142,0.008715763557817119
1,1970s,CC64_1,CC64,532499.8388375221,6322499.6503872825,perc_urban,Urban (% coverage),157,59.030369955390384,0.0017304012173912744,0.0014836311446330295,0.003214032362024305,2.467700727582456e-4,0.07677896329669237,0.027483720156149142,0.11694313374476727
1,1970s,CC64_1,CC64,532499.8388375221,6322499.6503872825,prec_breeding,Precipitation,157,59.030369955390384,7.064599104346874e-5,0.003046985057413585,0.003117631048457053,-0.0029763390663701166,-0.9546796975360945,0.027483720156149142,0.11343555496651067
1,1970s,CC64_1,CC64,532499.8388375221,6322499.6503872825,tmean_breeding,Temperature,157,59.030369955390384,0.0053762989206482354,1.0098391264305066e-4,0.0054772828332912875,0.005275315008005184,0.9631262742068879,0.027483720156149142,0.19929190088430634
1,1970s,CC65_1,CC65,532499.8124718731,6327499.678605539,hh,Land-use heterogeneity,157,49.82561115348415,0.0012076206695396166,4.129280088736346e-5,0.0012489134704269803,0.0011663278686522532,0.9338740403316391,0.01769674222902327,0.07057307239174897
1,1970s,CC65_1,CC65,532499.8124718731,6327499.678605539,perc_cropland,Cropland (% coverage),157,49.82561115348415,0.002759254813870015,0.0015390297236956506,0.004298284537565666,0.0012202250901743653,0.2838865318268204,0.01769674222902327,0.2428856386073325
1,1970s,CC65_1,CC65,532499.8124718731,6327499.678605539,perc_forest,Forest (% coverage),157,49.82561115348415,0.0040118613485734395,6.483898059797247e-4,0.004660251154553163,0.003363471542593716,0.721736110575829,0.01769674222902327,0.2633394945941061
1,1970s,CC65_1,CC65,532499.8124718731,6327499.678605539,perc_grass_shrub,Grass/Shrubland (% coverage),157,49.82561115348415,9.555006556304426e-5,1.4682352560484773e-4,2.4237359116789214e-4,-5.1273460041803556e-5,-0.21154722259442219,0.01769674222902327,0.013695944034851287
1,1970s,CC65_1,CC65,532499.8124718731,6327499.678605539,perc_pasture,Pasture (% coverage),157,49.82561115348415,1.2874304889454524e-4,4.061796986642232e-5,1.6936101876096753e-4,8.812507902812293e-5,0.5203386214421676,0.01769674222902327,0.009570180577259559
1,1970s,CC65_1,CC65,532499.8124718731,6327499.678605539,perc_urban,Urban (% coverage),157,49.82561115348415,0.002334485448767501,4.800695534671472e-4,0.0028145550022346494,0.001854415895300354,0.6588664615997977,0.01769674222902327,0.15904367966770075
1,1970s,CC65_1,CC65,532499.8124718731,6327499.678605539,prec_breeding,Precipitation,157,49.82561115348415,4.656572747284892e-5,0.0018861966152430279,0.001932762342715877,-0.0018396308877701789,-0.9518143266311616,0.01769674222902327,0.10921571426553751
1,1970s,CC65_1,CC65,532499.8124718731,6327499.678605539,tmean_breeding,Temperature,157,49.82561115348415,0.0021687159116262292,1.6152519997184676e-4,0.0023302411115980757,0.002007190711654383,0.861366105706484,0.01769674222902327,0.13167627586146333
1,1970s,CC66_1,CC66,532499.7933676881,6332499.632118677,hh,Land-use heterogeneity,157,45.7751363081024,0.001167422633712759,4.214366715182648e-5,0.001209566300864586,0.001125278966560932,0.9303160692858206,0.017672616632434995,0.06844296608826102
1,1970s,CC66_1,CC66,532499.7933676881,6332499.632118677,perc_cropland,Cropland (% coverage),157,45.7751363081024,0.0028437467819129388,0.0013995325457654359,0.004243279327678374,0.001444214236147503,0.3403533269014548,0.017672616632434995,0.24010475731650158
1,1970s,CC66_1,CC66,532499.7933676881,6332499.632118677,perc_forest,Forest (% coverage),157,45.7751363081024,0.00428886229174905,6.042750435882344e-4,0.004893137335337286,0.0036845872481608157,0.753011206440384,0.017672616632434995,0.2768767883730805
1,1970s,CC66_1,CC66,532499.7933676881,6332499.632118677,perc_grass_shrub,Grass/Shrubland (% coverage),157,45.7751363081024,1.1361172367589896e-4,1.302055458389614e-4,2.438172695148603e-4,-1.6593822163062435e-5,-0.06805843653355763,0.017672616632434995,0.013796331046268292
1,1970s,CC66_1,CC66,532499.7933676881,6332499.632118677,perc_pasture,Pasture (% coverage),157,45.7751363081024,1.6481652268052733e-4,4.15128637552335e-5,2.06329386435761e-4,1.233036589252938e-4,0.5976059012014918,0.017672616632434995,0.011675089814208922
1,1970s,CC66_1,CC66,532499.7933676881,6332499.632118677,perc_urban,Urban (% coverage),157,45.7751363081024,0.002247427490477291,5.055304031652103e-4,0.002752957893642501,0.001741897087312079,0.6327365526856408,0.017672616632434995,0.15577534164295334
1,1970s,CC66_1,CC66,532499.7933676881,6332499.632118677,prec_breeding,Precipitation,157,45.7751363081024,9.71045130641447e-5,0.0017166454101933994,0.0018137499232575441,-0.0016195408971292548,-0.8929240334414544,0.017672616632434995,0.10263052500831843
1,1970s,CC66_1,CC66,532499.7933676881,6332499.632118677,tmean_breeding,Temperature,157,45.7751363081024,0.0021583257510153953,1.5145344468868652e-4,0.0023097791957040824,0.0020068723063267086,0.8688589411746608,0.017672616632434995,0.1306982007104079
1,1970s,CC67_1,CC67,532499.7801655097,6337499.62221521,hh,Land-use heterogeneity,157,52.88726834900458,5.966072162105418e-4,4.2313243962969204e-5,6.389204601735113e-4,5.542939722475725e-4,0.8675476945863388,0.017450115553948778,0.03661411055979686
1,1970s,CC67_1,CC67,532499.7801655097,6337499.62221521,perc_cropland,Cropland (% coverage),157,52.88726834900458,0.002555822480159616,6.42287664759187e-4,0.003198110144918803,0.001913534815400429,0.5983329931399257,0.017450115553948778,0.18327157404955433
1,1970s,CC67_1,CC67,532499.7801655097,6337499.62221521,perc_forest,Forest (% coverage),157,52.88726834900458,0.007252219647792908,2.0458170311006159e-4,0.007456801350902971,0.0070476379446828465,0.9451288311213256,0.017450115553948778,0.42732102992954535
1,1970s,CC67_1,CC67,532499.7801655097,6337499.62221521,perc_grass_shrub,Grass/Shrubland (% coverage),157,52.88726834900458,1.8077377891402468e-4,4.068764509335936e-5,2.2146142400738392e-4,1.4008613382066523e-4,0.6325532062685306,0.017450115553948778,0.012691115042918413
1,1970s,CC67_1,CC67,532499.7801655097,6337499.62221521,perc_pasture,Pasture (% coverage),157,52.88726834900458,2.9042378794249873e-4,2.5751845552208134e-5,3.161756334947068e-4,2.646719423902906e-4,0.8371041736039458,0.017450115553948778,0.018118827495280373
1,1970s,CC67_1,CC67,532499.7801655097,6337499.62221521,perc_urban,Urban (% coverage),157,52.88726834900458,0.0018731459189064634,2.880969823400645e-4,0.002161242901246529,0.0015850489365663986,0.7333969428666246,0.017450115553948778,0.12385264123694943
1,1970s,CC67_1,CC67,532499.7801655097,6337499.62221521,prec_breeding,Precipitation,157,52.88726834900458,4.954525441305192e-4,0.0013842661169701927,0.0018797186611007126,-8.888135728396735e-4,-0.4728439373577364,0.017450115553948778,0.10771955379260237
1,1970s,CC67_1,CC67,532499.7801655097,6337499.62221521,tmean_breeding,Temperature,157,52.88726834900458,0.0014044343107595908,1.7325066734456785e-4,0.0015776849781041578,0.0012311836434150238,0.7803735603127114,0.017450115553948778,0.09041114789335274
1,1970s,CC68_1,CC68,532499.7119922304,6342499.6483931905,hh,Land-use heterogeneity,157,43.992195160422924,0.0010337771081435079,4.2868861874428485e-5,0.0010766459700179355,9.909082462690795e-4,0.9203659084448831,0.018105309803476757,0.05946575792981944
1,1970s,CC68_1,CC68,532499.7119922304,6342499.6483931905,perc_cropland,Cropland (% coverage),157,43.992195160422924,0.0025363585945033626,0.0017795702256726735,0.004315928820176033,7.567883688306883e-4,0.17534774097590916,0.018105309803476757,0.23837917533712935
1,1970s,CC68_1,CC68,532499.7119922304,6342499.6483931905,perc_forest,Forest (% coverage),157,43.992195160422924,0.005298888942321817,5.896255235867327e-4,0.005888514465908551,0.004709263418735085,0.7997370892097286,0.018105309803476757,0.3252368796681834
