atlas,period,base_site,survey,trait_family,trait_value,n_species,trait_probability,expected_group_richness,expected_total_richness,site,X,Y
1,1970s,DC26,DC26_1,Thermal,CWM STI,157,12.076012383679126,NA,71.85346055835626,DC26,562499.7110273131,6332499.835998577
1,1970s,DC27,DC27_1,Thermal,CWM STI,157,12.056669921196914,NA,54.294671520439344,DC27,562499.653506505,6337499.858435164
1,1970s,DC28,DC28_1,Thermal,CWM STI,157,12.047449604265962,NA,63.019013792376676,DC28,562499.677609729,6342499.808717862
1,1970s,DC30,DC30_1,Thermal,CWM STI,157,12.124186743166275,NA,41.51597059533896,DC30,567499.8116184272,6302499.909548791
1,1970s,DC31,DC31_1,Thermal,CWM STI,157,12.13271376692027,NA,44.127495570070984,DC31,567499.7755507686,6307499.948179211
1,1970s,DC32,DC32_1,Thermal,CWM STI,157,12.101053100469771,NA,55.405364251440155,DC32,567499.8096190846,6312499.914980982
1,1970s,DC33,DC33_1,Thermal,CWM STI,157,11.993664025004877,NA,60.40435147109654,DC33,567499.7285674406,6317499.918270218
1,1970s,DC34,DC34_1,Thermal,CWM STI,157,11.77073775224015,NA,37.71068723609087,DC34,567499.7138947316,6322499.9609747855
1,1970s,DC35,DC35_1,Thermal,CWM STI,157,12.109628546647093,NA,39.06026932118189,DC35,567499.7056084871,6327499.930768742
1,1970s,DC36,DC36_1,Thermal,CWM STI,157,12.119979276769847,NA,41.91996999415587,DC36,567499.7009201018,6332499.938928539
1,1970s,DC37,DC37_1,Thermal,CWM STI,157,12.134954179882955,NA,42.10747477119141,DC37,567499.6402083595,6337499.873123914
1,1970s,DC39,DC39_1,Thermal,CWM STI,157,12.191546881039791,NA,35.60509393895092,DC39,567499.6437902323,6347499.858365299
1,1970s,DC40,DC40_1,Thermal,CWM STI,157,12.016656680663443,NA,66.51988549818836,DC40,572499.8148650045,6302499.969526697
1,1970s,DC41,DC41_1,Thermal,CWM STI,157,11.938241018396898,NA,56.40720605047949,DC41,572499.821296516,6307499.929013042
1,1970s,DC42,DC42_1,Thermal,CWM STI,157,12.100020614176875,NA,64.5533843463598,DC42,572499.8176624437,6312499.927039073
