atlas,period,response,survey,site,base_site,X,Y,value
1,1970s,richness,DE55_1,DE55,DE55,577499.9679888003,6227499.7932537105,46.17273061829496
1,1970s,richness,DE56_1,DE56,DE56,577499.9877266791,6232499.7635885775,43.82922876328853
1,1970s,richness,DE57_1,DE57,DE57,577499.9334297109,6237499.771854244,46.027404346586934
1,1970s,richness,DE66_1,DE66,DE66,582499.9419179015,6232499.758382413,65.00882436987665
1,1970s,richness,DE67_1,DE67,DE67,582499.9858796117,6237499.815066368,63.680471708314855
1,1970s,richness,BD48_1,BD48,BD48,472500.0707461879,6292499.705413405,67.59824724393661
1,1970s,richness,DE68_1,DE68,DE68,582499.940157057,6242499.798316628,60.984831545316716
1,1970s,richness,DE69_1,DE69,DE69,582499.925380716,6247499.821784631,63.8920956658648
1,1970s,richness,DE75_1,DE75,DE75,587499.9822943644,6227499.740914788,39.21300468203622
1,1970s,richness,DE78_1,DE78,DE78,587499.9809427367,6242499.8550773095,52.950374378924806
1,1970s,richness,DE79_1,DE79,DE79,587499.9718824326,6247499.824550713,75.50217217837665
1,1970s,richness,BD49_1,BD49,BD49,472500.07474827545,6297499.789050161,57.099598087305694
1,1970s,richness,DE84_1,DE84,DE84,592499.9550939988,6222499.799698218,59.41806342945929
1,1970s,richness,DE85_1,DE85,DE85,592500.0141816582,6227499.78733749,35.79029999398988
1,1970s,richness,DE86_1,DE86,DE86,592500.0119548003,6232499.814113551,43.44312811028655
1,1970s,richness,DE87_1,DE87,DE87,592500.011741156,6237499.7700439,82.16526365198666
1,1970s,richness,DE88_1,DE88,DE88,592500.0074987623,6242499.877671048,39.51489484572347
1,1970s,richness,DE89_1,DE89,DE89,592500.0052482311,6247499.803093614,41.199357812194194
1,1970s,richness,DE90_1,DE90,DE90,597499.937235394,6202499.867768866,43.71526554691589
1,1970s,richness,DE94_1,DE94,DE94,597499.973766844,6222499.817559282,47.14193589117008
1,1970s,richness,BD50_1,BD50,BD50,477500.11881933274,6252499.615843311,43.51739222150194
1,1970s,richness,DE96_1,DE96,DE96,597499.9776650518,6232499.7592064515,66.4722753976046
1,1970s,richness,DE97_1,DE97,DE97,597500.0164649216,6237499.792208735,75.6151320217617
1,1970s,richness,DE98_1,DE98,DE98,597499.9749128878,6242499.864260202,61.674612162086206
1,1970s,richness,DE99_1,DE99,DE99,597499.9781003586,6247499.86686593,47.36810517480122
1,1970s,richness,DF00_1,DF00,DF00,552500.0821818158,6152499.918017617,55.25191832802367
1,1970s,richness,DF01_1,DF01,DF01,552500.0434295452,6157499.903279973,48.799110715356505
1,1970s,richness,DF04_1,DF04,DF04,552500.0484365653,6172499.866101065,45.04504420753427
1,1970s,richness,DF05_1,DF05,DF05,552500.0248900052,6177499.8923083795,46.82596161527354
1,1970s,richness,BD51_1,BD51,BD51,477500.0634254692,6257499.690373675,58.5600117625272
1,1970s,richness,DF06_1,DF06,DF06,552500.0201864875,6182499.845409598,45.92525203761959
1,1970s,richness,DF07_1,DF07,DF07,552500.0322634379,6187499.836667846,70.07584316066767
1,1970s,richness,DF08_1,DF08,DF08,552499.9978258526,6192499.865300811,40.27913355626616
1,1970s,richness,DF09_1,DF09,DF09,552500.0427085381,6197499.8215051675,38.42151334661274
1,1970s,richness,DF10_1,DF10,DF10,557500.0539540383,6152499.913491488,49.84444693820527
1,1970s,richness,DF14_1,DF14,DF14,557500.0426793615,6172499.947726307,70.63761350082653
1,1970s,richness,DF15_1,DF15,DF15,557500.0018913269,6177499.856621167,65.66933757900813
1,1970s,richness,DF16_1,DF16,DF16,557500.0236227086,6182499.915863126,65.82237249627043
1,1970s,richness,DF17_1,DF17,DF17,557499.9860512931,6187499.789903091,65.44278328040252
1,1970s,richness,DF18_1,DF18,DF18,557500.0093904075,6192499.814239048,72.59267984750741
1,1970s,richness,DF19_1,DF19,DF19,557500.0331405934,6197499.765436237,54.246595342302236
1,1970s,richness,DF20_1,DF20,DF20,562500.08334866,6152499.927340711,60.26393828213639
1,1970s,richness,DF24_1,DF24,DF24,562500.0367152442,6172499.862543065,54.43204673536546
1,1970s,richness,DF25_1,DF25,DF25,562499.9763535939,6177499.886270679,78.69833263354607
1,1970s,richness,DF26_1,DF26,DF26,562499.9653456258,6182499.837874897,47.66714682677736
1,1970s,richness,DF27_1,DF27,DF27,562500.0011427227,6187499.828616493,24.662084715165825
1,1970s,richness,DF28_1,DF28,DF28,562499.9576474453,6192499.856666409,73.47151284918684
1,1970s,richness,DF29_1,DF29,DF29,562499.9609393289,6197499.812510072,53.06815951121691
1,1970s,richness,DF30_1,DF30,DF30,567500.0600414778,6152499.957596392,58.33293363908198
1,1970s,richness,DF31_1,DF31,DF31,567500.0347013446,6157499.951350236,62.258338866558184
1,1970s,richness,DF37_1,DF37,DF37,567499.9700276025,6187499.839556279,76.02805613228246
1,1970s,richness,DF38_1,DF38,DF38,567499.9855262494,6192499.88279332,87.77220641348609
1,1970s,richness,DF39_1,DF39,DF39,567499.9689031657,6197499.852938899,69.22858202101938
