atlas,period,response,survey,site,base_site,X,Y,value
1,1970s,richness,DD17_1,DD17,DD17,557499.8226555676,6287499.819056403,62.48815620410671
1,1970s,richness,DD18_1,DD18,DD18,557499.815944289,6292499.935076535,67.73746179148021
1,1970s,richness,DD19_1,DD19,DD19,557499.7962017705,6297499.866076322,62.80088384881153
1,1970s,richness,DD20_1,DD20,DD20,562499.8979436193,6252499.742285932,51.18311696810051
1,1970s,richness,DD21_1,DD21,DD21,562499.8222470335,6257499.8229469415,54.33969036650624
1,1970s,richness,BD36_1,BD36,BD36,467500.0370856172,6282499.739297631,59.792193666621934
1,1970s,richness,DD22_1,DD22,DD22,562499.8437607648,6262499.831936724,38.144244712300335
1,1970s,richness,DD24_1,DD24,DD24,562499.8019624483,6272499.851935544,35.19916875574019
1,1970s,richness,DD26_1,DD26,DD26,562499.825335824,6282499.914256911,69.33002999826022
1,1970s,richness,DD27_1,DD27,DD27,562499.8219761638,6287499.891081318,39.55753245600191
1,1970s,richness,DD28_1,DD28,DD28,562499.7860176418,6292499.905539777,53.926181504741585
1,1970s,richness,DD29_1,DD29,DD29,562499.8388001381,6297499.959425464,65.84619906501224
1,1970s,richness,DD30_1,DD30,DD30,567499.9045343413,6252499.740139163,60.867922027267234
1,1970s,richness,DD31_1,DD31,DD31,567499.8570273767,6257499.839340627,53.9427684341678
1,1970s,richness,BD37_1,BD37,BD37,467500.0506595336,6287499.810571126,66.21271216958081
1,1970s,richness,DD35_1,DD35,DD35,567499.839200209,6277499.844712948,43.08256977859022
1,1970s,richness,DD37_1,DD37,DD37,567499.854039139,6287499.911641263,56.79125116832688
1,1970s,richness,DD38_1,DD38,DD38,567499.8490636005,6292499.946900631,46.5960861608142
1,1970s,richness,DD39_1,DD39,DD39,567499.7951241602,6297499.908455915,49.28215796302381
1,1970s,richness,DD40_1,DD40,DD40,572499.8910228461,6252499.837507532,39.001490705988445
1,1970s,richness,DD41_1,DD41,DD41,572499.874319164,6257499.853998432,50.47970263291566
1,1970s,richness,BD38_1,BD38,BD38,467500.0539126969,6292499.807359152,35.806320571769284
