species,variable,variable_label,period_from,weighted_beta_from,standardized_beta_from,prob_positive_from,support_state_from,period_to,weighted_beta_to,standardized_beta_to,prob_positive_to,support_state_to,atlas_from,atlas_to,transition,delta_weighted_beta,abs_delta_weighted_beta,delta_standardized_beta,abs_delta_standardized_beta,support_state_switch,supported_sign_flip,large_jump_cutoff,predictor_large_jump
Tringa_totanus,hh,Land-use heterogeneity,1970s,0.3328476486215391,0.3328476486215391,1,Supported positive,1990s,0.3116849292985934,0.3116849292985934,1,Supported positive,1,2,1970s to 1990s,-0.021162719322945667,0.021162719322945667,-0.021162719322945667,0.021162719322945667,FALSE,FALSE,0.1398968467719789,FALSE
Tringa_totanus,perc_urban,Urban,1970s,-0.24809910696472928,-0.24809910696472928,0,Supported negative,1990s,-0.32949134928816437,-0.32949134928816437,0,Supported negative,1,2,1970s to 1990s,-0.08139224232343509,0.08139224232343509,-0.08139224232343509,0.08139224232343509,FALSE,FALSE,0.1398968467719789,FALSE
Tringa_totanus,perc_cropland,Cropland,1970s,-0.2629534701837375,-0.2656095658421591,0.005,Supported negative,1990s,-0.39067865271633306,-0.39067865271633306,0,Supported negative,1,2,1970s to 1990s,-0.12772518253259557,0.12772518253259557,-0.12506908687417395,0.12506908687417395,FALSE,FALSE,0.1398968467719789,FALSE
Tringa_totanus,perc_pasture,Pasture,1970s,0.09891379666713038,0.10567713319137861,0.968,Supported positive,1990s,0.043327205087460005,0.05951539160365386,0.864,Unsupported,1,2,1970s to 1990s,-0.05558659157967037,0.05558659157967037,-0.04616174158772476,0.04616174158772476,TRUE,FALSE,0.1398968467719789,FALSE
Tringa_totanus,perc_forest,Forest,1970s,-0.2917353367192243,-0.2917353367192243,0,Supported negative,1990s,-0.37012501723675895,-0.37012501723675895,0,Supported negative,1,2,1970s to 1990s,-0.07838968051753464,0.07838968051753464,-0.07838968051753464,0.07838968051753464,FALSE,FALSE,0.1398968467719789,FALSE
Tringa_totanus,perc_grass_shrub,Grass/Shrubland,1970s,-0.1192163204660251,-0.12239868631008737,0.013,Supported negative,1990s,-0.0708941313063621,-0.0826271926647577,0.071,Unsupported,1,2,1970s to 1990s,0.04832218915966299,0.04832218915966299,0.03977149364532967,0.03977149364532967,TRUE,FALSE,0.1398968467719789,FALSE
Vanellus_vanellus,tmean_breeding,Temperature,1970s,0.32585462307840746,0.32585462307840746,1,Supported positive,1990s,0.11626370971669026,0.12501474163084975,0.965,Supported positive,1,2,1970s to 1990s,-0.2095909133617172,0.2095909133617172,-0.2008398814475577,0.2008398814475577,FALSE,FALSE,0.1398968467719789,TRUE
Vanellus_vanellus,prec_breeding,Precipitation,1970s,-0.11620564944370011,-0.126310488525761,0.04,Supported negative,1990s,-0.08359563338025533,-0.09675420530122145,0.068,Unsupported,1,2,1970s to 1990s,0.03261001606344478,0.03261001606344478,0.029556283224539542,0.029556283224539542,TRUE,FALSE,0.1398968467719789,FALSE
Vanellus_vanellus,hh,Land-use heterogeneity,1970s,0.09943375970413344,0.11922513153972834,0.917,Unsupported,1990s,0.26107776095019475,0.26107776095019475,1,Supported positive,1,2,1970s to 1990s,0.16164400124606132,0.16164400124606132,0.1418526294104664,0.1418526294104664,TRUE,FALSE,0.1398968467719789,TRUE
Vanellus_vanellus,perc_urban,Urban,1970s,0.05471829699100923,0.07354609810619521,0.872,Unsupported,1990s,0.004680729267338631,0.018284098700541526,0.628,Unsupported,1,2,1970s to 1990s,-0.0500375677236706,0.0500375677236706,-0.05526199940565368,0.05526199940565368,FALSE,FALSE,0.1398968467719789,FALSE
