thermal_group,variable_clean,atlas,atlas_label,n_species,mean_vp,median_vp,signed_vp_mean,supported_species,supported_vp,total_vp,direction_score,positive_species,negative_species,supported_vp_share,effect_direction
cold,Temperature,2,1990s,31,0.012461349227696416,0.005474321499448221,0.006103517592765903,17,0.34575081097935206,0.38630182605858887,0.3000999441855735,12,7,0.8950276381217867,Higher at max
cold,Temperature,3,2010s,31,0.00924122989493831,0.002509425461491506,0.016458632207738258,12,0.24209341186634348,0.2864781267430876,0.8158156183196684,10,4,0.8450677006955294,Higher at max
cold,Urban,1,1970s,31,0.005218607899989702,0.003488824648170582,0.004508749831441248,15,0.13006761460997188,0.16177684489968075,0.5199699223701582,13,4,0.8039940121877637,Higher at max
cold,Urban,2,1990s,31,0.005049840280432035,0.0029644192892818717,0.003776701426279014,11,0.1056708096112363,0.15654504869339309,0.3931427784258377,10,3,0.6750185361544181,Higher at max
cold,Urban,3,2010s,31,0.005779864698291479,0.0023262797618425184,0.006824483707751554,12,0.14173911213631069,0.1791758056470358,0.5777784498484884,11,3,0.7910616705445551,Higher at max
medium,Cropland,1,1970s,31,0.00931367285481424,0.007058859212967114,0.005426939349872099,22,0.25611346920706396,0.2887238584992415,0.46617097518076644,20,4,0.8870533614309425,Higher at max
medium,Cropland,2,1990s,31,0.009012167681672286,0.005765639917495025,0.008001879313964556,17,0.23126488822691518,0.2793771981318409,0.5882083933291423,15,4,0.82778727030464,Higher at max
medium,Cropland,3,2010s,31,0.01385168864609652,0.012219212963769295,0.00819312950509493,23,0.406399114628522,0.4294023480289921,0.4636869811821144,19,6,0.9464296515702403,Higher at max
medium,Forest,1,1970s,31,0.0192550183631822,0.013954447562380417,0.020352045081718867,24,0.585045523458052,0.5969055692586481,0.8348907262364085,21,5,0.9801307838100318,Higher at max
medium,Forest,2,1990s,31,0.02427245081128809,0.014492336636708559,0.025827686751407467,25,0.7314427716262248,0.7524459751499306,0.8827651237151636,23,4,0.9720867620834562,Higher at max
medium,Forest,3,2010s,31,0.028858348269427382,0.012136133423005522,0.029046268996809853,25,0.8701797868650905,0.8946087963522487,0.8344904534456015,20,7,0.9726930815047123,Higher at max
medium,Grass/Shrubland,1,1970s,31,0.0014665066880974226,0.001144786525088859,0.0034280426322947912,4,0.013712170529179165,0.04546170733102011,1,5,1,0.30162022797201177,Higher at max
medium,Grass/Shrubland,2,1990s,31,0.002418590481365405,0.0015532195005721232,0.002862533599800605,10,0.04212046173605419,0.07497630492232753,0.6796064149862676,9,3,0.5617836432415456,Higher at max
medium,Grass/Shrubland,3,2010s,31,0.0037988156826099812,0.0030497259397195046,0.004349395479840446,13,0.074685269900177,0.11776328616090938,0.7570721952735663,12,3,0.6341982491735884,Higher at max
medium,Land-use heterogeneity,1,1970s,31,0.00509842238694796,0.002752293715672882,0.009380511257681197,12,0.11897854127298892,0.15805109399538675,0.9461045150477875,12,2,0.7527853067341735,Higher at max
medium,Land-use heterogeneity,2,1990s,31,0.006526374611823435,0.004052956592271753,0.009574778503262363,17,0.16277123455546014,0.2023176129665265,1,18,1,0.8045331900114434,Higher at max
medium,Land-use heterogeneity,3,2010s,31,0.00564434743550581,0.0032497732019700844,0.009358490435009843,13,0.12166037565512797,0.17497477050068008,1,14,1,0.6953023873499243,Higher at max
medium,Pasture,1,1970s,31,0.002015790160340596,0.0012231481612815637,0.002102320037410188,10,0.039544725581814516,0.062489494970558467,0.5316309587382709,9,3,0.6328219743245768,Higher at max
medium,Pasture,2,1990s,31,0.002181558379546905,0.001857838113925104,0.0015467332487171597,11,0.040950772313840686,0.06762830976595406,0.4154760649077743,8,5,0.605527070772016,Higher at max
medium,Pasture,3,2010s,31,0.004872224744783938,0.0028006696444596284,0.006984390620762345,15,0.12903160359647328,0.15103896708830206,0.8119395279242941,14,3,0.8542934719689748,Higher at max
medium,Precipitation,1,1970s,31,0.006914664140295595,0.0033384450202511465,-0.004107145329649367,12,0.17747697476573085,0.2143545883491634,-0.2777021865560278,4,10,0.8279597657906795,Lower at max
medium,Precipitation,2,1990s,31,0.004871291012560686,0.004157655227133183,-0.006811255203300407,13,0.10882353015038404,0.1510100213893813,-0.8136688593040723,3,12,0.7206378036976842,Lower at max
medium,Precipitation,3,2010s,31,0.013559630213297695,0.0056500345692936755,-0.003046545383110387,14,0.35391568898878906,0.4203485366122287,-0.12051354797355843,5,11,0.8419577045305051,Lower at max
medium,Temperature,1,1970s,31,0.0133252575036851,0.0029960796452138333,0.024374829614868004,14,0.3812396025860465,0.41308298261423804,0.8951001215334962,12,4,0.922912873760455,Higher at max
medium,Temperature,2,1990s,31,0.018255084403697715,0.004385708081983773,0.015861769827918502,17,0.5322644259053945,0.5659076165146293,0.5066092602674569,9,10,0.9405500303805062,Higher at max
medium,Temperature,3,2010s,31,0.012581957931211809,0.0032806401653290487,0.02995568275812488,10,0.3339576225749492,0.3900406958675661,0.8969905381154163,9,3,0.8562122519859844,Higher at max
medium,Urban,1,1970s,31,0.0070011033881318945,0.00348622266847339,0.003619116561497995,18,0.20247593679705142,0.21703420503208876,0.3217374821792285,15,5,0.9329217796204756,Higher at max
medium,Urban,2,1990s,31,0.008454222546030147,0.004510044283775856,0.005103561053522935,21,0.24786644631955393,0.26208089892693465,0.4323892310369832,17,6,0.9457631110638721,Higher at max
medium,Urban,3,2010s,31,0.0137582243946591,0.007067552008277438,0.011075533617678754,22,0.40840154345229046,0.42650495623443196,0.596622964568686,17,7,0.9575540388979892,Higher at max
warm,Cropland,1,1970s,31,0.0092826495095004909,0.005986308360370934,0.012292791962415808,19,0.24486617604138056,0.2877621347945151,0.9538395668270244,19,2,0.8509325808839802,Higher at max
warm,Cropland,2,1990s,31,0.009990338188923014,0.007671368118272071,0.014655926454654246,19,0.2784626026384307,0.3097004838566134,1,20,1,0.8991351875554532,Higher at max
