"survey","site","atlas","period","guild_richness","species_richness"
"GF43_2","GF43","2","1990s",23,73
"GF44_2","GF44","2","1990s",20,60
"GF45_2","GF45","2","1990s",23,48
"GF46_2","GF46","2","1990s",26,83
"GF47_2","GF47","2","1990s",23,70
"GF48_2","GF48","2","1990s",24,72
"GF49_2","GF49","2","1990s",21,59
"GF52_2","GF52","2","1990s",27,85
"GF53_2","GF53","2","1990s",25,74
"GF54_2","GF54","2","1990s",23,70
"GF55_2","GF55","2","1990s",20,54
"GF56_2","GF56","2","1990s",18,41
"GF57_2","GF57","2","1990s",13,34
"GF63_2","GF63","2","1990s",22,53
"GF64_2","GF64","2","1990s",11,22
"GF66_2","GF66","2","1990s",9,15
"GF73_2","GF73","2","1990s",14,39
"GF74_2","GF74","2","1990s",23,63
"GF75_2","GF75","2","1990s",23,60
"GG00_2","GG00","2","1990s",24,58
"GG02_2","GG02","2","1990s",23,54
"GG04_2","GG04","2","1990s",22,60
"GG05_2","GG05","2","1990s",24,64
"GG06_2","GG06","2","1990s",22,64
"GG07_2","GG07","2","1990s",24,69
"GG08_2","GG08","2","1990s",26,83
"GG09_2","GG09","2","1990s",23,80
"GG10_2","GG10","2","1990s",26,81
"GG11_2","GG11","2","1990s",26,70
"GG15_2","GG15","2","1990s",26,74
"GG17_2","GG17","2","1990s",21,57
"GG18_2","GG18","2","1990s",26,80
"GG20_2","GG20","2","1990s",25,63
"GG25_2","GG25","2","1990s",27,82
"GG26_2","GG26","2","1990s",19,58
"GG27_2","GG27","2","1990s",24,70
"GG28_2","GG28","2","1990s",27,88
"GG30_2","GG30","2","1990s",21,67
"GG36_2","GG36","2","1990s",22,51
"GG37_2","GG37","2","1990s",25,68
"GG38_2","GG38","2","1990s",16,40
"GG40_2","GG40","2","1990s",23,61
"GG50_2","GG50","2","1990s",22,55
"GH05_2","GH05","2","1990s",24,58
"GH06_2","GH06","2","1990s",23,62
"GH07_2","GH07","2","1990s",25,69
"GH08_2","GH08","2","1990s",23,66
"GH09_2","GH09","2","1990s",21,55
"GH17_2","GH17","2","1990s",20,55
"GH18_2","GH18","2","1990s",22,56
"GH19_2","GH19","2","1990s",22,61
"GH39_2","GH39","2","1990s",21,60
"GH49_2","GH49","2","1990s",28,93
"GH59_2","GH59","2","1990s",26,82
"HA03_2","HA03","2","1990s",21,60
"HA04_2","HA04","2","1990s",22,66
"HA05_2","HA05","2","1990s",25,71
"HA06_2","HA06","2","1990s",25,63
"HA07_2","HA07","2","1990s",20,57
"HA08_2","HA08","2","1990s",18,45
"HA13_2","HA13","2","1990s",23,73
"HA16_2","HA16","2","1990s",20,54
"HA17_2","HA17","2","1990s",24,64
"HA18_2","HA18","2","1990s",25,66
"HA22_2","HA22","2","1990s",19,47
"HA23_2","HA23","2","1990s",22,62
"HA24_2","HA24","2","1990s",24,68
"HA25_2","HA25","2","1990s",25,72
"HA26_2","HA26","2","1990s",27,72
"HA27_2","HA27","2","1990s",21,48
"HA32_2","HA32","2","1990s",24,64
"HA33_2","HA33","2","1990s",18,43
"HA34_2","HA34","2","1990s",28,76
"HA35_2","HA35","2","1990s",23,62
"HA36_2","HA36","2","1990s",26,69
"HA43_2","HA43","2","1990s",20,61
"HA44_2","HA44","2","1990s",28,88
"HA45_2","HA45","2","1990s",25,62
"HA46_2","HA46","2","1990s",15,32
"HA52_2","HA52","2","1990s",26,80
"HA53_2","HA53","2","1990s",26,68
"HA54_2","HA54","2","1990s",27,90
"HA55_2","HA55","2","1990s",26,59
"HA69_2","HA69","2","1990s",14,31
"AD93_3","AD93","3","2010s",19,43
"AD94_3","AD94","3","2010s",25,65
"AD95_3","AD95","3","2010s",21,64
"AD96_3","AD96","3","2010s",15,28
"AE81_3","AE81","3","2010s",14,22
"AE82_3","AE82","3","2010s",16,37
"AE83_3","AE83","3","2010s",17,37
"AE90_3","AE90","3","2010s",23,52
"AE91_3","AE91","3","2010s",17,48
"AE92_3","AE92","3","2010s",18,43
"AE93_3","AE93","3","2010s",25,61
"AE97_3","AE97","3","2010s",22,68
"AE98_3","AE98","3","2010s",27,80
"AF91_3","AF91","3","2010s",20,54
"AF92_3","AF92","3","2010s",22,53
"AF93_3","AF93","3","2010s",24,60
"AF94_3","AF94","3","2010s",26,59
"AF95_3","AF95","3","2010s",16,42
"AF98_3","AF98","3","2010s",22,62
"AF99_3","AF99","3","2010s",26,68
"BC20_3","BC20","3","2010s",28,76
"BC21_3","BC21","3","2010s",26,73
"BC22_3","BC22","3","2010s",24,63
"BC23_3","BC23","3","2010s",14,31
"BC32_3","BC32","3","2010s",22,60
"BC33_3","BC33","3","2010s",23,56
"BC42_3","BC42","3","2010s",17,40
"BC44_3","BC44","3","2010s",25,64
"BC54_3","BC54","3","2010s",25,66
"BC55_3","BC55","3","2010s",25,59
"BC56_3","BC56","3","2010s",16,46
"BC60_3","BC60","3","2010s",16,42
"BC64_3","BC64","3","2010s",26,69
"BC65_3","BC65","3","2010s",23,58
"BC72_3","BC72","3","2010s",22,58
"BC75_3","BC75","3","2010s",26,75
"BC82_3","BC82","3","2010s",24,70
"BC83_3","BC83","3","2010s",23,60
