"comparison_id","comparison_label","start_period","end_period","site","richness_1970s","richness_1990s","delta_richness_1990s_minus_1970s","delta_richness","pct_lnd","richness_2010s","delta_richness_2010s_minus_1990s"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC94",62,69,7,7,67.6865433444742,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC95",30,68,38,38,46.815369838424,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC97",79,60,-19,-19,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC98",55,53,-2,-2,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD03",72,77,5,5,87.7493218512554,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD04",60,73,13,13,58.1458688653336,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD09",55,56,1,1,57.7273319267787,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD11",61,56,-5,-5,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD17",46,68,22,22,80.2982792587547,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD18",43,56,13,13,34.5514618644161,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD21",54,78,24,24,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD31",46,75,29,29,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD32",45,73,28,28,98.5689230164375,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD33",74,62,-12,-12,57.5618792524392,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD40",68,70,2,2,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD42",59,74,15,15,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD43",59,69,10,10,71.4123372332504,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD47",60,53,-7,-7,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD50",52,80,28,28,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD51",54,67,13,13,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD54",60,66,6,6,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD57",47,63,16,16,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD60",65,66,1,1,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD62",68,67,-1,-1,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD63",55,73,18,18,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD64",50,46,-4,-4,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD67",57,81,24,24,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD69",52,54,2,2,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD70",52,49,-3,-3,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD71",61,61,0,0,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD74",70,69,-1,-1,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD75",56,59,3,3,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD80",52,45,-7,-7,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD82",56,64,8,8,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD83",68,64,-4,-4,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD84",74,69,-5,-5,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD90",62,69,7,7,100,,
