"comparison_id","comparison_label","start_period","end_period","site","start_richness","end_richness","delta_richness"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE56",33,51,18
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE57",40,46,6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE58",35,74,39
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE59",43,54,11
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE60",61,52,-9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE61",39,49,10
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE62",54,55,1
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE63",45,63,18
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE64",44,43,-1
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE65",46,57,11
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE66",44,54,10
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE67",31,36,5
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE68",36,55,19
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE69",43,76,33
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE70",53,47,-6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE71",59,47,-12
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE73",42,62,20
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE74",44,43,-1
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE75",26,37,11
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE76",42,54,12
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE77",30,63,33
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE78",47,58,11
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE79",37,49,12
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE80",59,79,20
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE81",34,55,21
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE82",53,72,19
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE83",36,66,30
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE84",51,57,6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE85",42,28,-14
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE86",50,56,6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE87",55,66,11
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE88",41,73,32
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE89",72,48,-24
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE90",57,48,-9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE91",62,49,-13
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE92",55,70,15
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE93",33,49,16
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE94",56,68,12
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE95",47,55,8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE96",38,56,18
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE97",41,55,14
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE98",43,68,25
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE99",62,80,18
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF00",57,51,-6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF01",43,58,15
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF02",54,83,29
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF03",63,85,22
