"site","survey","atlas","period","species_richness","modelled_species_pool_size"
"BF58","BF58_1","1","1970s",43,157
"BF59","BF59_1","1","1970s",61,157
"BF60","BF60_1","1","1970s",59,157
"BF61","BF61_1","1","1970s",45,157
"BF62","BF62_1","1","1970s",57,157
"BF63","BF63_1","1","1970s",44,157
"BF64","BF64_1","1","1970s",46,157
"BF65","BF65_1","1","1970s",52,157
"BF67","BF67_1","1","1970s",38,157
"BF68","BF68_1","1","1970s",57,157
"BF69","BF69_1","1","1970s",57,157
"BF70","BF70_1","1","1970s",34,157
"BF71","BF71_1","1","1970s",45,157
"BF72","BF72_1","1","1970s",53,157
"BF73","BF73_1","1","1970s",41,157
"BF76","BF76_1","1","1970s",45,157
"BF77","BF77_1","1","1970s",51,157
"BF78","BF78_1","1","1970s",53,157
"BF79","BF79_1","1","1970s",53,157
"BF80","BF80_1","1","1970s",52,157
"BF81","BF81_1","1","1970s",55,157
"BF82","BF82_1","1","1970s",64,157
"BF83","BF83_1","1","1970s",60,157
"BF85","BF85_1","1","1970s",43,157
"BF87","BF87_1","1","1970s",32,157
"BF88","BF88_1","1","1970s",53,157
"BF89","BF89_1","1","1970s",53,157
"BF90","BF90_1","1","1970s",52,157
"BF91","BF91_1","1","1970s",43,157
"BF92","BF92_1","1","1970s",47,157
"BF93","BF93_1","1","1970s",41,157
"BF94","BF94_1","1","1970s",50,157
"BF95","BF95_1","1","1970s",47,157
"BF97","BF97_1","1","1970s",47,157
"BF98","BF98_1","1","1970s",28,157
"BF99","BF99_1","1","1970s",36,157
"BG27","BG27_1","1","1970s",64,157
"BG28","BG28_1","1","1970s",59,157
"BG29","BG29_1","1","1970s",87,157
"BG30","BG30_1","1","1970s",37,157
"BG31","BG31_1","1","1970s",85,157
"BG32","BG32_1","1","1970s",92,157
"BG33","BG33_1","1","1970s",17,157
"BG39","BG39_1","1","1970s",54,157
"BG41","BG41_1","1","1970s",61,157
"BG42","BG42_1","1","1970s",72,157
"BG43","BG43_1","1","1970s",39,157
"BG45","BG45_1","1","1970s",35,157
"BG49","BG49_1","1","1970s",66,157
"BG50","BG50_1","1","1970s",47,157
"BG55","BG55_1","1","1970s",73,157
"BG57","BG57_1","1","1970s",25,157
"BG58","BG58_1","1","1970s",41,157
"BG60","BG60_1","1","1970s",63,157
"BG61","BG61_1","1","1970s",60,157
"BG62","BG62_1","1","1970s",68,157
"BG63","BG63_1","1","1970s",73,157
"BG64","BG64_1","1","1970s",60,157
"BG65","BG65_1","1","1970s",60,157
"BG66","BG66_1","1","1970s",65,157
"BG67","BG67_1","1","1970s",35,157
"BG68","BG68_1","1","1970s",33,157
"BG69","BG69_1","1","1970s",39,157
"BG70","BG70_1","1","1970s",50,157
"BG71","BG71_1","1","1970s",52,157
"BG72","BG72_1","1","1970s",59,157
"BG73","BG73_1","1","1970s",65,157
"BG74","BG74_1","1","1970s",55,157
"BG75","BG75_1","1","1970s",54,157
"BG76","BG76_1","1","1970s",80,157
"BG79","BG79_1","1","1970s",47,157
"BG80","BG80_1","1","1970s",59,157
"BG81","BG81_1","1","1970s",51,157
"BG82","BG82_1","1","1970s",50,157
"BG83","BG83_1","1","1970s",65,157
"BG84","BG84_1","1","1970s",56,157
"BG85","BG85_1","1","1970s",74,157
"BG86","BG86_1","1","1970s",52,157
"BG87","BG87_1","1","1970s",40,157
"BG89","BG89_1","1","1970s",38,157
"BG90","BG90_1","1","1970s",61,157
"BG91","BG91_1","1","1970s",52,157
"BG92","BG92_1","1","1970s",57,157
"BG93","BG93_1","1","1970s",65,157
"BG94","BG94_1","1","1970s",43,157
"BG95","BG95_1","1","1970s",47,157
"BG96","BG96_1","1","1970s",45,157
"BG98","BG98_1","1","1970s",43,157
"BG99","BG99_1","1","1970s",50,157
"BH57","BH57_1","1","1970s",67,157
"BH58","BH58_1","1","1970s",57,157
"BH59","BH59_1","1","1970s",55,157
"BH66","BH66_1","1","1970s",57,157
"BH67","BH67_1","1","1970s",66,157
"BH68","BH68_1","1","1970s",55,157
"BH69","BH69_1","1","1970s",61,157
"BH76","BH76_1","1","1970s",75,157
"BH77","BH77_1","1","1970s",86,157
"BH78","BH78_1","1","1970s",63,157
"BH79","BH79_1","1","1970s",63,157
"BH86","BH86_1","1","1970s",47,157
"BH87","BH87_1","1","1970s",82,157
"BH88","BH88_1","1","1970s",60,157
"BH89","BH89_1","1","1970s",59,157
"BH96","BH96_1","1","1970s",51,157
"BH97","BH97_1","1","1970s",62,157
"BH98","BH98_1","1","1970s",48,157
"BH99","BH99_1","1","1970s",91,157
"CC04","CC04_1","1","1970s",67,157
"CC05","CC05_1","1","1970s",48,157
"CC06","CC06_1","1","1970s",61,157
"CD00","CD00_1","1","1970s",54,157
"CD01","CD01_1","1","1970s",47,157
"CD02","CD02_1","1","1970s",51,157
"CD03","CD03_1","1","1970s",72,157
"CD04","CD04_1","1","1970s",60,157
"CD05","CD05_1","1","1970s",35,157
"CD06","CD06_1","1","1970s",36,157
"CD07","CD07_1","1","1970s",36,157
"CD08","CD08_1","1","1970s",60,157
"CD09","CD09_1","1","1970s",55,157
"CE00","CE00_1","1","1970s",67,157
"CE01","CE01_1","1","1970s",26,157
"CE02","CE02_1","1","1970s",57,157
"CE03","CE03_1","1","1970s",43,157
"CE04","CE04_1","1","1970s",36,157
"CE05","CE05_1","1","1970s",29,157
"CE06","CE06_1","1","1970s",32,157
"CE07","CE07_1","1","1970s",42,157
"CE09","CE09_1","1","1970s",50,157
"CF02","CF02_1","1","1970s",34,157
"CF03","CF03_1","1","1970s",57,157
"CF04","CF04_1","1","1970s",57,157
"CF05","CF05_1","1","1970s",37,157
"CF06","CF06_1","1","1970s",36,157
"CF07","CF07_1","1","1970s",49,157
"CF08","CF08_1","1","1970s",45,157
"CF09","CF09_1","1","1970s",39,157
"CB80","CB80_1","1","1970s",27,157
"CB81","CB81_1","1","1970s",24,157
"CB93","CB93_1","1","1970s",27,157
"CC14","CC14_1","1","1970s",38,157
"CC15","CC15_1","1","1970s",39,157
"CC16","CC16_1","1","1970s",50,157
"CC20","CC20_1","1","1970s",40,157
"CC23","CC23_1","1","1970s",57,157
"CC24","CC24_1","1","1970s",55,157
"CC25","CC25_1","1","1970s",45,157
"CC26","CC26_1","1","1970s",40,157
"CC30","CC30_1","1","1970s",47,157
"CC31","CC31_1","1","1970s",54,157
"CC33","CC33_1","1","1970s",48,157
"CC34","CC34_1","1","1970s",32,157
"CC35","CC35_1","1","1970s",43,157
"CC36","CC36_1","1","1970s",59,157
"CC40","CC40_1","1","1970s",44,157
"CC41","CC41_1","1","1970s",52,157
"CC44","CC44_1","1","1970s",38,157
"CC45","CC45_1","1","1970s",38,157
"CC46","CC46_1","1","1970s",72,157
"CC50","CC50_1","1","1970s",55,157
"CC52","CC52_1","1","1970s",40,157
"CC53","CC53_1","1","1970s",71,157
"CC54","CC54_1","1","1970s",62,157
"CC56","CC56_1","1","1970s",73,157
"CC57","CC57_1","1","1970s",50,157
"CC60","CC60_1","1","1970s",55,157
"CC61","CC61_1","1","1970s",75,157
"CC62","CC62_1","1","1970s",65,157
"CC63","CC63_1","1","1970s",42,157
"CC64","CC64_1","1","1970s",57,157
"CC65","CC65_1","1","1970s",48,157
"CC66","CC66_1","1","1970s",44,157
"CC67","CC67_1","1","1970s",49,157
"CC68","CC68_1","1","1970s",43,157
"CC70","CC70_1","1","1970s",71,157
"CC71","CC71_1","1","1970s",43,157
"CC72","CC72_1","1","1970s",65,157
"CC75","CC75_1","1","1970s",96,157
"CC76","CC76_1","1","1970s",43,157
"CC77","CC77_1","1","1970s",61,157
"CC80","CC80_1","1","1970s",83,157
"CC81","CC81_1","1","1970s",34,157
"CC82","CC82_1","1","1970s",51,157
"CC83","CC83_1","1","1970s",59,157
"CC84","CC84_1","1","1970s",41,157
"CC85","CC85_1","1","1970s",84,157
"CC86","CC86_1","1","1970s",50,157
"CC88","CC88_1","1","1970s",46,157
"CC89","CC89_1","1","1970s",44,157
"CC90","CC90_1","1","1970s",45,157
"CC91","CC91_1","1","1970s",46,157
"CC92","CC92_1","1","1970s",58,157
"CC93","CC93_1","1","1970s",62,157
"CC94","CC94_1","1","1970s",62,157
"CC95","CC95_1","1","1970s",30,157
