"survey","site","atlas","period","species_richness","retained_species_pool_size"
"CD59_1","CD59","1","1970s",43,156
"CD60_1","CD60","1","1970s",65,156
"CD62_1","CD62","1","1970s",69,156
"CD63_1","CD63","1","1970s",55,156
"CD64_1","CD64","1","1970s",50,156
"CD67_1","CD67","1","1970s",57,156
"CD69_1","CD69","1","1970s",52,156
"CD70_1","CD70","1","1970s",52,156
"CD71_1","CD71","1","1970s",61,156
"CD73_1","CD73","1","1970s",72,156
"CD74_1","CD74","1","1970s",70,156
"CD75_1","CD75","1","1970s",56,156
"CD79_1","CD79","1","1970s",66,156
"CD80_1","CD80","1","1970s",52,156
"CD82_1","CD82","1","1970s",56,156
"CD83_1","CD83","1","1970s",68,156
"CD84_1","CD84","1","1970s",74,156
"CD85_1","CD85","1","1970s",60,156
"CD89_1","CD89","1","1970s",62,156
"CD90_1","CD90","1","1970s",62,156
"CD92_1","CD92","1","1970s",63,156
"CD95_1","CD95","1","1970s",70,156
"CD98_1","CD98","1","1970s",56,156
"CE00_1","CE00","1","1970s",67,156
"CE02_1","CE02","1","1970s",57,156
"CE03_1","CE03","1","1970s",43,156
"CE09_1","CE09","1","1970s",50,156
"CE10_1","CE10","1","1970s",60,156
"CE11_1","CE11","1","1970s",41,156
"CE15_1","CE15","1","1970s",41,156
"CE17_1","CE17","1","1970s",67,156
"CE18_1","CE18","1","1970s",63,156
"CE19_1","CE19","1","1970s",55,156
"CE20_1","CE20","1","1970s",51,156
"CE22_1","CE22","1","1970s",59,156
"CE25_1","CE25","1","1970s",44,156
"CE27_1","CE27","1","1970s",47,156
"CE28_1","CE28","1","1970s",52,156
"CE29_1","CE29","1","1970s",44,156
"CE30_1","CE30","1","1970s",74,156
"CE31_1","CE31","1","1970s",71,156
"CE34_1","CE34","1","1970s",39,156
"CE35_1","CE35","1","1970s",55,156
"CE37_1","CE37","1","1970s",40,156
"CE38_1","CE38","1","1970s",61,156
"CE42_1","CE42","1","1970s",47,156
"CE44_1","CE44","1","1970s",58,156
"CE45_1","CE45","1","1970s",51,156
"CE46_1","CE46","1","1970s",38,156
"CE47_1","CE47","1","1970s",55,156
"CE48_1","CE48","1","1970s",41,156
"CE49_1","CE49","1","1970s",73,156
"CE51_1","CE51","1","1970s",85,156
"CE52_1","CE52","1","1970s",66,156
"CE60_1","CE60","1","1970s",81,156
"CE61_1","CE61","1","1970s",60,156
"CE62_1","CE62","1","1970s",64,156
"CE64_1","CE64","1","1970s",72,156
"CE66_1","CE66","1","1970s",50,156
"CE67_1","CE67","1","1970s",57,156
"CE68_1","CE68","1","1970s",57,156
"CE69_1","CE69","1","1970s",48,156
"CE70_1","CE70","1","1970s",58,156
"CE71_1","CE71","1","1970s",57,156
"CE72_1","CE72","1","1970s",83,156
"CE74_1","CE74","1","1970s",54,156
