"site","survey","atlas","period","species_richness","retained_species_pool_size","pct_lnd"
"DC04","DC04_1","1","1970s",67,154,82.2589356993454
"DC10","DC10_1","1","1970s",53,154,100
"DC11","DC11_1","1","1970s",72,154,100
"DC15","DC15_1","1","1970s",55,154,89.0966632096471
"DC18","DC18_1","1","1970s",53,154,100
"DC19","DC19_1","1","1970s",55,154,100
"DC23","DC23_1","1","1970s",76,154,100
"DC25","DC25_1","1","1970s",49,154,81.8775625643873
"DC26","DC26_1","1","1970s",74,154,100
"DC27","DC27_1","1","1970s",54,154,100
"DC32","DC32_1","1","1970s",57,154,100
"DC33","DC33_1","1","1970s",63,154,95.0168834549084
"DC40","DC40_1","1","1970s",73,154,100
"DC41","DC41_1","1","1970s",58,154,100
"DC42","DC42_1","1","1970s",66,154,100
"DC53","DC53_1","1","1970s",58,154,76.0361843233583
"DC57","DC57_1","1","1970s",49,154,100
"DC89","DC89_1","1","1970s",42,154,68.9797278353176
"DD00","DD00_1","1","1970s",44,154,100
"DD01","DD01_1","1","1970s",68,154,100
"DD03","DD03_1","1","1970s",49,154,100
"DD05","DD05_1","1","1970s",66,154,83.8944270075288
"DD08","DD08_1","1","1970s",60,154,100
"DD09","DD09_1","1","1970s",79,154,100
"DD10","DD10_1","1","1970s",54,154,100
"DD11","DD11_1","1","1970s",78,154,100
"DD12","DD12_1","1","1970s",69,154,100
"DD13","DD13_1","1","1970s",42,154,100
"DD16","DD16_1","1","1970s",66,154,92.6023664013214
"DD17","DD17_1","1","1970s",65,154,100
"DD18","DD18_1","1","1970s",69,154,100
"DD19","DD19_1","1","1970s",63,154,100
"DD21","DD21_1","1","1970s",53,154,100
"DD26","DD26_1","1","1970s",70,154,64.4448669779563
"DD28","DD28_1","1","1970s",53,154,100
"DD29","DD29_1","1","1970s",67,154,100
"DD30","DD30_1","1","1970s",63,154,100
"DD37","DD37_1","1","1970s",57,154,91.4966982892208
"DD43","DD43_1","1","1970s",55,154,99.5718289426022
"DD47","DD47_1","1","1970s",56,154,79.4729357814585
"DD51","DD51_1","1","1970s",67,154,92.1588306145469
"DD52","DD52_1","1","1970s",47,154,87.3668468060065
"DD53","DD53_1","1","1970s",58,154,78.4304721993488
"DD57","DD57_1","1","1970s",61,154,73.7605593021301
"DD61","DD61_1","1","1970s",56,154,100
"DD63","DD63_1","1","1970s",52,154,93.5466207994595
"DD64","DD64_1","1","1970s",55,154,45.2918263511844
"DD70","DD70_1","1","1970s",63,154,100
"DD72","DD72_1","1","1970s",48,154,100
"DD80","DD80_1","1","1970s",63,154,100
"DD90","DD90_1","1","1970s",40,154,100
"DD91","DD91_1","1","1970s",59,154,100
"DE01","DE01_1","1","1970s",79,154,100
"DE03","DE03_1","1","1970s",57,154,100
"DE07","DE07_1","1","1970s",69,154,100
"DE11","DE11_1","1","1970s",59,154,100
"DE15","DE15_1","1","1970s",55,154,100
"DE16","DE16_1","1","1970s",53,154,100
"DE18","DE18_1","1","1970s",64,154,100
"DE21","DE21_1","1","1970s",55,154,100
"DE23","DE23_1","1","1970s",63,154,100
"DE24","DE24_1","1","1970s",83,154,100
"DE25","DE25_1","1","1970s",64,154,100
"DE30","DE30_1","1","1970s",78,154,100
"DE31","DE31_1","1","1970s",53,154,100
"DE34","DE34_1","1","1970s",87,154,100
"DE35","DE35_1","1","1970s",41,154,100
"DE36","DE36_1","1","1970s",59,154,100
"DE37","DE37_1","1","1970s",69,154,100
"DE38","DE38_1","1","1970s",60,154,100
"DE40","DE40_1","1","1970s",80,154,100
"DE43","DE43_1","1","1970s",54,154,100
"DE44","DE44_1","1","1970s",86,154,100
"DE50","DE50_1","1","1970s",54,154,75.292574882988
"DE51","DE51_1","1","1970s",83,154,69.3754361019859
"DE52","DE52_1","1","1970s",69,154,78.3188858735943
"DE53","DE53_1","1","1970s",69,154,49.4253962682819
"DE55","DE55_1","1","1970s",45,154,48.4601439776516
"DE68","DE68_1","1","1970s",61,154,100
"DE78","DE78_1","1","1970s",54,154,99.7182269714088
"DE79","DE79_1","1","1970s",75,154,100
"DE84","DE84_1","1","1970s",62,154,35.1543424754179
"DE86","DE86_1","1","1970s",43,154,75.3756436512183
"DE87","DE87_1","1","1970s",84,154,61.242966140989
"DE90","DE90_1","1","1970s",44,154,60.6042271812401
"DE94","DE94_1","1","1970s",47,154,31.5524768138695
"DE96","DE96_1","1","1970s",64,154,82.0333801747398
"DE97","DE97_1","1","1970s",75,154,100
"DE98","DE98_1","1","1970s",61,154,100
"DE99","DE99_1","1","1970s",48,154,100
"DF05","DF05_1","1","1970s",45,154,100
"DF08","DF08_1","1","1970s",37,154,95.8749272893791
"DF10","DF10_1","1","1970s",48,154,43.5799219549289
"DF14","DF14_1","1","1970s",71,154,54.0063024856634
"DF15","DF15_1","1","1970s",65,154,100
"DF16","DF16_1","1","1970s",67,154,100
"DF17","DF17_1","1","1970s",65,154,74.6081199100685
"DF18","DF18_1","1","1970s",76,154,70.9328282569563
"DF19","DF19_1","1","1970s",56,154,100
"DF20","DF20_1","1","1970s",58,154,87.8899248197605
"DF25","DF25_1","1","1970s",79,154,83.5574410901051
"DF28","DF28_1","1","1970s",76,154,43.3915841775848
"DF29","DF29_1","1","1970s",54,154,100
"DF30","DF30_1","1","1970s",60,154,100
"DF31","DF31_1","1","1970s",64,154,64.2877648217631
"DF37","DF37_1","1","1970s",79,154,26.5421913319952
"DF38","DF38_1","1","1970s",93,154,55.4711695882563
"DF41","DF41_1","1","1970s",55,154,97.8610774596184
"DF48","DF48_1","1","1970s",60,154,75.8996905837873
"DF49","DF49_1","1","1970s",46,154,100
"DF51","DF51_1","1","1970s",54,154,100
