"comparison_id","comparison_label","start_period","end_period","species","occupied_grid_cells_start","occupied_grid_cells_end","n_shared_grid_cells","records_1970s","records_1990s","records_2010s","prop_occupied_start","prop_occupied_end","delta_occupied_grid_cells","delta_occupancy_proportion","delta_occupancy_percentage_points","change_class","migratory_strategy","foraging_guild_consensus","species_thermal_index","thermal_group"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Coturnix_coturnix",20,64,895,20,64,281,0.0223463687150838,0.0715083798882682,44,0.0491620111731843,4.91620111731844,"Stable","short-and long-distance","Gallinaceous birds",13.6002736383,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Prunella_modularis",806,849,895,806,849,855,0.900558659217877,0.948603351955307,43,0.0480446927374302,4.80446927374302,"Stable","sedentary and short-distance","Low flycatching feeders",10.9083374064,"very cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Sternula_albifrons",75,34,895,75,34,29,0.0837988826815642,0.0379888268156425,-41,-0.0458100558659218,-4.58100558659218,"Stable","long-distance","Terns",13.6554594356,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Acrocephalus_arundinaceus",48,10,895,48,10,25,0.0536312849162011,0.0111731843575419,-38,-0.0424581005586592,-4.24581005586592,"Stable","long-distance","Marsh warblers",13.8793523116,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Larus_marinus",9,47,895,9,47,57,0.0100558659217877,0.0525139664804469,38,0.0424581005586592,4.24581005586592,"Stable","sedentary and short-distance","Gulls",8.3694639418,"very cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Panurus_biarmicus",22,60,895,22,60,111,0.0245810055865922,0.0670391061452514,38,0.0424581005586592,4.24581005586592,"Stable","sedentary","Reedlings",13.8780278318,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Calidris_alpina",80,45,895,80,45,15,0.0893854748603352,0.0502793296089385,-35,-0.0391061452513966,-3.91061452513966,"Stable","long-distance","Scolopacids",7.0663752664,"very cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Jynx_torquilla",94,59,895,94,59,84,0.105027932960894,0.0659217877094972,-35,-0.0391061452513966,-3.91061452513966,"Stable","short-distance","Woodpeckers",11.8812540667,"cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Dryobates_minor",6,40,895,6,40,40,0.00670391061452514,0.0446927374301676,34,0.0379888268156425,3.79888268156425,"Stable","sedentary and short-distance","Woodpeckers",11.5509643269,"cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Lanius_collurio",319,353,895,319,353,351,0.356424581005587,0.394413407821229,34,0.0379888268156424,3.79888268156424,"Stable","long-distance","Shrikes",12.6238867722,"warm"
