"site","survey","atlas","period","species_richness","retained_species_pool_size"
"DE11","DE11_1","1","1970s",59,156
"DE15","DE15_1","1","1970s",55,156
"DE16","DE16_1","1","1970s",53,156
"DE18","DE18_1","1","1970s",64,156
"DE21","DE21_1","1","1970s",55,156
"DE23","DE23_1","1","1970s",63,156
"DE24","DE24_1","1","1970s",83,156
"DE25","DE25_1","1","1970s",64,156
"DE30","DE30_1","1","1970s",78,156
"DE31","DE31_1","1","1970s",53,156
"DE34","DE34_1","1","1970s",87,156
"DE35","DE35_1","1","1970s",41,156
"DE36","DE36_1","1","1970s",59,156
"DE37","DE37_1","1","1970s",69,156
"DE38","DE38_1","1","1970s",60,156
"DE40","DE40_1","1","1970s",80,156
"DE43","DE43_1","1","1970s",54,156
"DE44","DE44_1","1","1970s",86,156
"DE50","DE50_1","1","1970s",54,156
"DE51","DE51_1","1","1970s",83,156
"DE52","DE52_1","1","1970s",69,156
"DE53","DE53_1","1","1970s",69,156
"DE55","DE55_1","1","1970s",45,156
"DE68","DE68_1","1","1970s",61,156
"DE78","DE78_1","1","1970s",54,156
"DE79","DE79_1","1","1970s",75,156
"DE84","DE84_1","1","1970s",62,156
"DE86","DE86_1","1","1970s",43,156
"DE87","DE87_1","1","1970s",84,156
"DE90","DE90_1","1","1970s",44,156
