"comparison_id","comparison_label","start_period","end_period","site","start_richness","end_richness","delta_richness"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE30",74,65,-9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE31",71,71,0
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE34",39,39,0
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE35",55,47,-8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE38",61,67,6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE42",47,64,17
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE49",73,72,-1
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE51",85,76,-9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE52",66,80,14
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE60",81,72,-9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE61",60,68,8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE62",64,72,8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE64",72,91,19
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE67",57,57,0
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE69",48,70,22
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE72",83,77,-6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE74",54,76,22
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE75",55,74,19
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE77",56,64,8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE78",65,84,19
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE80",68,66,-2
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE81",75,58,-17
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE82",74,94,20
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE84",53,76,23
