"site","richness_1990s","richness_2010s","delta_raptor_richness"
"CD63",3,4,1
"CD64",1,2,1
"CD65",3,3,0
"CD66",2,2,0
"CD67",4,3,-1
"CD68",2,1,-1
"CD69",2,2,0
"CD70",2,4,2
"CD71",1,8,7
"CD72",3,3,0
"CD73",4,5,1
"CD74",4,1,-3
"CD75",3,2,-1
"CD76",4,3,-1
"CD77",2,1,-1
"CD78",2,2,0
"CD79",2,3,1
"CD80",0,4,4
"CD81",2,6,4
"CD82",4,1,-3
"CD83",5,2,-3
"CD84",4,3,-1
"CD85",1,1,0
"CD86",3,3,0
"CD87",4,0,-4
"CD88",2,3,1
"CD89",1,2,1
"CD90",4,5,1
"CD91",4,6,2
"CD92",3,3,0
"CD93",1,3,2
"CD94",0,3,3
"CD95",1,2,1
"CD96",4,2,-2
"CD97",3,1,-2
"CD98",4,3,-1
"CD99",3,3,0
"CE10",1,4,3
"CE11",4,5,1
"CE12",0,3,3
"CE13",2,2,0
"CE14",2,3,1
"CE15",3,2,-1
"CE16",4,2,-2
"CE17",4,2,-2
"CE18",3,4,1
"CE19",2,1,-1
"CE20",4,2,-2
"CE21",4,3,-1
"CE22",4,3,-1
"CE23",3,3,0
"CE24",3,3,0
"CE25",3,2,-1
"CE26",0,2,2
"CE27",1,3,2
"CE28",1,3,2
"CE29",1,2,1
"CE30",3,4,1
"CE31",3,1,-2
"CE32",3,3,0
"CE33",4,3,-1
"CE34",1,2,1
"CE35",1,2,1
"CE36",4,3,-1
"CE37",2,1,-1
"CE38",4,3,-1
"CE39",1,2,1
"CE40",1,6,5
"CE41",0,1,1
"CE42",4,3,-1
"CE43",2,3,1
"CE44",2,3,1
"CE45",1,4,3
"CE46",1,1,0
"CE47",2,4,2
"CE48",2,1,-1
"CE49",2,2,0
"CE50",2,3,1
"CE51",2,4,2
"CE52",4,5,1
"CE53",3,1,-2
"CE54",2,0,-2
"CE55",3,4,1
"CE56",3,3,0
"CE57",2,1,-1
"CE58",1,2,1
"CE59",1,2,1
"CE60",3,5,2
"CE61",2,5,3
"CE62",4,6,2
"CE63",4,3,-1
"CE64",4,4,0
"CE65",3,3,0
"CE66",0,2,2
"CE67",2,1,-1
"CE68",1,2,1
"CE69",3,1,-2
"CE70",1,3,2
"CE71",3,3,0
"CE72",5,3,-2
"CE73",4,3,-1
"CE74",4,3,-1
"CE75",4,3,-1
"CE76",1,1,0
"CE77",2,1,-1
"CE78",6,1,-5
"CE79",0,4,4
"CE80",4,7,3
"CE81",1,4,3
"CE82",5,5,0
"CE83",3,3,0
"CE84",3,2,-1
"CE85",3,2,-1
"CE86",1,5,4
"CE87",2,2,0
"CE88",5,2,-3
"CE89",4,1,-3
"CE90",2,3,1
"CE91",2,2,0
"CE92",2,1,-1
"CE93",3,0,-3
"CE94",1,3,2
"CE95",2,0,-2
"CE96",1,2,1
"CE97",2,5,3
"CE98",1,2,1
"CE99",4,4,0
"CF00",1,2,1
"CF10",5,5,0
"CF11",2,2,0
"CF12",4,3,-1
"CF13",3,2,-1
"CF14",4,1,-3
"CF15",4,2,-2
"CF16",2,2,0
"CF17",0,0,0
"CF18",1,5,4
"CF19",4,2,-2
"CF20",4,1,-3
"CF21",3,3,0
"CF22",3,1,-2
"CF23",3,4,1
"CF24",3,2,-1
"CF25",2,4,2
"CF26",1,2,1
"CF27",3,3,0
"CF28",3,1,-2
"CF29",4,4,0
"CF30",5,6,1
"CF31",6,6,0
"CF32",5,5,0
"CF33",4,5,1
"CF34",3,5,2
"CF35",4,4,0
"CF36",4,1,-3
"CF37",2,3,1
"CF38",3,2,-1
"CF39",5,3,-2
"CF40",3,5,2
"CF41",5,6,1
"CF42",2,4,2
"CF43",3,3,0
"CF44",3,4,1
"CF45",1,5,4
"CF46",2,2,0
"CF47",3,4,1
"CF48",2,2,0
"CF49",5,4,-1
"CF50",4,5,1
"CF51",3,5,2
"CF52",5,5,0
"CF53",4,5,1
"CF54",5,6,1
"CF55",3,3,0
"CF56",3,4,1
"CF57",3,3,0
"CF58",3,4,1
"CF59",2,2,0
"CF60",5,6,1
"CF61",5,6,1
"CF62",5,8,3
"CF63",5,6,1
"CF64",5,4,-1
"CF65",4,4,0
"CF66",3,3,0
"CF67",2,5,3
"CF68",3,3,0
"CF69",4,5,1
"CF70",4,5,1
"CF71",6,5,-1
"CF72",6,5,-1
"CF73",5,5,0
"CF74",3,4,1
"CF75",4,3,-1
"CF76",4,2,-2
"CF77",2,3,1
"CF78",3,2,-1
"CF79",4,4,0
"CF80",2,3,1
"CF81",3,0,-3
"CF82",6,5,-1
