base_site,site_from,site_to,X,Y,predictor,predictor_label,coefficient,local_t,abs_local_t,direction,local_r2,trait_family,trait_value,n_species,model_set,supported,dominant_driver,dominant_direction
ED31,ED31,ED31,617500.0689346831,6257499.919604393,tmean_breeding,Temperature,0.021711284505099904,6.431641708516063,6.431641708516063,Positive,0.09709816415919997,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
EE05,EE05,EE05,602500.0291128291,6227499.796893536,tmean_breeding,Temperature,0.01878036562523284,8.57703128958256,8.57703128958256,Positive,0.1285088440784767,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
EE06,EE06,EE06,602500.0177116019,6232499.873435614,tmean_breeding,Temperature,0.01953580289344243,8.115763130374294,8.115763130374294,Positive,0.11827679293115138,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
EE07,EE07,EE07,602500.0370459903,6237499.880717993,tmean_breeding,Temperature,0.020042817686727214,7.514181881683823,7.514181881683823,Positive,0.10982637597695828,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
EE08,EE08,EE08,602500.0238220977,6242499.8172161,tmean_breeding,Temperature,0.020204715498718433,6.781053896511955,6.781053896511955,Positive,0.10297399778636304,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
EE09,EE09,EE09,602500.0332308657,6247499.906951615,tmean_breeding,Temperature,0.019892555693688863,5.942299268978201,5.942299268978201,Positive,0.09768909705042719,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
EE15,EE15,EE15,607500.0429033731,6227499.870408693,tmean_breeding,Temperature,0.018029464988375814,8.564033798244122,8.564033798244122,Positive,0.13827266557685822,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
EE16,EE16,EE16,607500.0326255038,6232499.819688625,tmean_breeding,Temperature,0.01895267374841882,8.249198793798875,8.249198793798875,Positive,0.12543933302015092,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
EE17,EE17,EE17,607500.0336967214,6237499.811088578,tmean_breeding,Temperature,0.019736631679237483,7.824022802714422,7.824022802714422,Positive,0.11456670710545884,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
EE18,EE18,EE18,607500.0446534248,6242499.84457169,tmean_breeding,Temperature,0.020312394736027764,7.274932894518975,7.274932894518975,Positive,0.10561795354576368,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
EE19,EE19,EE19,607500.0022517216,6247499.918539914,tmean_breeding,Temperature,0.020568349934225225,6.59824194007942,6.59824194007942,Positive,0.09852960213573485,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
EE27,EE27,EE27,612500.0178630335,6237499.805356083,tmean_breeding,Temperature,0.019219342770938903,8.013993869437888,8.013993869437888,Positive,0.12483502218615744,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
EE28,EE28,EE28,612500.0568845634,6242499.83450955,tmean_breeding,Temperature,0.02005675651106721,7.6304041505581255,7.6304041505581255,Positive,0.11333946206082865,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
EE29,EE29,EE29,612500.0256645977,6247499.904153242,tmean_breeding,Temperature,0.020727331427226388,7.130624815762312,7.130624815762312,Positive,0.10410877097943738,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
EE39,EE39,EE39,617500.0586333661,6247499.861813668,tmean_breeding,Temperature,0.020491474651407847,7.50575518332937,7.50575518332937,Positive,0.11500213981385113,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
EF00,EF00,EF00,602500.1568967437,6152499.938279047,hh,Land-use heterogeneity,-0.003669853547382986,-4.401128495715012,4.401128495715012,Negative,0.3704587566433793,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Land-use heterogeneity,Negative
EF01,EF01,EF01,602500.110434067,6157499.949953882,hh,Land-use heterogeneity,-0.003644802787600174,-4.432127306759315,4.432127306759315,Negative,0.3618605295432363,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Land-use heterogeneity,Negative
EF02,EF02,EF02,602500.11502745,6162499.892898545,prec_breeding,Precipitation,-0.005215761328583223,-4.521129242367007,4.521129242367007,Negative,0.32718125637253387,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Precipitation,Negative
EF06,EF06,EF06,602500.0299051435,6182499.853612516,tmean_breeding,Temperature,0.007375924377484452,5.642612381691434,5.642612381691434,Positive,0.24058431235877098,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
