trait_family,trait_value,n_species,base_site,site_from,site_to,X,Y,local_r2,dominant_predictor,dominant_predictor_label,dominant_local_t,dominant_abs_local_t,supported,dominant_driver,dominant_direction
Foraging guild,Aquatic pursuers,6,DC36,DC36,DC36,567499.7009201018,6332499.938928539,0.10141967642114925,tmean_breeding,Temperature,3.335492486016495,3.335492486016495,TRUE,Temperature,Positive
Foraging guild,Aquatic pursuers,6,DC37,DC37,DC37,567499.6402083595,6337499.873123914,0.1048158726025364,tmean_breeding,Temperature,3.3354038289406467,3.3354038289406467,TRUE,Temperature,Positive
Foraging guild,Aquatic pursuers,6,DC39,DC39,DC39,567499.6437902323,6347499.858365299,0.11072912600175114,tmean_breeding,Temperature,3.18852648335344,3.18852648335344,TRUE,Temperature,Positive
Foraging guild,Aquatic pursuers,6,DC40,DC40,DC40,572499.8148650045,6302499.969526697,0.06980653759273478,perc_cropland,Cropland,-3.1049456051916,3.1049456051916,TRUE,Cropland,Negative
Foraging guild,Aquatic pursuers,6,DC41,DC41,DC41,572499.821296516,6307499.929013042,0.07325782530613939,perc_cropland,Cropland,-3.0111512777223917,3.0111512777223917,TRUE,Cropland,Negative
Foraging guild,Aquatic pursuers,6,DC42,DC42,DC42,572499.8176624437,6312499.927039073,0.07730841989338821,perc_cropland,Cropland,-2.905141577468259,2.905141577468259,TRUE,Cropland,Negative
Foraging guild,Aquatic pursuers,6,DC43,DC43,DC43,572499.74222273,6317499.962513002,0.08179465674855987,tmean_breeding,Temperature,2.8467197440675207,2.8467197440675207,TRUE,Temperature,Positive
Foraging guild,Aquatic pursuers,6,DC45,DC45,DC45,572499.6797881541,6327499.928359153,0.0906362283403681,tmean_breeding,Temperature,3.0204352711767344,3.0204352711767344,TRUE,Temperature,Positive
Foraging guild,Aquatic pursuers,6,BD31,BD31,BD31,467500.0543298067,6257499.600372754,0.30658233077243924,perc_cropland,Cropland,-2.8731814476777937,2.8731814476777937,TRUE,Cropland,Negative
Foraging guild,Aquatic pursuers,6,DC48,DC48,DC48,572499.603288505,6342499.944623605,0.10124936464102026,tmean_breeding,Temperature,3.0127593768270087,3.0127593768270087,TRUE,Temperature,Positive
