trait_family,trait_value,n_species,model_set,predictor,n_rows,bandwidth_m,aicc,rss,local_r2_mean,local_r2_median,local_r2_max,max_abs_local_t,status
Foraging guild,Passerine seedeaters,12,single_predictor,Grass/Shrubland,1776,100000,-11403.674850424073,0.1655055135867089,0.2901014623942344,0.27601508233346217,0.598677912350536,5.761193941137803,ok
Foraging guild,Passerine seedeaters,12,single_predictor,Pasture,1776,100000,-11414.340636404188,0.16443249291529455,0.29911493319381655,0.3018962581528294,0.5933003401312892,7.257852766611459,ok
Foraging guild,Passerine seedeaters,12,single_predictor,Urban,1776,100000,-11358.529074580118,0.16988267551430522,0.2727739272845273,0.2680750904644661,0.5881566296475934,3.5503422044454216,ok
Foraging guild,Passerine seedeaters,12,single_predictor,Precipitation,1776,100000,-11354.798323479718,0.17052592004616124,0.26982013375980085,0.2587933664937496,0.5921721522161918,6.987025600280777,ok
Foraging guild,Passerine seedeaters,12,single_predictor,Temperature,1776,100000,-11361.99652521444,0.1703348560253796,0.270152757284933,0.25909184075557873,0.5908635785352752,13.787824843971173,ok
Foraging guild,Plovers,6,single_predictor,Land-use heterogeneity,1776,100000,-11056.513133384598,0.20138287164822571,0.14213733284426877,0.1307590708945317,0.7686531472086198,6.54578313658217,ok
Foraging guild,Plovers,6,single_predictor,Cropland,1776,100000,-11081.677663707991,0.19857271454606643,0.15529918450848898,0.1477918480337675,0.7678717006262081,7.334599169735383,ok
Foraging guild,Plovers,6,single_predictor,Forest,1776,100000,-11025.30097304445,0.2048284177623805,0.13043476518963074,0.12121658728559812,0.7567956061057647,5.951159389377175,ok
Foraging guild,Plovers,6,single_predictor,Grass/Shrubland,1776,100000,-11001.460868421309,0.2075716011015108,0.11665693521502901,0.11157796384984786,0.7705802174938303,4.146380445369571,ok
Foraging guild,Plovers,6,single_predictor,Pasture,1776,100000,-11015.20104598025,0.20586916979293066,0.12648425418027193,0.11792542379971249,0.789430990112535,5.685138008359162,ok
Foraging guild,Plovers,6,single_predictor,Urban,1776,100000,-10992.80531506467,0.20872833940658866,0.11619768281923228,0.11212174181826232,0.7617935477574909,4.09416757358677,ok
Foraging guild,Plovers,6,single_predictor,Precipitation,1776,100000,-11082.636704006298,0.19876663815324114,0.1474284566782628,0.12564434906603922,0.7597831085284655,10.97337299999836,ok
Foraging guild,Plovers,6,single_predictor,Temperature,1776,100000,-11025.635293246809,0.2058522804870112,0.11839506519430633,0.10439747129378221,0.7975210312881401,8.579845938022784,ok
Foraging guild,Rails,5,single_predictor,Land-use heterogeneity,1776,100000,-12031.353550066711,0.11631607838779803,0.20723769468679976,0.1963161897040991,0.4040641158276734,4.29049502690465,ok
Foraging guild,Rails,5,single_predictor,Cropland,1776,100000,-12037.104725591127,0.11595354829600438,0.21033486926288017,0.20196932803770998,0.41977772839349525,4.7220485660573335,ok
Foraging guild,Rails,5,single_predictor,Forest,1776,100000,-12039.368552859742,0.11572175483685895,0.2124469334962477,0.20300481206990806,0.4400490791692582,5.166839556416217,ok
Foraging guild,Rails,5,single_predictor,Grass/Shrubland,1776,100000,-12024.479135470234,0.11668203044629841,0.20503157915116169,0.1910789571067632,0.39640660734168387,3.394869961445659,ok
Foraging guild,Rails,5,single_predictor,Pasture,1776,100000,-12019.87735830975,0.11692640819678557,0.2023456817821058,0.18330639849328098,0.3959392007279241,2.9839926655145192,ok
Foraging guild,Rails,5,single_predictor,Urban,1776,100000,-12024.81498924828,0.11673974632346965,0.20324831901552073,0.18612873904947674,0.4067296753730348,3.794278960081749,ok
Foraging guild,Rails,5,single_predictor,Precipitation,1776,100000,-12027.830272654151,0.11673750625981401,0.20568694165132467,0.1901636020009293,0.40935834609145516,8.006202419260637,ok
Foraging guild,Rails,5,single_predictor,Temperature,1776,100000,-12035.159926558481,0.11659807848982733,0.20511908694561148,0.1843117146369447,0.45803856246235947,14.992751940597566,ok
Foraging guild,Scolopacids,9,single_predictor,Land-use heterogeneity,1776,100000,-11039.044164764695,0.20337347381351717,0.1526957590614151,0.13804984744344803,0.8760009782808604,5.844168739167638,ok
Foraging guild,Scolopacids,9,single_predictor,Cropland,1776,100000,-11079.004807981943,0.19887178876226722,0.17240222195795024,0.16237050847056855,0.8758740538084901,8.062155708678523,ok
Foraging guild,Scolopacids,9,single_predictor,Forest,1776,100000,-11040.985020297592,0.20302751961447466,0.15663039476643625,0.13791726291224327,0.8769379169999226,5.170582886792417,ok
Foraging guild,Scolopacids,9,single_predictor,Grass/Shrubland,1776,100000,-11051.950727089306,0.20175364445974478,0.15200087163121528,0.14279836894403902,0.8796626722242207,7.621359444540443,ok
Foraging guild,Scolopacids,9,single_predictor,Pasture,1776,100000,-11022.312056817855,0.20504652844164528,0.1430013345037144,0.13141040959172273,0.8774008720498153,4.015729539482469,ok
Foraging guild,Scolopacids,9,single_predictor,Urban,1776,100000,-10991.755824246757,0.20885171959378224,0.1282066039264322,0.11500274074899175,0.8756888939221467,2.233469942672635,ok
Foraging guild,Scolopacids,9,single_predictor,Precipitation,1776,100000,-11097.67192350357,0.19709102685356433,0.15425121036774206,0.131823962768766,0.8801620386044617,12.683501278745016,ok
Foraging guild,Scolopacids,9,single_predictor,Temperature,1776,100000,-11067.777976953115,0.20102511248136923,0.15041721324114668,0.1426405136234617,0.8871946086432927,11.704617954026997,ok
Foraging guild,Terns,5,single_predictor,Land-use heterogeneity,1776,100000,-13239.59050196417,0.058909225023093995,0.15020399161641518,0.1423093361625912,0.9045087915698403,7.433720642044891,ok
Foraging guild,Terns,5,single_predictor,Cropland,1776,100000,-13276.365588227387,0.05770868302720416,0.16474111109336723,0.1645509950755145,0.9074797903801576,9.094899876043444,ok
Foraging guild,Terns,5,single_predictor,Forest,1776,100000,-13198.32999723103,0.06025709131753409,0.12980881335366937,0.11295969966562133,0.9071509960422635,5.322448338032242,ok
Foraging guild,Terns,5,single_predictor,Grass/Shrubland,1776,100000,-13207.399968676184,0.059942964531292955,0.13095970025721412,0.10276642676218788,0.9042378945414429,8.362791843179082,ok
Foraging guild,Terns,5,single_predictor,Pasture,1776,100000,-13189.44907188942,0.06052170830335213,0.12530431459586475,0.11374477301723028,0.9111282898855276,7.146266183318083,ok
