atlas,atlas_index,species,climate,land_use,environmental_variables,spatial_biotic_dependencies,total_explained,tjur_r2,scaling_check_abs_diff
1970s,1,Tringa_glareola,0.0756462508807016,0.07030167355767994,0.14594792443838153,0.04127433506912777,0.18722225950750931,0.187222259507509,3.0531133177191805e-16
1970s,1,Tringa_ochropus,0.014132692052526078,0.07636504980647736,0.09049774185900344,0.13532701257314858,0.22582475443215203,0.225824754432152,2.7755575615628914e-17
1970s,1,Tringa_totanus,0.11282264698513975,0.09327634429191287,0.2060989912770526,0.32810557920729977,0.5342045704843523,0.534204570484352,3.3306690738754696e-16
1970s,1,Vanellus_vanellus,0.013318407849109388,0.014807289636027399,0.028125697485136786,0.15160279463704102,0.1797284921221778,0.179728492122178,1.942890293094024e-16
1970s,1,Columba_oenas,0.01602373301697434,0.022243613396818702,0.03826734641379304,0.0885744756911091,0.12684182210490214,0.126841822104902,1.3877787807814457e-16
1970s,1,Columba_palumbus,0.004550373360464884,0.04505299161008744,0.04960336497055232,0.21320851400575355,0.26281187897630587,0.262811878976306,1.1102230246251565e-16
1970s,1,Streptopelia_decaocto,0.0031013183782255278,0.04852154329826185,0.05162286167648738,0.17581375890760262,0.22743662058409,0.22743662058409,0
1970s,1,Streptopelia_turtur,0.015772121578923208,0.010605929940734104,0.02637805151965731,0.04293153272976727,0.06930958424942457,0.0693095842494246,2.7755575615628914e-17
1970s,1,Alcedo_atthis,0.02437645585458214,0.07339834666541567,0.09777480251999782,0.1933709457125011,0.29114574823249895,0.291145748232499,5.551115123125783e-17
1970s,1,Cuculus_canorus,0.005063685138399467,0.009772889509282755,0.014836574647682222,0.10012562614998081,0.11496220079766303,0.114962200797663,2.7755575615628914e-17
1970s,1,Falco_tinnunculus,0.004003109421283809,0.021649877928185422,0.025652987349469233,0.14628757875366405,0.1719405661031333,0.171940566103133,3.0531133177191805e-16
1970s,1,Coturnix_coturnix,0.0019100006697412085,0.00860763486372501,0.010517635533466218,0.01786491532089585,0.028382550854362067,0.0283825508543621,3.469446951953614e-17
1970s,1,Perdix_perdix,0.002381120479214326,0.021930477117046113,0.024311597596260438,0.20090161939744625,0.2252132169937067,0.225213216993707,3.0531133177191805e-16
1970s,1,Crex_crex,9.157291043919086e-4,0.012687468418634789,0.013603197523026698,0.042047817259033005,0.0556510147820597,0.0556510147820597,0
1970s,1,Fulica_atra,0.020890277490131875,0.026187900948213747,0.04707817843834562,0.3762101047525982,0.4232882831909438,0.423288283190944,2.220446049250313e-16
1970s,1,Gallinula_chloropus,0.00954242749869887,0.01948182481609097,0.02902425231478984,0.2380056631797773,0.26702991549456717,0.267029915494567,1.6653345369377348e-16
