atlas,draw,trait_family,full_r2t_y,drop_r2t_y,contribution
1970s,78,Species thermal index,0.1884213704439781,0.18836981616332918,5.155428064892997e-5
1970s,78,Migratory strategy,0.1884213704439781,0.11325769697574971,0.0751636734682284
1970s,78,Foraging guild,0.1884213704439781,0.0717161893504369,0.11670518109354121
1970s,79,Species thermal index,0.129218594304698,0.1139118086754159,0.015306785629282116
1970s,79,Migratory strategy,0.129218594304698,0.05622684730478358,0.07299174699991443
1970s,79,Foraging guild,0.129218594304698,0.08573961982469162,0.043478974480006385
1970s,80,Species thermal index,0.218128074671403,0.2153394067416125,0.0027886679297904893
1970s,80,Migratory strategy,0.218128074671403,0.10608984096403833,0.11203823370736467
1970s,80,Foraging guild,0.218128074671403,0.1080145718739415,0.11011350279746149
1970s,81,Species thermal index,0.08811536259136807,0.10048003643757561,-0.012364673846207541
1970s,81,Migratory strategy,0.08811536259136807,0.03931446631595991,0.04880089627540816
1970s,81,Foraging guild,0.08811536259136807,0.05055145572978974,0.03756390686157833
1970s,82,Species thermal index,0.1871381718337521,0.19129975297304813,-0.0041615811392960445
1970s,82,Migratory strategy,0.1871381718337521,0.1075726710399286,0.07956550079382349
1970s,82,Foraging guild,0.1871381718337521,0.05492101996010013,0.13221715187365196
1970s,83,Species thermal index,0.09259859613265728,0.09455123096296962,-0.0019526348303123414
1970s,83,Migratory strategy,0.09259859613265728,0.0485092984099752,0.04408929772268208
1970s,83,Foraging guild,0.09259859613265728,0.06262569755536981,0.029972898577287466
1970s,84,Species thermal index,0.07896092303478779,0.07996442947704353,-0.0010035064422557471
1970s,84,Migratory strategy,0.07896092303478779,0.026621878173053694,0.05233904486173409
1970s,84,Foraging guild,0.07896092303478779,0.0742291458152531,0.0047317772195346885
1970s,85,Species thermal index,0.11961071472397385,0.1280141317316735,-0.008403417007699657
1970s,85,Migratory strategy,0.11961071472397385,0.06298861524681648,0.056622099477157364
1970s,85,Foraging guild,0.11961071472397385,0.05104761820663294,0.06856309651734091
1970s,86,Species thermal index,0.21085531494323156,0.22187381164229394,-0.01101849669906238
1970s,86,Migratory strategy,0.21085531494323156,0.1302019623397919,0.08065335260343967
1970s,86,Foraging guild,0.21085531494323156,0.057999317722404756,0.15285599722082682
1970s,87,Species thermal index,0.07403539279786465,0.06624734488258964,0.007788047915275015
1970s,87,Migratory strategy,0.07403539279786465,0.02618872060590236,0.04784667219196229
1970s,87,Foraging guild,0.07403539279786465,0.08014499310494046,-0.006109600307075802
1970s,88,Species thermal index,0.036620878465853844,0.08203525589356808,-0.04541437742771424
1970s,88,Migratory strategy,0.036620878465853844,0.011634897773258377,0.024985980692595465
1970s,88,Foraging guild,0.036620878465853844,0.006495405189955133,0.03012547327589871
1970s,89,Species thermal index,0.17500642744875633,0.1720724155930423,0.0029340118557140416
1970s,89,Migratory strategy,0.17500642744875633,0.12880398489726969,0.046202442551486644
1970s,89,Foraging guild,0.17500642744875633,0.06237458098315929,0.11263184646559704
1970s,90,Species thermal index,0.1870775628071077,0.16732503625204534,0.01975252655506235
1970s,90,Migratory strategy,0.1870775628071077,0.08225426664982337,0.10482329615728432
1970s,90,Foraging guild,0.1870775628071077,0.10659745097601207,0.08048011183109562
1970s,91,Species thermal index,0.07596387760011014,0.07230327018720833,0.0036606074129018062
1970s,91,Migratory strategy,0.07596387760011014,0.03715361925811251,0.03881025834199763
1970s,91,Foraging guild,0.07596387760011014,0.04530273682702215,0.030661140773087993
1970s,92,Species thermal index,0.20796223227034982,0.2125434257286631,-0.004581193458313287
1970s,92,Migratory strategy,0.20796223227034982,0.14447593819806168,0.06348629407228815
