grouping_type,atlas,period,group_pair_type,group_1,group_2,group_pair,n_group_pairs,support_class,observed_prop,null_mean,null_sd,null_lower_95,null_upper_95,observed_minus_null,null_z,empirical_p_upper,empirical_p_lower,empirical_p_two_sided,unstable_small_pair_count,fdr_p,fdr_0_05,display_name
foraging_guild,1,1970s,Between group,Gallinaceous birds,Kingfishers,Gallinaceous birds | Kingfishers,2,Supported negative,0,0.035035035035035036,0.1334518361016123,0,0.5,-0.035035035035035036,-0.26252943427738845,1,0.933,1,TRUE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Within group,Grazing waterfowl,Grazing waterfowl,Grazing waterfowl,1,Supported negative,0,0.035035035035035036,0.18396047588313097,0,1,-0.035035035035035036,-0.19044870843502598,1,0.965,1,TRUE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Nigthjars,Wading birds,Nigthjars | Wading birds,2,Supported negative,0,0.035035035035035036,0.13531590654058226,0,0.5,-0.035035035035035036,-0.2589129092855596,1,0.934,1,TRUE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Cuckoos,Grazing waterfowl,Cuckoos | Grazing waterfowl,2,Supported negative,0,0.03453453453453453,0.13636623503886763,0,0.5,-0.03453453453453453,-0.2532484271102107,1,0.936,1,TRUE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Gallinaceous birds,Nigthjars,Gallinaceous birds | Nigthjars,2,Supported negative,0,0.03203203203203203,0.12651872965249344,0,0.5,-0.03203203203203203,-0.25318015854264264,1,0.938,1,TRUE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Diurnal raptors,Owls,Diurnal raptors | Owls,35,Supported negative,0.05714285714285714,0.025339625339625263,0.03350258174062968,0,0.11428571428571428,0.03180323180323188,0.9492770452571736,0.217,0.901,0.434,FALSE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Flycatchers,Orioles,Flycatchers | Orioles,3,Supported negative,0,0.03169836503169832,0.10654696751465821,0,0.3333333333333333,-0.03169836503169832,-0.2975060273520916,1,0.913,1,TRUE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Diving ducks,Open-land insectivores,Diving ducks | Open-land insectivores,18,Supported negative,0.05555555555555555,0.02435769102435778,0.04161426839514409,0,0.1111111111111111,0.031197864531197772,0.74969152971672115,0.321,0.91,0.642,FALSE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Cuckoos,Kingfishers,Cuckoos | Kingfishers,1,Supported negative,0,0.031031031031031032,0.17348842758827615,0,1,-0.031031031031031032,-0.17886513505485263,1,0.969,1,TRUE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Starlings,Wading birds,Starlings | Wading birds,2,Supported negative,0,0.031031031031031032,0.12872909693941018,0,0.5,-0.031031031031031032,-0.24105685325856535,1,0.942,1,TRUE,1,FALSE,Foraging guild
