model_folder,atlas,period,species_a,species_b,omega_mean,pr_positive,pr_negative,pair_id,support_class,is_supported_positive,is_supported_negative,guild_a,migration_group_a,species_thermal_index_a,guild_b,migration_group_b,species_thermal_index_b,guild_1,guild_2,guild_pair,guild_pair_type
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Astur_gentilis,Limosa_limosa,-0.5510559440747325,0,1,Astur_gentilis__Limosa_limosa,Supported negative,FALSE,TRUE,Diurnal raptors,sedentary,11.8007973825,Scolopacids,long-distance,12.0468335512,Diurnal raptors,Scolopacids,Diurnal raptors | Scolopacids,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Mergus_merganser,Numenius_arquata,-0.5496167252683427,0.029,0.971,Mergus_merganser__Numenius_arquata,Supported negative,FALSE,TRUE,Aquatic pursuers,short-distance,7.9118621485,Scolopacids,short-distance,10.0493203009,Aquatic pursuers,Scolopacids,Aquatic pursuers | Scolopacids,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Astur_gentilis,Calidris_alpina,-0.5479652216907535,0,1,Astur_gentilis__Calidris_alpina,Supported negative,FALSE,TRUE,Diurnal raptors,sedentary,11.8007973825,Scolopacids,long-distance,7.0663752664,Diurnal raptors,Scolopacids,Diurnal raptors | Scolopacids,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Sternula_albifrons,Columba_oenas,-0.5419149064094183,0.001,0.999,Sternula_albifrons__Columba_oenas,Supported negative,FALSE,TRUE,Terns,long-distance,13.6554594356,Columbids,short-distance,12.4358174295,Columbids,Terns,Columbids | Terns,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Astur_gentilis,Anarhynchus_alexandrinus,-0.5343034322993635,0,1,Astur_gentilis__Anarhynchus_alexandrinus,Supported negative,FALSE,TRUE,Diurnal raptors,sedentary,11.8007973825,Plovers,short-and long-distance,16.3071703744,Diurnal raptors,Plovers,Diurnal raptors | Plovers,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Calidris_pugnax,Columba_oenas,-0.5244346674810841,0,1,Calidris_pugnax__Columba_oenas,Supported negative,FALSE,TRUE,Scolopacids,long-distance,7.9732949741,Columbids,short-distance,12.4358174295,Columbids,Scolopacids,Columbids | Scolopacids,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Acanthis_flammea,Oriolus_oriolus,-0.5218372624512483,0.01,0.99,Acanthis_flammea__Oriolus_oriolus,Supported negative,FALSE,TRUE,Passerine seedeaters,short-distance,8.1923087262,Orioles,long-distance,13.4707159049,Orioles,Passerine seedeaters,Orioles | Passerine seedeaters,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Acanthis_flammea,Corvus_corax,-0.5209172930123641,0.003,0.997,Acanthis_flammea__Corvus_corax,Supported negative,FALSE,TRUE,Passerine seedeaters,short-distance,8.1923087262,Omnivorous corvids,sedentary,11.7378412998,Omnivorous corvids,Passerine seedeaters,Omnivorous corvids | Passerine seedeaters,Between guild
2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage,2,1990s,Pyrrhula_pyrrhula,Dendrocopos_major,0.9926606468247327,1,0,Pyrrhula_pyrrhula__Dendrocopos_major,Supported positive,TRUE,FALSE,Passerine seedeaters,short-distance,10.756294956,Woodpeckers,sedentary,12.1154284266,Passerine seedeaters,Woodpeckers,Passerine seedeaters | Woodpeckers,Between guild
2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage,2,1990s,Aythya_fuligula,Cygnus_olor,0.9924776406683332,1,0,Aythya_fuligula__Cygnus_olor,Supported positive,TRUE,FALSE,Diving ducks,short-distance,10.1385920012,Grazing waterfowl,sedentary and short-distance,12.1899516659,Diving ducks,Grazing waterfowl,Diving ducks | Grazing waterfowl,Between guild
