grouping_type,atlas,period,group_pair_type,group_1,group_2,group_pair,support_class,n_class_pairs,n_group_pairs,observed_prop,atlas_prop,observed_minus_atlas_prop,unstable_small_pair_count,bootstrap_mean,bootstrap_median,bootstrap_lower_80,bootstrap_upper_80,bootstrap_lower_95,bootstrap_upper_95
foraging_guild,2,1990s,Between group,Dippers,Terns,Dippers | Terns,Supported positive,0,5,0,0.6518863302302793,-0.6518863302302793,TRUE,0,0,0,0,0,0
foraging_guild,2,1990s,Between group,Dippers,Thrushes,Dippers | Thrushes,Supported positive,0,4,0,0.6518863302302793,-0.6518863302302793,TRUE,0,0,0,0,0,0
foraging_guild,2,1990s,Between group,Dippers,Tit-like birds,Dippers | Tit-like birds,Supported positive,3,12,0.25,0.6518863302302793,-0.4018863302302793,FALSE,0.24333333333333307,0.25,0.25,0.25,0.16666666666666666,0.25
foraging_guild,2,1990s,Between group,Dippers,Wading birds,Dippers | Wading birds,Supported positive,0,2,0,0.6518863302302793,-0.6518863302302793,TRUE,0,0,0,0,0,0
foraging_guild,2,1990s,Between group,Dippers,Woodpeckers,Dippers | Woodpeckers,Supported positive,1,5,0.2,0.6518863302302793,-0.4518863302302793,TRUE,0.19599999999999743,0.2,0.2,0.2,0.2,0.2
foraging_guild,2,1990s,Within group,Diurnal raptors,Diurnal raptors,Diurnal raptors,Supported positive,12,21,0.5714285714285714,0.6518863302302793,-0.08045775880170791,FALSE,0.5833809523809439,0.5714285714285714,0.5714285714285714,0.6190476190476191,0.5714285714285714,0.6190476190476191
foraging_guild,2,1990s,Between group,Diurnal raptors,Diving ducks,Diurnal raptors | Diving ducks,Supported positive,12,21,0.5714285714285714,0.6518863302302793,-0.08045775880170791,FALSE,0.5714285714285648,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
foraging_guild,2,1990s,Between group,Diurnal raptors,Flycatchers,Diurnal raptors | Flycatchers,Supported positive,13,21,0.6190476190476191,0.6518863302302793,-0.03283871118266024,FALSE,0.6201904761904611,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.6190476190476191
foraging_guild,2,1990s,Between group,Diurnal raptors,Foliage gleaners,Diurnal raptors | Foliage gleaners,Supported positive,54,63,0.8571428571428571,0.6518863302302793,0.20525652691257779,FALSE,0.8578412698412764,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8412698412698413,0.873015873015873
foraging_guild,2,1990s,Between group,Diurnal raptors,Gallinaceous birds,Diurnal raptors | Gallinaceous birds,Supported positive,11,14,0.7857142857142857,0.6518863302302793,0.1338279554840064,FALSE,0.7853571428571562,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857
foraging_guild,2,1990s,Between group,Diurnal raptors,Grazing waterfowl,Diurnal raptors | Grazing waterfowl,Supported positive,9,14,0.6428571428571429,0.6518863302302793,-0.009029187373136405,FALSE,0.658071428571428,0.6428571428571429,0.6428571428571429,0.7142857142857143,0.6428571428571429,0.7142857142857143
foraging_guild,2,1990s,Between group,Diurnal raptors,Gulls,Diurnal raptors | Gulls,Supported positive,16,35,0.45714285714285713,0.6518863302302793,-0.19474347308742218,FALSE,0.45551428571428454,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.42857142857142855,0.45714285714285713
foraging_guild,2,1990s,Between group,Diurnal raptors,Kingfishers,Diurnal raptors | Kingfishers,Supported positive,6,7,0.8571428571428571,0.6518863302302793,0.20525652691257779,TRUE,0.8571428571428638,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
foraging_guild,2,1990s,Between group,Diurnal raptors,Low flycatching feeders,Diurnal raptors | Low flycatching feeders,Supported positive,48,63,0.7619047619047619,0.6518863302302793,0.11001843167448255,FALSE,0.7576666666666741,0.7619047619047619,0.746031746031746,0.7619047619047619,0.746031746031746,0.7619047619047619
foraging_guild,2,1990s,Between group,Diurnal raptors,Marsh warblers,Diurnal raptors | Marsh warblers,Supported positive,27,42,0.6428571428571429,0.6518863302302793,-0.009029187373136405,FALSE,0.6424047619047635,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429
foraging_guild,2,1990s,Between group,Diurnal raptors,Nigthjars,Diurnal raptors | Nigthjars,Supported positive,1,7,0.14285714285714285,0.6518863302302793,-0.5090291873731365,TRUE,0.1428571428571412,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
foraging_guild,2,1990s,Between group,Diurnal raptors,Omnivorous corvids,Diurnal raptors | Omnivorous corvids,Supported positive,38,49,0.7755102040816326,0.6518863302302793,0.12362387385135332,FALSE,0.7810000000000136,0.7755102040816326,0.7755102040816326,0.7959183673469388,0.7551020408163265,0.7959183673469388
