model_folder,atlas,period,species_a,species_b,omega_mean,pr_positive,pr_negative,pair_id,support_class,is_supported_positive,is_supported_negative,guild_a,migration_group_a,species_thermal_index_a,guild_b,migration_group_b,species_thermal_index_b,guild_1,guild_2,guild_pair,guild_pair_type
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Porzana_porzana,Sitta_europaea,-3.194723521150542e-4,0.487,0.513,Porzana_porzana__Sitta_europaea,Unsupported,FALSE,FALSE,Rails,long-distance,12.4064941754,Tit-like birds,sedentary,12.7946675987,Rails,Tit-like birds,Rails | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Rallus_aquaticus,Sitta_europaea,0.1761093397579813,0.998,0.002,Rallus_aquaticus__Sitta_europaea,Supported positive,TRUE,FALSE,Rails,sedentary and short-distance,13.3215188918,Tit-like birds,sedentary,12.7946675987,Rails,Tit-like birds,Rails | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Acanthis_flammea,Sitta_europaea,0.5824151869872393,1,0,Acanthis_flammea__Sitta_europaea,Supported positive,TRUE,FALSE,Passerine seedeaters,short-distance,8.1923087262,Tit-like birds,sedentary,12.7946675987,Passerine seedeaters,Tit-like birds,Passerine seedeaters | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Acrocephalus_arundinaceus,Sitta_europaea,-0.07141697208646106,0.303,0.697,Acrocephalus_arundinaceus__Sitta_europaea,Unsupported,FALSE,FALSE,Marsh warblers,long-distance,13.8793523116,Tit-like birds,sedentary,12.7946675987,Marsh warblers,Tit-like birds,Marsh warblers | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Acrocephalus_palustris,Sitta_europaea,0.4347795570317252,1,0,Acrocephalus_palustris__Sitta_europaea,Supported positive,TRUE,FALSE,Marsh warblers,long-distance,12.248077272,Tit-like birds,sedentary,12.7946675987,Marsh warblers,Tit-like birds,Marsh warblers | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Acrocephalus_schoenobaenus,Sitta_europaea,-0.09055862005043455,0.128,0.872,Acrocephalus_schoenobaenus__Sitta_europaea,Unsupported,FALSE,FALSE,Marsh warblers,long-distance,11.3913898283,Tit-like birds,sedentary,12.7946675987,Marsh warblers,Tit-like birds,Marsh warblers | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Acrocephalus_scirpaceus,Sitta_europaea,0.1683304773423634,0.992,0.008,Acrocephalus_scirpaceus__Sitta_europaea,Supported positive,TRUE,FALSE,Marsh warblers,long-distance,13.1524057431,Tit-like birds,sedentary,12.7946675987,Marsh warblers,Tit-like birds,Marsh warblers | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Aegithalos_caudatus,Sitta_europaea,0.8348966381512698,1,0,Aegithalos_caudatus__Sitta_europaea,Supported positive,TRUE,FALSE,Tit-like birds,sedentary,12.6607518772,Tit-like birds,sedentary,12.7946675987,Tit-like birds,Tit-like birds,Tit-like birds,Within guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Alauda_arvensis,Sitta_europaea,0.1570857240420183,0.76,0.24,Alauda_arvensis__Sitta_europaea,Unsupported,FALSE,FALSE,Open-land insectivores,sedentary and short-distance,12.1983199326,Tit-like birds,sedentary,12.7946675987,Open-land insectivores,Tit-like birds,Open-land insectivores | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Anthus_pratensis,Sitta_europaea,0.1607583082694673,0.925,0.075,Anthus_pratensis__Sitta_europaea,Unsupported,FALSE,FALSE,Open-land insectivores,short-distance,9.9487726902,Tit-like birds,sedentary,12.7946675987,Open-land insectivores,Tit-like birds,Open-land insectivores | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Anthus_trivialis,Sitta_europaea,0.4008835136286504,1,0,Anthus_trivialis__Sitta_europaea,Supported positive,TRUE,FALSE,Low flycatching feeders,long-distance,11.2439352645,Tit-like birds,sedentary,12.7946675987,Low flycatching feeders,Tit-like birds,Low flycatching feeders | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Carduelis_carduelis,Sitta_europaea,0.690751411091635,1,0,Carduelis_carduelis__Sitta_europaea,Supported positive,TRUE,FALSE,Passerine seedeaters,sedentary and short-distance,13.4542440183,Tit-like birds,sedentary,12.7946675987,Passerine seedeaters,Tit-like birds,Passerine seedeaters | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Carpodacus_erythrinus,Sitta_europaea,-0.2601881535849102,0.168,0.832,Carpodacus_erythrinus__Sitta_europaea,Unsupported,FALSE,FALSE,Passerine seedeaters,long-distance,10.348256227,Tit-like birds,sedentary,12.7946675987,Passerine seedeaters,Tit-like birds,Passerine seedeaters | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Certhia_brachydactyla,Sitta_europaea,0.8711659972806348,1,0,Certhia_brachydactyla__Sitta_europaea,Supported positive,TRUE,FALSE,Tit-like birds,sedentary,13.8972978687,Tit-like birds,sedentary,12.7946675987,Tit-like birds,Tit-like birds,Tit-like birds,Within guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Certhia_familiaris,Sitta_europaea,0.8397192833678214,1,0,Certhia_familiaris__Sitta_europaea,Supported positive,TRUE,FALSE,Tit-like birds,sedentary,11.119463211,Tit-like birds,sedentary,12.7946675987,Tit-like birds,Tit-like birds,Tit-like birds,Within guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Chloris_chloris,Sitta_europaea,0.7483738050696517,1,0,Chloris_chloris__Sitta_europaea,Supported positive,TRUE,FALSE,Passerine seedeaters,sedentary and short-distance,12.6006224966,Tit-like birds,sedentary,12.7946675987,Passerine seedeaters,Tit-like birds,Passerine seedeaters | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Cinclus_cinclus,Sitta_europaea,0.2522540967351297,0.759,0.241,Cinclus_cinclus__Sitta_europaea,Unsupported,FALSE,FALSE,Dippers,short-distance,11.0150016531,Tit-like birds,sedentary,12.7946675987,Dippers,Tit-like birds,Dippers | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Coccothraustes_coccothraustes,Sitta_europaea,0.7573507937553565,1,0,Coccothraustes_coccothraustes__Sitta_europaea,Supported positive,TRUE,FALSE,Passerine seedeaters,sedentary,12.9763477132,Tit-like birds,sedentary,12.7946675987,Passerine seedeaters,Tit-like birds,Passerine seedeaters | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Coloeus_monedula,Sitta_europaea,0.5284218190329107,1,0,Coloeus_monedula__Sitta_europaea,Supported positive,TRUE,FALSE,Omnivorous corvids,sedentary and short-distance,12.9581704982,Tit-like birds,sedentary,12.7946675987,Omnivorous corvids,Tit-like birds,Omnivorous corvids | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Corvus_corax,Sitta_europaea,0.8792063429908428,1,0,Corvus_corax__Sitta_europaea,Supported positive,TRUE,FALSE,Omnivorous corvids,sedentary,11.7378412998,Tit-like birds,sedentary,12.7946675987,Omnivorous corvids,Tit-like birds,Omnivorous corvids | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Corvus_cornix,Sitta_europaea,0.57497771468831,1,0,Corvus_cornix__Sitta_europaea,Supported positive,TRUE,FALSE,Omnivorous corvids,sedentary,12.1293990446,Tit-like birds,sedentary,12.7946675987,Omnivorous corvids,Tit-like birds,Omnivorous corvids | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Corvus_corone,Sitta_europaea,0.7040705299003525,1,0,Corvus_corone__Sitta_europaea,Supported positive,TRUE,FALSE,Omnivorous corvids,sedentary,12.1293990446,Tit-like birds,sedentary,12.7946675987,Omnivorous corvids,Tit-like birds,Omnivorous corvids | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Corvus_frugilegus,Sitta_europaea,0.145428028251368,0.786,0.214,Corvus_frugilegus__Sitta_europaea,Unsupported,FALSE,FALSE,Omnivorous corvids,sedentary,12.7340640684,Tit-like birds,sedentary,12.7946675987,Omnivorous corvids,Tit-like birds,Omnivorous corvids | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Curruca_communis,Sitta_europaea,0.5789470196677019,1,0,Curruca_communis__Sitta_europaea,Supported positive,TRUE,FALSE,Foliage gleaners,long-distance,12.6535890847,Tit-like birds,sedentary,12.7946675987,Foliage gleaners,Tit-like birds,Foliage gleaners | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Curruca_curruca,Sitta_europaea,0.4905580921561285,1,0,Curruca_curruca__Sitta_europaea,Supported positive,TRUE,FALSE,Foliage gleaners,long-distance,11.6399285102,Tit-like birds,sedentary,12.7946675987,Foliage gleaners,Tit-like birds,Foliage gleaners | Tit-like birds,Between guild
