grouping_type,display_name,group_pair_type,group_1,group_2,group_pair,n_group_pairs,support_class,n_periods,mean_observed_minus_null,min_observed_minus_null,max_observed_minus_null,min_abs_null_z,max_abs_observed_minus_null,n_fdr_0_05,all_above_null,all_below_null,excess_1970s,excess_1990s,excess_2010s,delta_2010s_minus_1970s,sign_flip_1970s_to_2010s,temporal_pattern,unstable_small_pair_count
foraging_guild,Foraging guild,Between group,Terns,Tit-like birds,Terns | Tit-like birds,60,Supported positive,3,-0.45561672783895013,-0.5255922589255925,-0.41086086086086016,3.7302694391546267,0.5255922589255925,0,FALSE,TRUE,-0.41086086086086016,-0.43039706373039777,-0.5255922589255925,-0.11473139806473232,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Between group,Gulls,Woodpeckers,Gulls | Woodpeckers,25,Supported positive,3,-0.5598131464798132,-0.5809409409409414,-0.5355355355355351,3.6859133409513345,0.5809409409409414,0,FALSE,TRUE,-0.5629629629629631,-0.5355355355355351,-0.5809409409409414,-0.017977977977978288,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Between group,Foliage gleaners,Passerine seedeaters,Foliage gleaners | Passerine seedeaters,108,Supported positive,3,0.3058243428613802,0.257498238979721,0.34913617321024704,3.2473708355825908,0.34913617321024704,0,TRUE,FALSE,0.257498238979721,0.34913617321024704,0.31083861639417254,0.05334037741445152,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Foliage gleaners,Tit-like birds,Foliage gleaners | Tit-like birds,108,Supported positive,3,0.30553392899071924,0.2481370259148038,0.3767007748489237,3.180599303783768,0.3767007748489237,0,TRUE,FALSE,0.2481370259148038,0.29176398620843025,0.3767007748489237,0.12856374893411993,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Foliage gleaners,Low flycatching feeders,Foliage gleaners | Low flycatching feeders,81,Supported positive,3,0.3293664034404773,0.32375585462005185,0.33784401685636267,3.1434115021062414,0.33784401685636267,0,TRUE,FALSE,0.33784401685636267,0.32649933884501736,0.32375585462005185,-0.01408816223631082,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Plovers,Woodpeckers,Plovers | Woodpeckers,30,Supported positive,3,-0.4584918251584921,-0.46619953286619975,-0.45392058725392026,3.1270713582877794,0.46619953286619975,0,FALSE,TRUE,-0.46619953286619975,-0.45535535535535615,-0.45392058725392026,0.01227894561227949,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Between group,Dabbling ducks,Marsh warblers,Dabbling ducks | Marsh warblers,42,Supported positive,3,0.4067956845734632,0.35340102006768737,0.4350064350064363,2.8705856805879826,0.4350064350064363,0,TRUE,FALSE,0.4350064350064363,0.35340102006768737,0.431979598646266,-0.003026836360170315,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Gulls,Shrikes,Gulls | Shrikes,10,Supported positive,3,-0.6060393727060395,-0.6585585585585587,-0.5692692692692697,2.863300953743225,0.6585585585585587,0,FALSE,TRUE,-0.5692692692692697,-0.6585585585585587,-0.5902902902902899,-0.021021021021020214,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Between group,Scolopacids,Tit-like birds,Scolopacids | Tit-like birds,108,Supported positive,3,-0.27899813393640527,-0.29038297556815984,-0.2645515886256628,2.8424611641570556,0.29038297556815984,0,FALSE,TRUE,-0.29038297556815984,-0.2820598376153932,-0.2645515886256628,0.025831386942497037,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Between group,Scolopacids,Woodpeckers,Scolopacids | Woodpeckers,45,Supported positive,3,-0.38902606310013704,-0.4064953842731619,-0.354465576687799,2.8091071203387057,0.4064953842731619,0,FALSE,TRUE,-0.4064953842731619,-0.4061172283394503,-0.354465576687799,0.05202980758536291,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Between group,Aerial insectivores,Foliage gleaners,Aerial insectivores | Foliage gleaners,36,Supported positive,3,0.38421755088421783,0.3482649315982652,0.4097986875764652,2.698428382790572,0.4097986875764652,0,TRUE,FALSE,0.4097986875764652,0.3482649315982652,0.39458903347792307,-0.015209654098542136,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Gulls,Thrushes,Gulls | Thrushes,20,Supported positive,3,-0.49804804804804764,-0.5785785785785789,-0.397247247247246,2.5648662895486516,0.5785785785785789,0,FALSE,TRUE,-0.518318318318318,-0.397247247247246,-0.5785785785785789,-0.06026026026026088,FALSE,Consistently below null,FALSE
