"survey","site","rarity_score","rarity_percentile","rarity_rank","is_top_decile","tmean_year","tmean_winter","tmean_breeding","prec_year","prec_winter","prec_breeding","hh","unique","perc_urban","perc_cropland","perc_pasture","perc_forest","perc_grass_shrub","perc_fresh_saltwater","hotspot_group","dominant_landcover"
"HA07_3","HA07",0.332212737982289,0.991066736731477,18,TRUE,9.26059974399695,2.22466615551232,8.7929239284875,515.564648907443,125.657847607212,171.875149098613,0.601011521910552,6,0.0648265216309686,0.101257094491013,0.00606899214552176,0.131056806987022,0.0900054568269945,0.60678512791848,"Top-decile rarity hotspots","Fresh/saltwater"
"BF02_3","BF02",0.330993942506759,0.990541250656858,19,TRUE,10.1316372398157,3.49820602626655,9.66449168718774,593.446282710091,152.300349233559,194.356542167044,0.595710041051231,4,0.0398565583982938,0.00570611152641395,0.492686372101661,0.392458742466446,0,0.0692922155071855,"Top-decile rarity hotspots","Pasture"
"GF43_3","GF43",0.330635446158583,0.990015764582239,20,TRUE,9.59139698317109,1.74519521068759,9.60310794996156,485.445851896448,117.08459872036,185.827881042861,0.694483085619214,6,0.0892299819302002,0,0.361718528456793,0.0274645172260908,0.242042956422118,0.279544015964799,"Top-decile rarity hotspots","Pasture"
"EF93_3","EF93",0.329231709640695,0.98949027850762,21,TRUE,9.71396795948062,2.52239286684239,9.540753820063,472.880381159131,117.014302927283,177.252360317551,0.718180425334941,5,0.048709335107575,0.253643991002539,0.304507226941316,0.33388162013117,0.0592578268174003,0,"Top-decile rarity hotspots","Forest"
"BG29_3","BG29",0.328269880758909,0.988964792433,22,TRUE,10.1570585230275,3.31548244300613,9.75037162355841,618.941841474693,157.965574941245,206.499242313234,0.534502545506689,4,0.30342399952572,0,0.0918549289286247,0.000574008695340561,0,0.604147062850315,"Top-decile rarity hotspots","Fresh/saltwater"
"GF74_3","GF74",0.324087515247183,0.988439306358382,23,TRUE,9.53589443409457,1.49755507200636,9.61061148435921,469.81617823686,113.311616425605,181.073003371254,0.674535328406612,4,0,0,0.246784825443204,0,0.200946041043936,0.55226913351286,"Top-decile rarity hotspots","Fresh/saltwater"
"BC83_3","BC83",0.316679246711299,0.987913820283763,24,TRUE,9.78630285623674,3.01737563623426,9.52552638537347,581.872548695904,169.654340445633,203.401908803944,0.740989158055408,7,0.0487093355347059,0.06210593946736,0.178272025939808,0.0308183515111081,0.027997330284173,0.652097017262845,"Top-decile rarity hotspots","Fresh/saltwater"
"FE82_3","FE82",0.315012836315369,0.987388334209143,25,TRUE,9.51873234383045,1.75514724658805,9.61492450100789,486.640317209279,114.940228700801,183.763289269812,0.715755579221592,6,0.0322689287240822,0.162208395456285,0.0773239030897721,0.415840935321912,0.0353377115613348,0.277020125846613,"Top-decile rarity hotspots","Forest"
"GH59_3","GH59",0.314022401300373,0.986862848134524,26,TRUE,9.45982071803552,2.06305679761719,9.2589079023244,520.873316723423,125.655058558204,196.580927418194,0.630682990407448,4,0,0.16712243465704,0,0.225974280329949,0,0.606903285013011,"Top-decile rarity hotspots","Fresh/saltwater"
"BF39_3","BF39",0.305976522679007,0.986337362059905,27,TRUE,9.90582973507699,2.78176018365999,9.66130150475658,637.216574069716,170.661875303899,214.955984230943,0.705312646231534,4,0.248469092865922,0.279296636410112,0.381049823619067,0,0,0.0911844471048989,"Top-decile rarity hotspots","Pasture"
"HA52_3","HA52",0.305953123143674,0.985811875985286,28,TRUE,9.69278189806084,2.70053939565712,9.17774216790795,461.585968507468,111.24864204499,151.715965718949,0.629377966293884,5,0.234420834244263,0.121707718608873,0,0.0634679314078315,0.0369363097821595,0.543467205956874,"Top-decile rarity hotspots","Fresh/saltwater"
"FH11_3","FH11",0.304125868279061,0.985286389910667,29,TRUE,10.0767656562693,2.45555559794108,10.0286607323663,495.525737283009,116.500512560123,195.050633439576,0.455262045919358,4,0,0.712559462860001,0.121350941099178,0.0188534007779117,0,0.147236195262909,"Top-decile rarity hotspots","Cropland"
