"survey","site","atlas","period","X","Y","species_richness","rarity_score","rarity_percentile","rarity_rank","is_top_decile"
"FH62_3","FH62","3","2010s",682500.140012703,6062499.57518073,79,0.175341049059059,0.94062007356805,114,TRUE
"BH87_3","BH87","3","2010s",492500.052148174,6087499.76319394,77,0.174775353363885,0.940094587493431,115,TRUE
"GF33_3","GF33","3","2010s",717500.366944438,6167499.70479759,61,0.173382584069087,0.939569101418812,116,TRUE
"EF75_3","EF75","3","2010s",637500.196510979,6177499.86864843,73,0.173260344580209,0.939043615344193,117,TRUE
"BC20_3","BC20","3","2010s",462500.083275865,6302499.78227643,74,0.173061261069575,0.938518129269574,118,TRUE
"DG89_3","DG89","3","2010s",592500.145910606,6147499.96978149,65,0.172707027362303,0.937992643194955,119,TRUE
"CF65_3","CF65","3","2010s",532500.028758022,6177499.80590305,67,0.171615538396272,0.937467157120336,120,TRUE
"CE82_3","CE82","3","2010s",542500.054982355,6212499.6759814,99,0.170470497844088,0.936941671045717,121,TRUE
"DC03_3","DC03","3","2010s",552499.761525707,6317499.84055713,73,0.170190891312552,0.936416184971098,122,TRUE
"CH35_3","CH35","3","2010s",517500.094920755,6077499.76756936,77,0.170168126583472,0.935890698896479,123,TRUE
"HA36_3","HA36","3","2010s",879151.681415944,6133717.81043671,49,0.169754517523167,0.93536521282186,124,TRUE
"DG72_3","DG72","3","2010s",587500.13003478,6112499.91288786,94,0.169318826168443,0.934839726747241,125,TRUE
"AD90_3","AD90","3","2010s",447500.070949353,6252499.57832838,66,0.168704199608342,0.934314240672622,126,TRUE
"FF76_3","FF76","3","2010s",687500.305709261,6182499.82698112,78,0.168622748916216,0.933788754598003,127,TRUE
"BD19_3","BD19","3","2010s",457500.063487968,6297499.744964,61,0.168115199366684,0.933263268523384,128,TRUE
"FF84_3","FF84","3","2010s",692500.291575204,6172499.72846018,88,0.167092862731169,0.932737782448765,129,TRUE
"GE21_3","GE21","3","2010s",712500.431105092,6207499.8302169,90,0.166893503344295,0.932212296374146,130,TRUE
"BG73_3","BG73","3","2010s",487500.006409462,6117499.85095427,76,0.166786467968977,0.931686810299527,131,TRUE
"EB03_3","EB03","3","2010s",617499.404172459,6347499.78701322,72,0.165566729480271,0.931161324224908,132,TRUE
"FG75_3","FG75","3","2010s",687500.265667353,6127499.70080189,60,0.164722178907071,0.930635838150289,133,TRUE
"CD91_3","CD91","3","2010s",547499.874546219,6257499.77220936,93,0.163404299072331,0.93011035207567,134,TRUE
"BC84_3","BC84","3","2010s",492500.046704985,6322499.65178247,75,0.163044471878426,0.929584866001051,135,TRUE
"FF86_3","FF86","3","2010s",692500.34216482,6182499.74643745,89,0.162753493078455,0.929059379926432,136,TRUE
"DE42_3","DE42","3","2010s",572499.973544794,6212499.76930723,64,0.162695765668636,0.928533893851813,137,TRUE
"FF75_3","FF75","3","2010s",687500.318102315,6177499.76818616,91,0.160817129852506,0.928008407777194,138,TRUE
"FE72_3","FE72","3","2010s",687500.363131253,6212499.9479367,93,0.159864547357034,0.927482921702575,139,TRUE
"DD21_3","DD21","3","2010s",562499.822247033,6257499.82294694,85,0.159329846129347,0.926957435627956,140,TRUE
"FE83_3","FE83","3","2010s",692500.37201328,6217499.97463873,87,0.159169043095089,0.926431949553337,141,TRUE
"BC44_3","BC44","3","2010s",472500.073161754,6322499.75342724,62,0.158792134724136,0.925906463478718,142,TRUE
"FG33_3","FG33","3","2010s",667500.220564542,6117499.62035966,62,0.158144087934595,0.925380977404099,143,TRUE
"CH45_3","CH45","3","2010s",522500.106332231,6077499.73913,89,0.158011416919547,0.92485549132948,144,TRUE
"BF03_3","BF03","3","2010s",452500.125193609,6167499.75646735,68,0.156354663265051,0.924330005254861,145,TRUE
"GF29_3","GF29","3","2010s",712500.430991099,6197499.81587525,72,0.15554459493339,0.923804519180242,146,TRUE
"BF69_3","BF69","3","2010s",482500.11408776,6197499.79790025,61,0.154635883655204,0.923279033105623,147,TRUE
"BF49_3","BF49","3","2010s",472500.090003978,6197499.74933914,87,0.154163748726674,0.922753547031004,148,TRUE
"EF91_3","EF91","3","2010s",647500.20257856,6157499.72188253,78,0.153961747310416,0.922228060956385,149,TRUE
"DC14_3","DC14","3","2010s",557499.73675981,6322499.86548821,85,0.153280311892911,0.921702574881766,150,TRUE
"BC55_3","BC55","3","2010s",477500.092243785,6327499.66660796,56,0.152722277762254,0.921177088807147,151,TRUE
"CD03_3","CD03","3","2010s",502500.026803666,6267499.72929427,87,0.152346792476802,0.920651602732528,152,TRUE
"CE11_3","CE11","3","2010s",507500.047717686,6207499.81533936,83,0.152193609929632,0.920126116657909,153,TRUE
"DE34_3","DE34","3","2010s",567499.981947577,6222499.7289085,87,0.151043438919704,0.91960063058329,154,TRUE
"FH36_3","FH36","3","2010s",667500.184554608,6082499.6435027,73,0.150836828148851,0.91907514450867,155,TRUE
"BG93_3","BG93","3","2010s",497500.047021728,6117499.88881606,79,0.150662547793813,0.918549658434051,156,TRUE
"EB04_3","EB04","3","2010s",617499.377030385,6352499.76066335,76,0.150649798224232,0.918024172359432,157,TRUE
"DF08_3","DF08","3","2010s",552499.997825853,6192499.86530081,96,0.150428895828611,0.917498686284813,158,TRUE
"DH08_3","DH08","3","2010s",552500.1224177,6092499.83587197,71,0.149548269246836,0.916973200210194,159,TRUE
"DG51_3","DG51","3","2010s",577500.091842989,6107499.86185285,87,0.148974757141181,0.916447714135575,160,TRUE
"BH79_3","BH79","3","2010s",487500.059163415,6097499.72618238,65,0.148951215813884,0.915922228060956,161,TRUE
"HA13_3","HA13","3","2010s",870461.798036736,6117887.195562,61,0.148696848193798,0.915396741986337,162,TRUE
"FG92_3","FG92","3","2010s",697500.248928627,6112499.54297378,88,0.148551194956003,0.914871255911718,163,TRUE
"DG62_3","DG62","3","2010s",582500.108638806,6112499.87467615,98,0.148381378895828,0.914345769837099,164,TRUE
"DC01_3","DC01","3","2010s",552499.82723216,6307499.82833629,99,0.147741910772743,0.91382028376248,165,TRUE
"BC21_3","BC21","3","2010s",462500.084638375,6307499.73825634,70,0.147550712316151,0.913294797687861,166,TRUE
"DE56_3","DE56","3","2010s",577499.987726679,6232499.76358858,75,0.147000071865224,0.912769311613242,167,TRUE
"GE10_3","GE10","3","2010s",707500.378971722,6202499.85238659,85,0.146985925750114,0.912243825538623,168,TRUE
"DB46_3","DB46","3","2010s",572499.607154463,6382499.7224356,86,0.146920882933543,0.911718339464004,169,TRUE
"DH18_3","DH18","3","2010s",557500.14150952,6092499.93077053,78,0.146383801411174,0.911192853389385,170,TRUE
"DG70_3","DG70","3","2010s",587500.104074384,6102499.84287017,81,0.14569360081667,0.910667367314766,171,TRUE
