"survey","site","atlas","period","warbler_richness"
"DG56_1","DG56","1","1970s",7
"DG57_1","DG57","1","1970s",12
"DG58_1","DG58","1","1970s",11
"DG59_1","DG59","1","1970s",11
"DG60_1","DG60","1","1970s",4
"DG61_1","DG61","1","1970s",11
"DG62_1","DG62","1","1970s",11
"BD62_1","BD62","1","1970s",4
"DG63_1","DG63","1","1970s",9
"DG64_1","DG64","1","1970s",11
"DG65_1","DG65","1","1970s",10
"DG66_1","DG66","1","1970s",10
"DG67_1","DG67","1","1970s",11
"DG68_1","DG68","1","1970s",8
"DG69_1","DG69","1","1970s",10
"DG70_1","DG70","1","1970s",5
"DG71_1","DG71","1","1970s",9
"DG72_1","DG72","1","1970s",11
"BD63_1","BD63","1","1970s",4
"DG73_1","DG73","1","1970s",11
"DG74_1","DG74","1","1970s",10
"DG75_1","DG75","1","1970s",11
"DG76_1","DG76","1","1970s",10
"DG77_1","DG77","1","1970s",11
"DG78_1","DG78","1","1970s",10
"DG79_1","DG79","1","1970s",7
"DG80_1","DG80","1","1970s",0
"DG81_1","DG81","1","1970s",7
"DG82_1","DG82","1","1970s",6
"BD64_1","BD64","1","1970s",2
"DG83_1","DG83","1","1970s",4
"DG84_1","DG84","1","1970s",7
"DG85_1","DG85","1","1970s",8
"DG86_1","DG86","1","1970s",10
"DG87_1","DG87","1","1970s",8
"DG88_1","DG88","1","1970s",10
"DG89_1","DG89","1","1970s",8
"DG90_1","DG90","1","1970s",10
"DG91_1","DG91","1","1970s",10
"DG92_1","DG92","1","1970s",8
"BD65_1","BD65","1","1970s",3
"DG93_1","DG93","1","1970s",9
"DG94_1","DG94","1","1970s",12
"DG95_1","DG95","1","1970s",12
"DG96_1","DG96","1","1970s",10
"DG97_1","DG97","1","1970s",11
"DG98_1","DG98","1","1970s",8
"DG99_1","DG99","1","1970s",6
"DH06_1","DH06","1","1970s",13
"DH07_1","DH07","1","1970s",9
"DH08_1","DH08","1","1970s",8
"BD66_1","BD66","1","1970s",8
"DH09_1","DH09","1","1970s",8
"DH16_1","DH16","1","1970s",13
"DH17_1","DH17","1","1970s",13
"DH18_1","DH18","1","1970s",13
"DH19_1","DH19","1","1970s",10
"DH25_1","DH25","1","1970s",6
"DH26_1","DH26","1","1970s",11
"DH27_1","DH27","1","1970s",11
"DH28_1","DH28","1","1970s",11
"DH29_1","DH29","1","1970s",8
"BD67_1","BD67","1","1970s",9
"DH36_1","DH36","1","1970s",12
