"survey","site","atlas","period","model_year","species_richness","raw_species_pool_size","analysis_set"
"BG74_2","BG74","2","1990s",1992,54,201,"All model-included surveys"
"BG74_3","BG74","3","2010s",2014,46,201,"All model-included surveys"
"BG75_1","BG75","1","1970s",1971,54,201,"All model-included surveys"
"BG75_2","BG75","2","1990s",1992,67,201,"All model-included surveys"
"BG75_3","BG75","3","2010s",2014,52,201,"All model-included surveys"
"BG76_1","BG76","1","1970s",1971,82,201,"All model-included surveys"
"BG76_2","BG76","2","1990s",1992,70,201,"All model-included surveys"
"BG76_3","BG76","3","2010s",2014,79,201,"All model-included surveys"
"BG77_2","BG77","2","1990s",1992,55,201,"All model-included surveys"
"BG77_3","BG77","3","2010s",2014,41,201,"All model-included surveys"
"BG78_2","BG78","2","1990s",1992,42,201,"All model-included surveys"
"BG78_3","BG78","3","2010s",2014,62,201,"All model-included surveys"
"BG79_1","BG79","1","1970s",1971,47,201,"All model-included surveys"
"BG79_2","BG79","2","1990s",1992,70,201,"All model-included surveys"
"BG79_3","BG79","3","2010s",2014,56,201,"All model-included surveys"
"BG80_1","BG80","1","1970s",1971,59,201,"All model-included surveys"
"BG80_2","BG80","2","1990s",1992,42,201,"All model-included surveys"
"BG80_3","BG80","3","2010s",2014,66,201,"All model-included surveys"
"BG81_1","BG81","1","1970s",1971,51,201,"All model-included surveys"
"BG81_2","BG81","2","1990s",1992,42,201,"All model-included surveys"
"BG81_3","BG81","3","2010s",2014,53,201,"All model-included surveys"
"BG82_1","BG82","1","1970s",1971,51,201,"All model-included surveys"
"BG82_2","BG82","2","1990s",1992,60,201,"All model-included surveys"
"BG82_3","BG82","3","2010s",2014,74,201,"All model-included surveys"
"BG83_1","BG83","1","1970s",1971,65,201,"All model-included surveys"
"BG83_2","BG83","2","1990s",1992,57,201,"All model-included surveys"
"BG83_3","BG83","3","2010s",2014,75,201,"All model-included surveys"
"BG84_1","BG84","1","1970s",1971,56,201,"All model-included surveys"
"BG84_2","BG84","2","1990s",1992,55,201,"All model-included surveys"
"BG84_3","BG84","3","2010s",2014,52,201,"All model-included surveys"
"BG85_1","BG85","1","1970s",1971,74,201,"All model-included surveys"
"BG85_2","BG85","2","1990s",1992,71,201,"All model-included surveys"
"BG85_3","BG85","3","2010s",2014,68,201,"All model-included surveys"
"BG86_1","BG86","1","1970s",1971,52,201,"All model-included surveys"
"BG86_2","BG86","2","1990s",1992,61,201,"All model-included surveys"
"BG86_3","BG86","3","2010s",2014,51,201,"All model-included surveys"
