species,comparison,n_common_sites,occupied_cells_1970s,occupied_cells_1990s,gained_cells,lost_cells,retained_cells,absent_in_both_cells,changed_cells,turnover_fraction_of_common_sites,net_cell_change,absolute_net_cell_change,occupancy_fraction_1970s,occupancy_fraction_1990s,sorensen_dissimilarity,direction,foraging_guild,migration_strategy,species_thermal_index,species_label
Pernis_apivorus,1970s to 1990s,1726,162,257,184,89,73,1380,273,0.1581691772885284,95,95,0.09385863267670916,0.14889918887601392,0.6515513126491647,More occupied cells in 1990s,Diurnal raptors,long-distance,11.9608484505,Pernis apivorus
Cyanistes_caeruleus,1970s to 1990s,1726,1485,1621,204,68,1417,37,272,0.15758980301274622,136,136,0.8603707995365005,0.9391657010428737,0.08757244043786216,More occupied cells in 1990s,Tit-like birds,sedentary,12.7367473555,Cyanistes caeruleus
Charadrius_hiaticula,1970s to 1990s,1726,400,380,123,143,257,1203,266,0.1541135573580533,-20,20,0.23174971031286212,0.220162224797219,0.34102564102564104,Fewer occupied cells in 1990s,Plovers,short-distance,8.2214626932,Charadrius hiaticula
Anas_crecca,1970s to 1990s,1726,181,170,123,134,47,1422,257,0.14889918887601392,-11,11,0.10486674391657011,0.0984936268829664,0.7321937321937322,Fewer occupied cells in 1990s,Dabbling ducks,short-distance,10.071290709,Anas crecca
Vanellus_vanellus,1970s to 1990s,1726,1590,1588,127,129,1461,9,256,0.14831981460023175,-2,2,0.9212050984936269,0.9200463499420626,0.08055380742605411,Fewer occupied cells in 1990s,Plovers,short-distance,11.532605723,Vanellus vanellus
Linaria_cannabina,1970s to 1990s,1726,1562,1637,158,83,1479,6,241,0.13962920046349941,75,75,0.9049826187717266,0.9484356894553881,0.0753360425132854,More occupied cells in 1990s,Passerine seedeaters,short-distance,13.1603552715,Linaria cannabina
Motacilla_cinerea,1970s to 1990s,1726,97,299,220,18,79,1409,238,0.13789107763615296,202,202,0.05619930475086906,0.17323290845886444,0.601010101010101,More occupied cells in 1990s,Open-land insectivores,sedentary and short-distance,12.9122079488,Motacilla cinerea
Charadrius_dubius,1970s to 1990s,1726,94,212,178,60,34,1454,238,0.13789107763615296,118,118,0.054461181923522596,0.12282734646581692,0.7777777777777778,More occupied cells in 1990s,Plovers,short-and long-distance,12.7729324864,Charadrius dubius
Columba_oenas,1970s to 1990s,1726,44,239,211,16,28,1471,227,0.13151796060254925,195,195,0.02549246813441483,0.1384704519119351,0.8021201413427562,More occupied cells in 1990s,Columbids,short-distance,12.4358174295,Columba oenas
Ardea_cinerea,1970s to 1990s,1726,98,215,160,43,55,1468,203,0.11761297798377753,117,117,0.056778679026651215,0.12456546929316338,0.6485623003194888,More occupied cells in 1990s,Wading birds,sedentary and short-distance,12.6943991523,Ardea cinerea
Corvus_corone,1970s to 1990s,1726,141,204,133,70,71,1452,203,0.11761297798377753,63,63,0.0816917728852839,0.11819235225955968,0.5884057971014494,More occupied cells in 1990s,Omnivorous corvids,sedentary,12.1293990446,Corvus corone
Spatula_clypeata,1970s to 1990s,1726,151,208,128,71,80,1447,199,0.11529548088064889,57,57,0.08748551564310544,0.1205098493626883,0.5543175487465182,More occupied cells in 1990s,Dabbling ducks,short-distance,11.7556216717,Spatula clypeata
Aythya_ferina,1970s to 1990s,1726,128,208,138,58,70,1460,196,0.11355735805330243,80,80,0.07415990730011587,0.1205098493626883,0.5833333333333333,More occupied cells in 1990s,Diving ducks,short-distance,12.445391892,Aythya ferina
Mergus_serrator,1970s to 1990s,1726,232,238,97,91,141,1397,188,0.10892236384704519,6,6,0.13441483198146004,0.13789107763615296,0.4,More occupied cells in 1990s,Aquatic pursuers,short-distance,7.3724850113,Mergus serrator
