survey,site,bioregion,variable,value_raw,variable_label,national_mean,national_median,national_sd,value_relative_to_national
DC48_1,DC48,Cluster 3,tmean_breeding,8.26479885494516,Temperature,8.395019836554825,8.416934228376359,0.19201524932505465,-0.792308808628291
DC48_1,DC48,Cluster 3,prec_breeding,129.172981416456,Precipitation,128.35983028092753,126.2008668289715,12.290676940288781,0.24181862414281838
DC48_1,DC48,Cluster 3,hh,0.396325207662336,Land-use heterogeneity,0.434204235075491,0.480924881210568,0.22882328977267316,-0.3697161841885868
DC48_1,DC48,Cluster 3,perc_urban,0,Urban,0.09872583206978074,0.04870933595651575,0.14084422666790042,-0.3458383570905503
DC48_1,DC48,Cluster 3,perc_cropland,0.727678273378976,Cropland,0.5584718573694387,0.6239454337793555,0.32723748714239265,0.3169955878388792
DC48_1,DC48,Cluster 3,perc_pasture,0,Pasture,0.05130629633513138,0,0.0993572956234167,0
DC48_1,DC48,Cluster 3,perc_forest,0.272321726621023,Forest,0.10401747817882706,0.0299214147800638,0.16236497160786373,1.4929347718323942
DC48_1,DC48,Cluster 3,perc_grass_shrub,0,Grass/Shrubland,0.05440721034042868,0.0243127664128194,0.0765990783954602,-0.3174028581296919
DC49_1,DC49,Cluster 3,tmean_breeding,8.19713963378508,Temperature,8.395019836554825,8.416934228376359,0.19201524932505465,-1.1446725995142106
DC49_1,DC49,Cluster 3,prec_breeding,128.109509327068,Precipitation,128.35983028092753,126.2008668289715,12.290676940288781,0.15529189379634384
DC49_1,DC49,Cluster 3,hh,0.531422698134181,Land-use heterogeneity,0.434204235075491,0.480924881210568,0.22882328977267316,0.22068477808260062
DC49_1,DC49,Cluster 3,perc_urban,0.0163438086644951,Urban,0.09872583206978074,0.04870933595651575,0.14084422666790042,-0.22979662040628765
DC49_1,DC49,Cluster 3,perc_cropland,0.418058043043522,Cropland,0.5584718573694387,0.6239454337793555,0.32723748714239265,-0.629168108256022
DC49_1,DC49,Cluster 3,perc_pasture,0,Pasture,0.05130629633513138,0,0.0993572956234167,0
DC49_1,DC49,Cluster 3,perc_forest,0.541243479923247,Forest,0.10401747817882706,0.0299214147800638,0.16236497160786373,3.14921414440366
DC49_1,DC49,Cluster 3,perc_grass_shrub,0.0243546683687351,Grass/Shrubland,0.05440721034042868,0.0243127664128194,0.0765990783954602,5.470295047072605e-4
DC50_1,DC50,Cluster 2,tmean_breeding,8.56944885607148,Temperature,8.395019836554825,8.416934228376359,0.19201524932505465,0.7942839343813528
DC50_1,DC50,Cluster 2,prec_breeding,121.291690820898,Precipitation,128.35983028092753,126.2008668289715,12.290676940288781,-0.39942275205210587
DC50_1,DC50,Cluster 2,hh,0.511991479072192,Land-use heterogeneity,0.434204235075491,0.480924881210568,0.22882328977267316,0.13576676522956843
DC50_1,DC50,Cluster 2,perc_urban,0,Urban,0.09872583206978074,0.04870933595651575,0.14084422666790042,-0.3458383570905503
DC50_1,DC50,Cluster 2,perc_cropland,0,Cropland,0.5584718573694387,0.6239454337793555,0.32723748714239265,-1.90670524709125
DC50_1,DC50,Cluster 2,perc_pasture,0.0243546668139943,Pasture,0.05130629633513138,0,0.0993572956234167,0.2451220784662173
DC50_1,DC50,Cluster 2,perc_forest,0.412081452421421,Forest,0.10401747817882706,0.0299214147800638,0.16236497160786373,2.3537098787805797
DC50_1,DC50,Cluster 2,perc_grass_shrub,0,Grass/Shrubland,0.05440721034042868,0.0243127664128194,0.0765990783954602,-0.3174028581296919
DC51_1,DC51,Cluster 1,tmean_breeding,8.57794552259099,Temperature,8.395019836554825,8.416934228376359,0.19201524932505465,0.8385338913476722
DC51_1,DC51,Cluster 1,prec_breeding,121.548891170617,Precipitation,128.35983028092753,126.2008668289715,12.290676940288781,-0.37849629283683695
DC51_1,DC51,Cluster 1,hh,0.498798443876854,Land-use heterogeneity,0.434204235075491,0.480924881210568,0.22882328977267316,0.07811076697674747
DC51_1,DC51,Cluster 1,perc_urban,0,Urban,0.09872583206978074,0.04870933595651575,0.14084422666790042,-0.3458383570905503
DC51_1,DC51,Cluster 1,perc_cropland,0,Cropland,0.5584718573694387,0.6239454337793555,0.32723748714239265,-1.90670524709125
DC51_1,DC51,Cluster 1,perc_pasture,0.120308688851647,Pasture,0.05130629633513138,0,0.0993572956234167,1.2108691978457236
DC51_1,DC51,Cluster 1,perc_forest,0.0398439638129213,Forest,0.10401747817882706,0.0299214147800638,0.16236497160786373,0.061112621365290415
DC51_1,DC51,Cluster 1,perc_grass_shrub,0.162563953971297,Grass/Shrubland,0.05440721034042868,0.0243127664128194,0.0765990783954602,1.8048675056470567
DC52_1,DC52,Cluster 1,tmean_breeding,8.56982384575485,Temperature,8.395019836554825,8.416934228376359,0.19201524932505465,0.7962368505413391
DC52_1,DC52,Cluster 1,prec_breeding,121.511361093791,Precipitation,128.35983028092753,126.2008668289715,12.290676940288781,-0.38154983309408497
DC52_1,DC52,Cluster 1,hh,0.74794252507505,Land-use heterogeneity,0.434204235075491,0.480924881210568,0.22882328977267316,1.166916375207058
DC52_1,DC52,Cluster 1,perc_urban,0.0234264110423625,Urban,0.09872583206978074,0.04870933595651575,0.14084422666790042,-0.17950984227254407
DC52_1,DC52,Cluster 1,perc_cropland,0.0706389741537754,Cropland,0.5584718573694387,0.6239454337793555,0.32723748714239265,-1.6908406932755136
DC52_1,DC52,Cluster 1,perc_pasture,0.134228900517111,Pasture,0.05130629633513138,0,0.0993572956234167,1.3509717597977344
DC52_1,DC52,Cluster 1,perc_forest,0.1912258960663,Forest,0.10401747817882706,0.0299214147800638,0.16236497160786373,0.9934684783846803
DC52_1,DC52,Cluster 1,perc_grass_shrub,0.1443466094455,Grass/Shrubland,0.05440721034042868,0.0243127664128194,0.0765990783954602,1.5670403031871813
DC53_1,DC53,Cluster 2,tmean_breeding,8.57249214501427,Temperature,8.395019836554825,8.416934228376359,0.19201524932505465,0.810133138824682
DC53_1,DC53,Cluster 2,prec_breeding,122.266824554035,Precipitation,128.35983028092753,126.2008668289715,12.290676940288781,-0.3200834497602593
DC53_1,DC53,Cluster 2,hh,0.810966822200948,Land-use heterogeneity,0.434204235075491,0.480924881210568,0.22882328977267316,1.4423441832265567
DC53_1,DC53,Cluster 2,perc_urban,0.122701589791784,Urban,0.09872583206978074,0.04870933595651575,0.14084422666790042,0.5253481494114498
DC53_1,DC53,Cluster 2,perc_cropland,0.176424228269703,Cropland,0.5584718573694387,0.6239454337793555,0.32723748714239265,-1.3675731635077621
DC53_1,DC53,Cluster 2,perc_pasture,0.0367115133746097,Pasture,0.05130629633513138,0,0.0993572956234167,0.3694898612554171
DC53_1,DC53,Cluster 2,perc_forest,0.119348307780881,Forest,0.10401747817882706,0.0299214147800638,0.16236497160786373,0.5507770063656147
DC53_1,DC53,Cluster 2,perc_grass_shrub,0.103550665409924,Grass/Shrubland,0.05440721034042868,0.0243127664128194,0.0765990783954602,1.034449769591494
BD32_1,BD32,Cluster 3,tmean_breeding,8.32243426888259,Temperature,8.395019836554825,8.416934228376359,0.19201524932505465,-0.4921482008639517
BD32_1,BD32,Cluster 3,prec_breeding,137.61517952963,Precipitation,128.35983028092753,126.2008668289715,12.290676940288781,0.9286968289958424
BD32_1,BD32,Cluster 3,hh,0.354545594780667,Land-use heterogeneity,0.434204235075491,0.480924881210568,0.22882328977267316,-0.5523008018784005
BD32_1,BD32,Cluster 3,perc_urban,0,Urban,0.09872583206978074,0.04870933595651575,0.14084422666790042,-0.3458383570905503
BD32_1,BD32,Cluster 3,perc_cropland,0.789402677178916,Cropland,0.5584718573694387,0.6239454337793555,0.32723748714239265,0.5056182433266398
BD32_1,BD32,Cluster 3,perc_pasture,0,Pasture,0.05130629633513138,0,0.0993572956234167,0
BD32_1,BD32,Cluster 3,perc_forest,0.113115383626075,Forest,0.10401747817882706,0.0299214147800638,0.16236497160786373,0.5123886514570235
BD32_1,BD32,Cluster 3,perc_grass_shrub,0.09748193919501,Grass/Shrubland,0.05440721034042868,0.0243127664128194,0.0765990783954602,0.955222625583536
DC56_1,DC56,Cluster 3,tmean_breeding,8.51010320561743,Temperature,8.395019836554825,8.416934228376359,0.19201524932505465,0.4852165521674206
DC56_1,DC56,Cluster 3,prec_breeding,122.766116742901,Precipitation,128.35983028092753,126.2008668289715,12.290676940288781,-0.27945979727214204
DC56_1,DC56,Cluster 3,hh,0.0108648407771283,Land-use heterogeneity,0.434204235075491,0.480924881210568,0.22882328977267316,-2.0542491146789543
DC56_1,DC56,Cluster 3,perc_urban,0.00546225663612321,Urban,0.09872583206978074,0.04870933595651575,0.14084422666790042,-0.3070561026428562
DC56_1,DC56,Cluster 3,perc_cropland,0.994537743363877,Cropland,0.5584718573694387,0.6239454337793555,0.32723748714239265,1.1324873345677038
DC56_1,DC56,Cluster 3,perc_pasture,0,Pasture,0.05130629633513138,0,0.0993572956234167,0
DC56_1,DC56,Cluster 3,perc_forest,0,Forest,0.10401747817882706,0.0299214147800638,0.16236497160786373,-0.18428491369633962
DC56_1,DC56,Cluster 3,perc_grass_shrub,0,Grass/Shrubland,0.05440721034042868,0.0243127664128194,0.0765990783954602,-0.3174028581296919
DC57_1,DC57,Cluster 3,tmean_breeding,8.31263781389278,Temperature,8.395019836554825,8.416934228376359,0.19201524932505465,-0.5431673518128789
DC57_1,DC57,Cluster 3,prec_breeding,130.447660608456,Precipitation,128.35983028092753,126.2008668289715,12.290676940288781,0.3455296888948025
DC57_1,DC57,Cluster 3,hh,0.283926703855822,Land-use heterogeneity,0.434204235075491,0.480924881210568,0.22882328977267316,-0.8609183861942367
DC57_1,DC57,Cluster 3,perc_urban,0.0919564105993425,Urban,0.09872583206978074,0.04870933595651575,0.14084422666790042,0.30705606943194014
DC57_1,DC57,Cluster 3,perc_cropland,0.838304070227088,Cropland,0.5584718573694387,0.6239454337793555,0.32723748714239265,0.6550552576345186
DC57_1,DC57,Cluster 3,perc_pasture,0,Pasture,0.05130629633513138,0,0.0993572956234167,0
DC57_1,DC57,Cluster 3,perc_forest,0.0697395191735697,Forest,0.10401747817882706,0.0299214147800638,0.16236497160786373,0.2452382678307777
