comparison,transition,source_cluster,target_cluster,species,n_sites,mean_probability_from,mean_probability_to,mean_probability_delta,median_probability_delta,q10_probability_delta,q90_probability_delta,mean_probability_gain,mean_probability_loss,prop_sites_increase,thermal_group,migratory_strategy,foraging_guild,species_thermal_index,driver_direction,species_label
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Buteo_buteo,142,0.28358325809295803,0.7679734563629776,0.48439019827001956,0.5217753960529384,0.1924675953551074,0.7477448366964485,0.484641021554167,-2.5082328414743416e-4,0.9859154929577465,warm,sedentary and short-distance,Diurnal raptors,12.6973693303,Gain,Buteo buteo
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Phylloscopus_collybita,142,0.43620680519673766,0.970442885324417,0.5342360801276793,0.5284276132141825,0.2456389496037821,0.8124360366332868,0.5342360801276793,0,1,medium,short-distance,Foliage gleaners,11.9465889491,Gain,Phylloscopus collybita
1990s minus 1970s,Cluster 3 to Cluster 2,Cluster 3,Cluster 2,Emberiza_calandra,219,0.9050569933606833,0.7763884261342348,-0.12866856722644862,-0.09470494287927045,-0.34669091382140466,0.023988051398502814,0.01294215749790626,-0.14161072472435488,0.1461187214611872,very warm,sedentary,Buntings,14.2313581317,Loss,Emberiza calandra
1990s minus 1970s,Cluster 3 to Cluster 2,Cluster 3,Cluster 2,Acrocephalus_schoenobaenus,219,0.3441395603385831,0.2185531763682754,-0.12558638397030772,-0.1019623538401694,-0.42585041691871584,0.1317203659898989,0.035174394785258405,-0.1607607787555661,0.319634703196347,cold,long-distance,Marsh warblers,11.3913898283,Loss,Acrocephalus schoenobaenus
1990s minus 1970s,Cluster 3 to Cluster 2,Cluster 3,Cluster 2,Athene_noctua,219,0.210525746851822,0.10917052473431657,-0.10135522211750543,-0.08654620529645739,-0.23941970870585272,-0.0026903697570817846,0.005316102406314151,-0.10667132452381957,0.0958904109589041,very warm,sedentary,Owls,14.2083192272,Loss,Athene noctua
1990s minus 1970s,Cluster 3 to Cluster 2,Cluster 3,Cluster 2,Riparia_riparia,219,0.40500920752037284,0.3479708691279847,-0.057038338392388165,-0.05337423967357974,-0.20949921249289616,0.08710129575189735,0.02296838630921231,-0.08000672470160045,0.3378995433789954,medium,long-distance,Aerial insectivores,11.9550761988,Loss,Riparia riparia
1990s minus 1970s,Cluster 3 to Cluster 2,Cluster 3,Cluster 2,Oenanthe_oenanthe,219,0.13438849846181058,0.10026125532016363,-0.03412724314164695,-0.02072176353392316,-0.12840610626491689,0.0590805144216428,0.015956479764189437,-0.05008372290583639,0.3470319634703196,cold,long-distance,Low flycatching feeders,11.6202368597,Loss,Oenanthe oenanthe
1990s minus 1970s,Cluster 3 to Cluster 2,Cluster 3,Cluster 2,Chroicocephalus_ridibundus,219,0.17663190476982543,0.14624781700470826,-0.030384087765117192,-0.0332149116017961,-0.18512203793933057,0.1160423155278395,0.036081106384791,-0.0664651941499082,0.3789954337899543,cold,short-distance,Gulls,11.0679667544,Loss,Chroicocephalus ridibundus
1990s minus 1970s,Cluster 3 to Cluster 2,Cluster 3,Cluster 2,Tringa_glareola,219,0.04389956849435548,0.020074545789024976,-0.023825022705330504,-0.0015622670375063986,-0.08460084515882808,0.008105307672217359,0.0034844185785888448,-0.027309441283919336,0.3926940639269406,very cold,long-distance,Scolopacids,7.6706167812,Loss,Tringa glareola
1990s minus 1970s,Cluster 3 to Cluster 2,Cluster 3,Cluster 2,Crex_crex,219,0.021339228434720563,0.003943103988197426,-0.01739612444652314,-0.014131060657719624,-0.037315193100392774,-9.53997998285469e-4,3.6443501583020366e-4,-0.01776055946235334,0.0776255707762557,medium,long-distance,Rails,11.9688491073,Loss,Crex crex
1990s minus 1970s,Cluster 3 to Cluster 2,Cluster 3,Cluster 2,Asio_flammeus,219,0.015614817141914181,0.005827076779173113,-0.009787740362741066,-7.515825127468114e-4,-0.03805466732522782,0.0053866338376299715,0.001616187064523082,-0.011403927427264152,0.4018264840182648,very cold,sedentary and short-distance,Owls,9.6200242401,Loss,Asio flammeus
1990s minus 1970s,Cluster 3 to Cluster 2,Cluster 3,Cluster 2,Regulus_ignicapilla,219,0.014051697438198434,0.00850717698124766,-0.005544520456950773,-2.5076260721435613e-4,-0.025395874763642964,0.006768011386354617,0.0035348930164373366,-0.00907941347338811,0.4383561643835616,very warm,short-distance,Tit-like birds,13.1999439071,Loss,Regulus ignicapilla
1990s minus 1970s,Cluster 3 to Cluster 2,Cluster 3,Cluster 2,Chlidonias_niger,219,0.00684557090019027,0.0025021202954656012,-0.004343450604724671,1.615532935691314e-5,-0.016046359197018398,0.002542601091665668,0.0010724013025103483,-0.005415851907235017,0.5068493150684932,very warm,long-distance,Terns,13.0082465521,Loss,Chlidonias niger
1990s minus 1970s,Cluster 3 to Cluster 2,Cluster 3,Cluster 2,Limosa_limosa,219,0.005698549085675711,0.002717851424121246,-0.0029806976615544658,-1.3069944406436806e-6,-0.005436539453078796,0.0014336626385132798,0.0011542086361938679,-0.004134906297748332,0.4383561643835616,medium,long-distance,Scolopacids,12.0468335512,Loss,Limosa limosa
1990s minus 1970s,Cluster 3 to Cluster 2,Cluster 3,Cluster 2,Dendrocopos_major,219,0.5465620653722992,0.9285079219722775,0.3819458565999782,0.35972607805790247,0.09284272578254353,0.6978799073848028,0.38237559461221277,-4.297380122345992e-4,0.9908675799086758,medium,sedentary,Woodpeckers,12.1154284266,Gain,Dendrocopos major
1990s minus 1970s,Cluster 3 to Cluster 2,Cluster 3,Cluster 2,Acrocephalus_palustris,219,0.20824169884727395,0.6015228178258678,0.3932811189785938,0.39054856521902864,0.15158655012262448,0.6514407820185777,0.39480001486315547,-0.0015188958845616235,0.9771689497716894,medium,long-distance,Marsh warblers,12.248077272,Gain,Acrocephalus palustris
1990s minus 1970s,Cluster 3 to Cluster 2,Cluster 3,Cluster 2,Fulica_atra,219,0.4197555677113826,0.8199320028812263,0.4001764351698437,0.39693249383774115,0.12126220630852783,0.6763487977558245,0.4029505783560452,-0.002774143186201499,0.9634703196347032,warm,sedentary and short-distance,Rails,12.9624637063,Gain,Fulica atra
1990s minus 1970s,Cluster 3 to Cluster 2,Cluster 3,Cluster 2,Accipiter_nisus,219,0.33576223690737583,0.7400088669818087,0.4042466300744329,0.3986356270787377,0.14875772140642188,0.674051266547048,0.40460419740381437,-3.5756732938145363e-4,0.9908675799086758,medium,sedentary and short-distance,Diurnal raptors,11.9162821341,Gain,Accipiter nisus
1990s minus 1970s,Cluster 3 to Cluster 2,Cluster 3,Cluster 2,Anas_platyrhynchos,219,0.5060399577659334,0.924517250608811,0.4184772928428776,0.39963656347686183,0.14447291991644015,0.6968578387064079,0.4187781259125918,-3.0083306971419733e-4,0.9954337899543378,cold,sedentary and short-distance,Dabbling ducks,11.8110548425,Gain,Anas platyrhynchos
1990s minus 1970s,Cluster 3 to Cluster 2,Cluster 3,Cluster 2,Muscicapa_striata,219,0.2836394570336012,0.7226010400685345,0.4389615830349333,0.4447078292337775,0.18753853764333558,0.6986420985380972,0.4389615830349333,0,1,medium,long-distance,Flycatchers,12.1492223917,Gain,Muscicapa striata
1990s minus 1970s,Cluster 3 to Cluster 2,Cluster 3,Cluster 2,Phoenicurus_phoenicurus,219,0.27137877618119044,0.7125737852097652,0.4411950090285748,0.44573171213110474,0.17304119584942979,0.7002363665750575,0.4419000409509874,-7.050319224125817e-4,0.9908675799086758,cold,long-distance,Low flycatching feeders,11.3098485667,Gain,Phoenicurus phoenicurus
1990s minus 1970s,Cluster 3 to Cluster 2,Cluster 3,Cluster 2,Phylloscopus_collybita,219,0.5169708095814022,0.9732226790656734,0.4562518694842712,0.46307755078754886,0.16563874124452516,0.7181369272898217,0.4562518694842712,0,1,medium,short-distance,Foliage gleaners,11.9465889491,Gain,Phylloscopus collybita
1990s minus 1970s,Cluster 3 to Cluster 2,Cluster 3,Cluster 2,Pyrrhula_pyrrhula,219,0.22617886896554584,0.6888268994644112,0.4626480304988654,0.4762664215000548,0.16459254541257415,0.7507672051845972,0.4633379193815608,-6.898888826954336e-4,0.9817351598173516,very cold,short-distance,Passerine seedeaters,10.756294956,Gain,Pyrrhula pyrrhula
1990s minus 1970s,Cluster 3 to Cluster 2,Cluster 3,Cluster 2,Buteo_buteo,219,0.42718533041593443,0.9228322964117535,0.495646965995819,0.5337022551387538,0.1651822712635286,0.7789087620676532,0.4958880008834123,-2.4103488759328676e-4,0.9954337899543378,warm,sedentary and short-distance,Diurnal raptors,12.6973693303,Gain,Buteo buteo
1990s minus 1970s,Cluster 3 to Cluster 2,Cluster 3,Cluster 2,Turdus_viscivorus,219,0.262679952269954,0.7970974861139666,0.5344175338440125,0.551019311430705,0.23236895644962566,0.8021935952533149,0.5344175338440125,0,1,medium,short-distance,Thrushes,11.9147042629,Gain,Turdus viscivorus
1990s minus 1970s,Cluster 3 to Cluster 2,Cluster 3,Cluster 2,Acanthis_flammea,219,0.10032969156640753,0.6541874826235621,0.5538577910571545,0.5744686954700382,0.24726589872391347,0.8052726419156098,0.5538810053312891,-2.321427413459777e-5,0.9954337899543378,very cold,short-distance,Passerine seedeaters,8.1923087262,Gain,Acanthis flammea
2010s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Acrocephalus_schoenobaenus,245,0.7861278247265805,0.4277313598323601,-0.35839646489422033,-0.3628509206615174,-0.7059939452652247,-0.03922245040539371,0.006750775404765302,-0.36514724029898565,0.08163265306122448,cold,long-distance,Marsh warblers,11.3913898283,Loss,Acrocephalus schoenobaenus
2010s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Gallinago_gallinago,245,0.6618212808438103,0.31189131427347566,-0.3499299665703347,-0.3318692786904688,-0.6937091055336597,-0.039165139886035344,0.004755871532383452,-0.35468583810271814,0.0653061224489796,very cold,short-distance,Scolopacids,10.2670472691,Loss,Gallinago gallinago
2010s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Chroicocephalus_ridibundus,245,0.4872576634639937,0.16544073959320946,-0.3218169238707842,-0.3185342741200139,-0.5838441314590777,-0.08496287210265288,0.003015211901168837,-0.3248321357719531,0.04897959183673469,cold,short-distance,Gulls,11.0679667544,Loss,Chroicocephalus ridibundus
