site,survey_from,survey_to,bioregion_1,bioregion_3,atlas.x,atlas.y,variable,from,to,delta_raw,variable_label,national_mean_delta,national_median_delta,national_sd_delta,delta_relative_to_national
EG94,EG94_1,EG94_3,Cluster 1,Cluster 1,1,3,hh,0.408160521518029,0.260763834007464,-0.147396687510565,Land-use heterogeneity,0.062003502519162035,0.020709709646520247,0.12453054756068756,-1.3499209667825627
EG94,EG94_1,EG94_3,Cluster 1,Cluster 1,1,3,perc_urban,0.00662877738907846,0.00662877738907846,0,Urban,0.018701331002944264,0,0.04401874318659405,0
EG94,EG94_1,EG94_3,Cluster 1,Cluster 1,1,3,perc_cropland,0.756511494136428,0.853930164343694,0.09741867020726591,Cropland,-0.056888334729859956,-0.025302527806218,0.11283135998622783,1.0876515006861855
EG94,EG94_1,EG94_3,Cluster 1,Cluster 1,1,3,perc_pasture,0.058024475066724,0.058024475066724,0,Pasture,-0.0030859163253946125,0,0.06411020342686834,0
EG94,EG94_1,EG94_3,Cluster 1,Cluster 1,1,3,perc_forest,0,0,0,Forest,0.027693910910736398,0,0.07188363908141222,0
EG94,EG94_1,EG94_3,Cluster 1,Cluster 1,1,3,perc_grass_shrub,0.0974186702072659,0,-0.0974186702072659,Grass/Shrubland,0.012991395739266822,0,0.09111115912383148,-1.0692287437026426
EG95,EG95_1,EG95_3,Cluster 2,Cluster 2,1,3,tmean_breeding,8.39895930718164,9.6789474140143,1.2799881068326595,Temperature,1.166075574822343,1.1432688239924493,0.08658277654253788,1.5790586569263043
EG95,EG95_1,EG95_3,Cluster 2,Cluster 2,1,3,prec_breeding,111.045502909525,182.479697685472,71.43419477594699,Precipitation,76.22566845605704,75.44205569385801,10.600787063580594,-0.37807201426393855
EG95,EG95_1,EG95_3,Cluster 2,Cluster 2,1,3,hh,0.550167528249276,0.589382966087693,0.03921543783841708,Land-use heterogeneity,0.062003502519162035,0.020709709646520247,0.12453054756068756,0.1486039253371019
EG95,EG95_1,EG95_3,Cluster 2,Cluster 2,1,3,perc_urban,0.281874053021563,0.257519385469157,-0.024354667552406006,Urban,0.018701331002944264,0,0.04401874318659405,-0.5532794848132612
EG95,EG95_1,EG95_3,Cluster 2,Cluster 2,1,3,perc_cropland,0.596280755207828,0.571926087655423,-0.024354667552405007,Cropland,-0.056888334729859956,-0.025302527806218,0.11283135998622783,0.008400680927081699
EG95,EG95_1,EG95_3,Cluster 2,Cluster 2,1,3,perc_pasture,0,0,0,Pasture,-0.0030859163253946125,0,0.06411020342686834,0
EG95,EG95_1,EG95_3,Cluster 2,Cluster 2,1,3,perc_forest,0,0,0,Forest,0.027693910910736398,0,0.07188363908141222,0
EG95,EG95_1,EG95_3,Cluster 2,Cluster 2,1,3,perc_grass_shrub,0,0.0487093351048103,0.0487093351048103,Grass/Shrubland,0.012991395739266822,0,0.09111115912383148,0.5346143718642434
EG96,EG96_1,EG96_3,Cluster 2,Cluster 2,1,3,tmean_breeding,8.38402385273834,9.65497923580488,1.270955383066541,Temperature,1.166075574822343,1.1432688239924493,0.08658277654253788,1.474733938699224
EG96,EG96_1,EG96_3,Cluster 2,Cluster 2,1,3,prec_breeding,108.956591412669,178.681618434998,69.725027022329,Precipitation,76.22566845605704,75.44205569385801,10.600787063580594,-0.5393022836172303
EG96,EG96_1,EG96_3,Cluster 2,Cluster 2,1,3,hh,0.0184567362627626,0,-0.0184567362627626,Land-use heterogeneity,0.062003502519162035,0.020709709646520247,0.12453054756068756,-0.31451275752397895
EG96,EG96_1,EG96_3,Cluster 2,Cluster 2,1,3,perc_urban,0.00931513996392884,0,-0.00931513996392884,Urban,0.018701331002944264,0,0.04401874318659405,-0.21161758127537303
EG96,EG96_1,EG96_3,Cluster 2,Cluster 2,1,3,perc_cropland,0.990684860036071,1,0.009315139963928964,Cropland,-0.056888334729859956,-0.025302527806218,0.11283135998622783,0.3068089206260776
EG96,EG96_1,EG96_3,Cluster 2,Cluster 2,1,3,perc_pasture,0,0,0,Pasture,-0.0030859163253946125,0,0.06411020342686834,0
EG96,EG96_1,EG96_3,Cluster 2,Cluster 2,1,3,perc_forest,0,0,0,Forest,0.027693910910736398,0,0.07188363908141222,0
EG96,EG96_1,EG96_3,Cluster 2,Cluster 2,1,3,perc_grass_shrub,0,0,0,Grass/Shrubland,0.012991395739266822,0,0.09111115912383148,0
