atlas,period,bioregion,trait_family,trait_value,expected_group_richness,mean_probability,n_species,n_sites,expected_total_richness_known_trait,proportion,percent
2,1990s,Cluster 2,Migratory strategy,short-and long-distance,622.137033261693,0.06281674406923404,8,1238,80834.19583932971,0.007696458495093898,0.7696458495093897
2,1990s,Cluster 3,Migratory strategy,sedentary,5142.189804515239,0.4138583343674241,35,355,16563.38252398915,0.31045529480875544,31.045529480875544
2,1990s,Cluster 3,Migratory strategy,sedentary and short-distance,4000.702646398379,0.3635349974010341,31,355,16563.38252398915,0.2415389876194711,24.153898761947108
2,1990s,Cluster 3,Migratory strategy,long-distance,3814.882593936766,0.2442306398166949,44,355,16563.38252398915,0.23032026148110624,23.032026148110624
2,1990s,Cluster 3,Migratory strategy,short-distance,3558.4892306129655,0.25702341860693223,39,355,16563.38252398915,0.21484073228756984,21.484073228756984
2,1990s,Cluster 3,Migratory strategy,short-and long-distance,47.118248525800205,0.01659093257950713,8,355,16563.38252398915,0.002844723803097447,0.2844723803097447
3,2010s,Cluster 1,Migratory strategy,long-distance,2444.009617308614,0.35835918142355044,44,155,9639.553475048877,0.25353971256393926,25.353971256393926
3,2010s,Cluster 1,Migratory strategy,short-distance,2407.5350556382127,0.3982688264083053,39,155,9639.553475048877,0.24975586907317876,24.975586907317876
3,2010s,Cluster 1,Migratory strategy,sedentary and short-distance,2384.8040823762253,0.4963171867588391,31,155,9639.553475048877,0.24739777506801303,24.739777506801303
3,2010s,Cluster 1,Migratory strategy,sedentary,2127.160626389164,0.39210334126989216,35,155,9639.553475048877,0.22067003745506775,22.067003745506774
3,2010s,Cluster 1,Migratory strategy,short-and long-distance,276.0440933366611,0.22261620430375895,8,155,9639.553475048877,0.02863660583980125,2.863660583980125
3,2010s,Cluster 2,Migratory strategy,sedentary,31744.27234673018,0.5622933725397236,35,1613,103665.13392797983,0.30621937332164306,30.621937332164308
3,2010s,Cluster 2,Migratory strategy,sedentary and short-distance,24986.057532780203,0.4996911691854499,31,1613,103665.13392797983,0.24102662665866986,24.102662665866987
3,2010s,Cluster 2,Migratory strategy,long-distance,24157.660482314965,0.3403829747268668,44,1613,103665.13392797983,0.23303554017591127,23.30355401759113
3,2010s,Cluster 2,Migratory strategy,short-distance,21192.581413120715,0.3368874912667993,39,1613,103665.13392797983,0.20443306838193082,20.44330683819308
3,2010s,Cluster 2,Migratory strategy,short-and long-distance,1584.5621530337621,0.12279619908817034,8,1613,103665.13392797983,0.015285391461845007,1.5285391461845008
3,2010s,Cluster 3,Migratory strategy,sedentary,2082.773666452056,0.4375574929521116,35,136,6356.00751631298,0.32768584069583356,32.768584069583355
3,2010s,Cluster 3,Migratory strategy,long-distance,1479.3302141750592,0.24721427375920033,44,136,6356.00751631298,0.23274519584476439,23.274519584476437
3,2010s,Cluster 3,Migratory strategy,sedentary and short-distance,1362.2293072541818,0.32310941822917005,31,136,6356.00751631298,0.2143215381287638,21.432153812876383
3,2010s,Cluster 3,Migratory strategy,short-distance,1353.8204921266765,0.2552451908232801,39,136,6356.00751631298,0.2129985668915644,21.299856689156442
3,2010s,Cluster 3,Migratory strategy,short-and long-distance,77.85383630500704,0.07155683483916095,8,136,6356.00751631298,0.012248858439073845,1.2248858439073844
1,1970s,Cluster 1,Foraging guild,Foliage gleaners,2469.6838799212314,0.6843125186814163,9,401,21445.77007779097,0.1151594869740216,11.51594869740216
1,1970s,Cluster 1,Foraging guild,Low flycatching feeders,1741.5970271463705,0.4825705256709253,9,401,21445.77007779097,0.08120934901516785,8.120934901516785
1,1970s,Cluster 1,Foraging guild,Passerine seedeaters,1666.3729012967037,0.3462952828962401,12,401,21445.77007779097,0.07770170505662481,7.770170505662481
1,1970s,Cluster 1,Foraging guild,Tit-like birds,1372.2899363135193,0.285180784770058,12,401,21445.77007779097,0.06398883935320417,6.398883935320416
1,1970s,Cluster 1,Foraging guild,Open-land insectivores,1309.03983470166,0.544073081754639,6,401,21445.77007779097,0.06103953506697756,6.103953506697756
1,1970s,Cluster 1,Foraging guild,Buntings,1089.8521693423725,0.9059452779238345,3,401,21445.77007779097,0.05081898040448604,5.081898040448604
1,1970s,Cluster 1,Foraging guild,Plovers,1084.191907730828,0.4506200780261139,6,401,21445.77007779097,0.05055504669676593,5.055504669676593
1,1970s,Cluster 1,Foraging guild,Omnivorous corvids,1030.1358340891927,0.3669881845704279,7,401,21445.77007779097,0.04803445296450284,4.803445296450284
1,1970s,Cluster 1,Foraging guild,Dabbling ducks,938.6910191551988,0.3344107656413248,7,401,21445.77007779097,0.043770450571383214,4.3770450571383215
1,1970s,Cluster 1,Foraging guild,Scolopacids,938.6589243525233,0.2600883691749853,9,401,21445.77007779097,0.04376895401506656,4.376895401506656
1,1970s,Cluster 1,Foraging guild,Aerial insectivores,899.9640374672911,0.5610748363262414,4,401,21445.77007779097,0.04196464077544527,4.196464077544527
1,1970s,Cluster 1,Foraging guild,Marsh warblers,874.6676834612603,0.3635360280387615,6,401,21445.77007779097,0.04078509096612285,4.078509096612285
1,1970s,Cluster 1,Foraging guild,Thrushes,798.1985444831628,0.49763001526381645,4,401,21445.77007779097,0.03721939298928554,3.721939298928554
1,1970s,Cluster 1,Foraging guild,Rails,761.2129938678526,0.37965735355005115,5,401,21445.77007779097,0.035494784804027964,3.5494784804027963
1,1970s,Cluster 1,Foraging guild,Columbids,592.1163898120687,0.3691498689601421,4,401,21445.77007779097,0.027609938354475724,2.7609938354475725
1,1970s,Cluster 1,Foraging guild,Gulls,425.8796714633166,0.21240881369741493,5,401,21445.77007779097,0.019858446207271122,1.9858446207271123
1,1970s,Cluster 1,Foraging guild,Aquatic pursuers,412.64696002282756,0.17150746468114145,6,401,21445.77007779097,0.019241414904944854,1.9241414904944854
1,1970s,Cluster 1,Foraging guild,Diurnal raptors,391.851279367593,0.13959789076152218,7,401,21445.77007779097,0.01827172808186498,1.8271728081864982
1,1970s,Cluster 1,Foraging guild,Starlings,379.4507530721656,0.9462612296063985,1,401,21445.77007779097,0.01769350094194664,1.769350094194664
