"site","richness_1970s","richness_1990s","delta_richness_1990s_minus_1970s","pct_lnd"
"DB72",55,66,11,100
"DB74",46,55,9,97.711342876688
"DB78",50,68,18,80.5128080431074
"DB79",35,62,27,37.3209101112595
"DB82",54,46,-8,27.7590016723747
"DB83",64,75,11,51.5230378670245
"DB89",60,61,1,62.4383355345561
"DC00",74,92,18,100
"DC01",52,73,21,100
"DC04",67,72,5,82.2589356993454
"DC07",91,78,-13,100
"DC09",46,58,12,100
"DC10",53,60,7,100
"DC11",72,68,-4,100
"DC15",55,75,20,89.0966632096471
"DC18",53,63,10,100
"DC19",55,59,4,100
"DC23",76,67,-9,100
"DC25",49,63,14,81.8775625643873
"DC26",74,71,-3,100
"DC27",54,63,9,100
"DC32",57,51,-6,100
"DC33",63,57,-6,95.0168834549084
"DC40",73,94,21,100
"DC41",58,71,13,100
"DC42",66,70,4,100
"DC53",58,68,10,76.0361843233583
"DC57",49,88,39,100
"DC89",42,68,26,68.9797278353176
"DD00",44,57,13,100
"DD01",68,88,20,100
"DD03",49,81,32,100
"DD05",66,73,7,83.8944270075288
"DD08",60,83,23,100
"DD09",79,70,-9,100
"DD10",54,64,10,100
"DD11",78,73,-5,100
"DD12",69,69,0,100
"DD13",42,54,12,100
"DD16",66,59,-7,92.6023664013214
"DD17",65,62,-3,100
"DD18",69,96,27,100
"DD19",63,73,10,100
"DD21",53,81,28,100
"DD26",70,68,-2,64.4448669779563
"DD28",53,72,19,100
"DD29",67,65,-2,100
"DD30",63,68,5,100
"DD37",57,76,19,91.4966982892208
"DD43",55,75,20,99.5718289426022
"DD47",56,88,32,79.4729357814585
"DD51",67,78,11,92.1588306145469
"DD52",47,76,29,87.3668468060065
"DD53",58,72,14,78.4304721993488
"DD57",61,66,5,73.7605593021301
"DD61",56,61,5,100
"DD63",52,65,13,93.5466207994595
"DD64",55,63,8,45.2918263511844
"DD70",63,78,15,100
"DD72",48,60,12,100
"DD80",63,76,13,100
"DD90",40,79,39,100
"DD91",59,72,13,100
"DE01",79,64,-15,100
"DE03",57,76,19,100
"DE07",69,75,6,100
"DE11",59,90,31,100
"DE15",55,69,14,100
"DE16",53,85,32,100
"DE18",64,67,3,100
"DE21",55,61,6,100
"DE23",63,68,5,100
"DE24",83,76,-7,100
"DE25",64,68,4,100
"DE30",78,63,-15,100
"DE31",53,57,4,100
"DE34",87,90,3,100
"DE35",41,65,24,100
"DE36",59,79,20,100
"DE37",69,76,7,100
"DE38",60,71,11,100
"DE40",80,60,-20,100
"DE43",54,55,1,100
"DE44",86,64,-22,100
"DE50",54,53,-1,75.292574882988
"DE51",83,82,-1,69.3754361019859
"DE52",69,69,0,78.3188858735943
"DE53",69,75,6,49.4253962682819
"DE55",45,48,3,48.4601439776516
"DE68",61,87,26,100
"DE78",54,58,4,99.7182269714088
"DE79",75,79,4,100
"DE84",62,73,11,35.1543424754179
"DE86",43,68,25,75.3756436512183
"DE87",84,83,-1,61.242966140989
"DE90",44,63,19,60.6042271812401
"DE94",47,61,14,31.5524768138695
"DE96",64,88,24,82.0333801747398
"DE97",75,85,10,100
"DE98",61,74,13,100
"DE99",48,57,9,100
"DF05",45,50,5,100
"DF08",37,84,47,95.8749272893791
"DF10",48,39,-9,43.5799219549289
"DF14",71,46,-25,54.0063024856634
"DF15",65,54,-11,100
"DF16",67,69,2,100
"DF17",65,62,-3,74.6081199100685
"DF18",76,77,1,70.9328282569563
"DF19",56,48,-8,100
"DF20",58,71,13,87.8899248197605
"DF25",79,64,-15,83.5574410901051
"DF28",76,77,1,43.3915841775848
"DF29",54,59,5,100
"DF30",60,63,3,100
"DF31",64,78,14,64.2877648217631
"DF37",79,75,-4,26.5421913319952
"DF38",93,93,0,55.4711695882563
"DF41",55,81,26,97.8610774596184
"DF48",60,86,26,75.8996905837873
"DF49",46,53,7,100
"DF51",54,58,4,100
"DF59",74,74,0,59.3753642159204
"DF61",62,58,-4,100
"DF71",52,66,14,100
"DF80",63,71,8,76.3140123142021
"DF96",64,58,-6,46.1699303789047
"DF97",40,63,23,84.0002369062102
"DG00",45,51,6,39.4702399868395
"DG07",74,61,-13,62.7458660521922
"DG08",49,72,23,67.4606067284632
"DG09",68,58,-10,97.2226006122527
"DG16",55,53,-2,78.1995318806875
"DG17",40,83,43,99.8446715739899
"DG22",50,55,5,31.842259892012
"DG23",58,64,6,30.8461752424905
"DG27",51,67,16,100
"DG28",63,71,8,100
"DG34",46,68,22,100
"DG35",65,41,-24,100
"DG41",44,68,24,71.2525560393892
"DG42",73,64,-9,41.4674239498275
"DG43",49,59,10,92.0382550341682
"DG47",52,74,22,100
"DG48",57,74,17,100
"DG49",53,61,8,100
"DG51",81,77,-4,88.1740104933376
"DG56",55,60,5,100
"DG57",76,63,-13,100
"DG58",72,77,5,100
"DG61",87,91,4,97.9923265305891
"DG62",89,95,6,100
"DG63",55,71,16,100
"DG64",70,57,-13,100
"DG67",62,54,-8,100
"DG69",62,75,13,100
"DG71",68,91,23,100
"DG72",71,80,9,100
"DG73",65,74,9,100
"DG74",48,66,18,100
"DG75",74,55,-19,100
"DG76",48,50,2,100
"DG78",68,51,-17,100
"DG79",51,66,15,100
"DG83",49,66,17,100
"DG85",55,42,-13,100
"DG86",57,49,-8,100
"DG87",54,61,7,100
"DG88",71,55,-16,97.6514051232204
"DG89",67,58,-9,35.6656827819701
"DG91",55,64,9,100
"DG92",55,62,7,100
"DG94",73,67,-6,100
"DG95",66,58,-8,100
"DG96",59,82,23,100
"DG97",72,64,-8,100
"DH06",76,62,-14,26.2665076818191
"DH07",73,73,0,84.6169154812907
"DH08",39,65,26,58.821813812655
"DH16",86,74,-12,50.3746482314935
"DH17",83,82,-1,98.1676952406166
"DH18",60,72,12,98.2161883631196
"DH19",64,70,6,59.1086735067987
"DH26",53,52,-1,70.1801069324488
"DH86",66,61,-5,44.5362405776554
"DH98",61,52,-9,29.9231058462953
"DH99",65,68,3,38.1133942778564
"EB03",65,50,-15,83.7991158207561
"EB04",50,61,11,51.6454991248007
"EB06",29,51,22,25.6472423803069
"EB07",62,70,8,94.9494599035673
"EB08",48,71,23,86.432964026578
"EB10",48,70,22,53.2136230718933
"ED00",71,69,-2,100
"ED01",92,86,-6,100
"ED13",58,53,-5,42.2464186919146
"ED23",64,88,24,33.1718020687373
"ED30",55,75,20,73.6109358268201
"EE05",55,63,8,43.3173729530115
"EE07",57,85,28,100
"EE08",59,59,0,100
"EE09",50,64,14,100
"EE15",37,66,29,54.7152689138832
"EE16",67,74,7,67.9470438455257
"EE17",69,92,23,100
"EE19",56,61,5,100
"EE27",63,82,19,52.0571219084988
"EE39",55,72,17,65.5424783622665
"EF00",43,60,17,61.8218879905937
"EF01",73,76,3,56.956477979935
"EF02",71,81,10,30.5801879016525
"EF06",56,70,14,34.4333101033568
"EF07",53,46,-7,57.3205370934334
"EF08",47,69,22,74.0642466834328
"EF09",58,73,15,30.8007596838825
"EF10",52,66,14,77.5058929486332
"EF11",70,54,-16,32.3020209370346
"EF54",52,57,5,33.5592165053064
"EF70",55,65,10,62.3581741739755
"EF71",72,80,8,88.1282037871981
"EF74",71,62,-9,99.6966385156517
"EF75",83,79,-4,35.5510108750493
"EF81",70,84,14,100
"EF82",56,80,24,100
"EF83",61,49,-12,100
"EF85",45,64,19,85.1169538443992
"EF90",58,81,23,100
"EF91",70,92,22,100
"EF92",75,95,20,100
"EF93",80,102,22,100
"EF94",63,94,31,100
"EG00",62,55,-7,81.6471521551656
"EG01",50,58,8,100
"EG02",52,60,8,100
"EG04",88,80,-8,100
"EG05",59,60,1,100
"EG06",57,60,3,100
"EG07",59,48,-11,100
"EG08",58,64,6,99.2700886577149
"EG10",52,63,11,67.7756807348255
"EG11",67,56,-11,100
"EG13",75,64,-11,100
"EG14",47,68,21,100
"EG15",54,69,15,100
"EG17",68,66,-2,100
"EG18",65,58,-7,74.9619683081493
"EG19",45,74,29,34.7213643107285
"EG21",60,48,-12,51.8002480524712
"EG22",66,61,-5,76.7385525574608
"EG23",67,57,-10,98.6752824263287
"EG24",64,62,-2,97.836461386137
"EG25",90,73,-17,74.8468408248863
"EG26",88,69,-19,94.4997573675594
"EG30",38,61,23,27.1187275887049
"EG40",44,50,6,53.7826854879131
"EG42",59,65,6,47.9610699032044
"EG76",76,65,-11,42.8188205238982
