"species","occupied_grid_cells_1970s","occupied_grid_cells_1990s","n_shared_grid_cells","prop_occupied_1970s","prop_occupied_1990s","delta_occupied_grid_cells","delta_occupancy_proportion","delta_occupancy_percentage_points","change_class","records_1970s","records_1990s","records_2010s","foraging_guild_consensus"
"Rallus_aquaticus",177,287,895,0.197765363128492,0.320670391061453,110,0.122905027932961,12.2905027932961,"Increase",177,287,351,"Rails"
"Anas_platyrhynchos",759,866,895,0.84804469273743,0.967597765363128,107,0.119553072625698,11.9553072625698,"Increase",759,866,742,"Dabbling ducks"
"Certhia_brachydactyla",24,130,895,0.0268156424581006,0.145251396648045,106,0.118435754189944,11.8435754189944,"Increase",24,130,302,"Tit-like birds"
"Phoenicurus_phoenicurus",532,638,895,0.594413407821229,0.712849162011173,106,0.118435754189944,11.8435754189944,"Increase",532,638,850,"Low flycatching feeders"
"Periparus_ater",631,733,895,0.705027932960894,0.818994413407821,102,0.113966480446927,11.3966480446927,"Increase",631,733,727,"Tit-like birds"
"Sitta_europaea",445,547,895,0.497206703910615,0.611173184357542,102,0.113966480446927,11.3966480446927,"Increase",445,547,705,"Tit-like birds"
"Haematopus_ostralegus",300,401,895,0.335195530726257,0.44804469273743,101,0.112849162011173,11.2849162011173,"Increase",300,401,424,"Plovers"
"Acrocephalus_scirpaceus",618,718,895,0.690502793296089,0.802234636871508,100,0.111731843575419,11.1731843575419,"Increase",618,718,669,"Marsh warblers"
"Spinus_spinus",87,184,895,0.0972067039106145,0.205586592178771,97,0.108379888268156,10.8379888268156,"Increase",87,184,103,"Passerine seedeaters"
"Corvus_cornix",749,845,895,0.836871508379888,0.94413407821229,96,0.107262569832402,10.7262569832402,"Increase",749,845,783,"Omnivorous corvids"
"Aegithalos_caudatus",312,404,895,0.348603351955307,0.451396648044693,92,0.102793296089385,10.2793296089385,"Increase",312,404,441,"Tit-like birds"
