"survey","coverage","site","atlas","period","species_richness","raw_species_pool_size","pct_lnd"
"BE99_1","Good","BE99","1","1970s",62,201,100
"BF00_1","Good","BF00","1","1970s",58,201,60.6767007659319
"BF02_1","Good","BF02","1","1970s",54,201,90.0620386642933
"BF03_1","Good","BF03","1","1970s",64,201,100
"BF04_1","Good","BF04","1","1970s",48,201,100
"BF05_1","Good","BF05","1","1970s",59,201,100
"BF06_1","Good","BF06","1","1970s",54,201,100
"BF07_1","Good","BF07","1","1970s",53,201,95.872277152451
"BF08_1","Good","BF08","1","1970s",44,201,64.9344661919674
"BF11_1","Good","BF11","1","1970s",58,201,70.0185889959049
"BF12_1","Good","BF12","1","1970s",61,201,91.9410966766758
"BF15_1","Good","BF15","1","1970s",38,201,100
"BF16_1","Good","BF16","1","1970s",43,201,100
"BF18_1","Good","BF18","1","1970s",34,201,38.3930891877643
"BF21_1","Good","BF21","1","1970s",50,201,100
"BF29_1","Good","BF29","1","1970s",58,201,79.788894172775
"BF31_1","Good","BF31","1","1970s",54,201,100
"BF32_1","Good","BF32","1","1970s",73,201,100
"BF33_1","Good","BF33","1","1970s",63,201,100
"BF38_1","Good","BF38","1","1970s",48,201,100
"BF39_1","Good","BF39","1","1970s",60,201,100
"BF40_1","Good","BF40","1","1970s",55,201,100
"BF41_1","Good","BF41","1","1970s",58,201,100
"BF43_1","Good","BF43","1","1970s",49,201,100
"BF44_1","Good","BF44","1","1970s",63,201,100
"BF49_1","Good","BF49","1","1970s",68,201,100
"BF50_1","Good","BF50","1","1970s",55,201,100
"BF58_1","Good","BF58","1","1970s",44,201,100
"BF59_1","Good","BF59","1","1970s",62,201,100
"BF60_1","Good","BF60","1","1970s",59,201,100
"BF61_1","Good","BF61","1","1970s",45,201,100
"BF62_1","Good","BF62","1","1970s",57,201,100
"BF68_1","Good","BF68","1","1970s",58,201,100
"BF69_1","Good","BF69","1","1970s",58,201,100
"BF72_1","Good","BF72","1","1970s",54,201,100
"BF77_1","Good","BF77","1","1970s",51,201,100
"BF78_1","Good","BF78","1","1970s",53,201,100
"BF79_1","Good","BF79","1","1970s",53,201,100
"BF80_1","Good","BF80","1","1970s",52,201,100
"BF81_1","Good","BF81","1","1970s",55,201,100
"BF82_1","Good","BF82","1","1970s",65,201,100
"BF83_1","Good","BF83","1","1970s",60,201,100
"BF88_1","Good","BF88","1","1970s",53,201,100
"BF89_1","Good","BF89","1","1970s",53,201,100
"BF94_1","Good","BF94","1","1970s",50,201,100
"BF97_1","Good","BF97","1","1970s",48,201,100
"BG27_1","Good","BG27","1","1970s",64,201,49.8379213582154
"BG28_1","Good","BG28","1","1970s",59,201,72.4785331288395
"BG29_1","Good","BG29","1","1970s",90,201,45.2829931338949
"BG30_1","Good","BG30","1","1970s",37,201,33.5351059999925
"BG31_1","Good","BG31","1","1970s",85,201,78.6841263949782
"BG32_1","Good","BG32","1","1970s",94,201,68.5141514097215
"BG33_1","Good","BG33","1","1970s",17,201,36.8837338130741
"BG39_1","Good","BG39","1","1970s",55,201,84.5100876705011
"BG41_1","Good","BG41","1","1970s",62,201,34.9995711224918
"BG42_1","Good","BG42","1","1970s",72,201,45.4397723268083
"BG43_1","Good","BG43","1","1970s",40,201,36.7732424325284
"BG45_1","Good","BG45","1","1970s",35,201,31.590058013953
"BG49_1","Good","BG49","1","1970s",67,201,94.2709071021557
"BG50_1","Good","BG50","1","1970s",47,201,55.3606746784871
"BG54_1","Good","BG54","1","1970s",41,201,31.6727779528891
"BG55_1","Good","BG55","1","1970s",73,201,36.9332843715852
"BG60_1","Good","BG60","1","1970s",65,201,100
"BG61_1","Good","BG61","1","1970s",60,201,100
"BG62_1","Good","BG62","1","1970s",69,201,99.4188440712721
"BG63_1","Good","BG63","1","1970s",74,201,100
"BG64_1","Good","BG64","1","1970s",60,201,100
"BG65_1","Good","BG65","1","1970s",60,201,100
"BG66_1","Good","BG66","1","1970s",65,201,100
"BG70_1","Good","BG70","1","1970s",50,201,100
"BG71_1","Good","BG71","1","1970s",52,201,100
"BG72_1","Good","BG72","1","1970s",62,201,100
"BG73_1","Good","BG73","1","1970s",66,201,100
"BG74_1","Good","BG74","1","1970s",55,201,100
"BG75_1","Good","BG75","1","1970s",54,201,100
"BG76_1","Good","BG76","1","1970s",82,201,100
"BG79_1","Good","BG79","1","1970s",47,201,100
"BG80_1","Good","BG80","1","1970s",59,201,100
"BG81_1","Good","BG81","1","1970s",51,201,100
"BG82_1","Good","BG82","1","1970s",51,201,100
"BG83_1","Good","BG83","1","1970s",65,201,100
"BG84_1","Good","BG84","1","1970s",56,201,100
"BG85_1","Good","BG85","1","1970s",74,201,100
"BG86_1","Good","BG86","1","1970s",52,201,100
"BG90_1","Good","BG90","1","1970s",62,201,100
"BG91_1","Good","BG91","1","1970s",52,201,100
"BG92_1","Good","BG92","1","1970s",57,201,100
"BG93_1","Good","BG93","1","1970s",66,201,100
