bioregion,species,expected_occurrence_sum,expected_occurrence_share,n_sites,mean_predicted_probability,rank_in_cluster,thermal_group,migratory_strategy,foraging_guild,species_thermal_index,species_label
Cluster 1,Certhia_familiaris,34.456723897107054,0.0016066909125725488,401,0.08592699226211235,104,cold,sedentary,Tit-like birds,11.119463211,Certhia familiaris
Cluster 1,Porzana_porzana,34.18507713580751,0.0015940242300372894,401,0.08524956891722571,105,warm,long-distance,Rails,12.4064941754,Porzana porzana
Cluster 1,Picus_viridis,33.93597670087556,0.0015824088656074564,401,0.08462837082512607,106,warm,sedentary,Woodpeckers,12.9413688865,Picus viridis
Cluster 1,Corvus_corone,33.0670451694546,0.0015418912470622117,401,0.08246145927544789,107,medium,sedentary,Omnivorous corvids,12.1293990446,Corvus corone
Cluster 1,Somateria_mollissima,32.634662267156,0.0015217295601313997,401,0.08138319767370575,108,very cold,short-distance,Diving ducks,8.1688294838,Somateria mollissima
Cluster 1,Aegithalos_caudatus,31.978460280633353,0.0014911313589876596,401,0.07974678374222781,109,warm,sedentary,Tit-like birds,12.6607518772,Aegithalos caudatus
Cluster 1,Lullula_arborea,28.660841090517668,0.0013364332913462754,401,0.0714734191783483,110,very warm,short-distance,Open-land insectivores,13.4719748078,Lullula arborea
Cluster 1,Ardea_cinerea,26.34011042221482,0.0012282193797038031,401,0.06568606090327886,111,warm,sedentary and short-distance,Wading birds,12.6943991523,Ardea cinerea
Cluster 1,Crex_crex,25.95606513656324,0.0012103116391909412,401,0.06472834198644199,112,medium,long-distance,Rails,11.9688491073,Crex crex
Cluster 1,Tringa_glareola,25.668187764174473,0.001196888135565539,401,0.06401044330218073,113,very cold,long-distance,Scolopacids,7.6706167812,Tringa glareola
Cluster 1,Oriolus_oriolus,24.891050855623064,0.0011606508306922483,401,0.06207244602399767,114,very warm,long-distance,Orioles,13.4707159049,Oriolus oriolus
Cluster 1,Thalasseus_sandvicensis,23.674845164057682,0.0011039400813391686,401,0.059039514124832125,115,medium,short-and long-distance,Terns,12.309341223,Thalasseus sandvicensis
Cluster 1,Loxia_curvirostra,23.324288640333545,0.0010875938964060767,401,0.05816530833000884,116,very cold,sedentary and short-distance,Passerine seedeaters,10.4943181045,Loxia curvirostra
