survey,beta_turnover,site,X,Y,tmean_breeding,prec_breeding,hh,perc_urban,perc_cropland,perc_pasture,perc_forest,perc_grass_shrub,local_i,local_p,local_cluster,global_moran_i,global_moran_p,atlas,period
BF53_1,0.20004760320635795,BF53,477500.08021795313,6167499.7500125235,8.51848721979998,139.224010766459,0.40350257995222,0.114534447991229,0.759540376529097,0.0257285931314816,0.0484919513079038,0.0517046310402884,-0.023769295980359987,1.859638582464292e-5,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BC10_1,0.2932927347883767,BC10,457500.06312543934,6302499.745828598,8.31374268728592,141.546839788868,0.595505549096321,0,0,0.411457968206845,0.0744125014939774,0.257464753724383,0.10937691014760643,1.0497818643632898e-5,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF54_1,0.26488260989909773,BF54,477500.057860584,6172499.75480094,8.49565918648762,141.337559790393,0.487479883200617,0.0846055221581212,0.698199417524557,0.0487093360187916,0.0685666468448703,0.0999190774536597,0.04174944959329917,1.3046023653882057e-5,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF55_1,0.20968144026049182,BF55,477500.0461591174,6177499.796539538,8.42980166899797,142.466284279423,0.231797669882999,0.0498474812186315,0.864911180746545,0,0,0.0852413380348241,-0.014217813169774121,1.2125859499054961e-5,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF56_1,0.42383493849880755,BF56,477500.10749606375,6182499.763586155,8.41713495984534,140.757583818603,0.366630625602485,0.0926906162446296,0.785536043703304,0.0487093360208266,0,0.0730640040312399,0.19392926574634306,1.2680295964998796e-5,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF57_1,0.21642957260494392,BF57,477500.05456016917,6187499.768187857,8.38258899197991,144.091302182958,0.216138588632615,0.0575591671570729,0.881554162819234,0,0.0121773340047385,0.048709336018954,-0.0075532607738131915,5.604075558453627e-6,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF58_1,0.258297785764057,BF58,477500.0757376356,6192499.809343387,8.48800658287287,140.395200768155,0.141689835423764,0.00137392512047095,0.924884155998939,0.0506890079844475,0.0171157759474797,0.00593713494866311,0.03357881474340217,2.4633207681150356e-5,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF59_1,0.22688312021251983,BF59,477500.10798379144,6197499.776060057,8.54756822710748,142.501654035571,0.626164346297378,0.0049469651675895,0.282145960147607,0.489606791926721,0,0.223300282758082,0.0030448692652258968,5.8318534979415246e-5,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF60_1,0.1744150057042501,BF60,482500.0368470739,6152499.882651542,8.56078331625383,139.760698083827,0,0,1,0,0,0,-0.049675111208088325,1.3575844555880544e-5,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF61_1,0.19243546525161437,BF61,482500.0271999943,6157499.849245702,8.50528609157829,141.005497892734,0.0784089740835261,0.040875275161273,0.959124724838727,0,0,0,-0.030203104895773433,2.358249100491371e-5,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
