atlas,survey,beta_turnover,site,X,Y
1,DG28_1,0.19762207495741285,DG28,562500.0706574302,6142499.967904787
1,DG29_1,0.1865290468729859,DG29,562500.0814846822,6147499.984051399
1,BD59_1,0.23323291896893786,BD59,477500.06639862224,6297499.708461465
1,DG33_1,0.1689345323369058,DG33,567500.1053109345,6117499.863251292
1,DG34_1,0.2024820302322101,DG34,567500.1228144517,6122499.919391854
1,DG35_1,0.18878751384548612,DG35,567500.1194090074,6127499.9028383605
1,DG36_1,0.2314357127133632,DG36,567500.0926647738,6132499.924840984
1,DG37_1,0.2036171053329935,DG37,567500.1069042278,6137499.875061364
1,DG38_1,0.20128442822666895,DG38,567500.0944806039,6142499.975064417
1,DG39_1,0.21005053026427997,DG39,567500.0597612784,6147499.890981247
1,DG41_1,0.2671048953064957,DG41,572500.1270477285,6107499.844195573
1,DG42_1,0.22036758213215515,DG42,572500.1240832573,6112499.841285639
1,AE93_1,0.4537160484045698,AE93,447500.1701742312,6217499.746982312
1,BD60_1,0.22582506491809612,BD60,482500.06846866757,6252499.64834874
1,DG43_1,0.1890704689483663,DG43,572500.0844316228,6117499.87702596
1,DG44_1,0.1675454275152821,DG44,572500.1345045101,6122499.95346573
1,DG45_1,0.23199627625736627,DG45,572500.0844221165,6127499.956186771
1,DG46_1,0.21423837258531497,DG46,572500.123968225,6132499.888275696
1,DG47_1,0.19787905438276485,DG47,572500.1215920995,6137499.970183186
1,DG48_1,0.19584497581018678,DG48,572500.0801946897,6142499.979324352
1,DG49_1,0.20573979894156147,DG49,572500.0622560608,6147499.916709808
1,DG51_1,0.23117120732463348,DG51,577500.0918429886,6107499.86185285
1,DG52_1,0.21973085266788717,DG52,577500.0899779424,6112499.887439063
1,BD61_1,0.17592494371287148,BD61,482500.09796961857,6257499.682375004
1,DG53_1,0.17486932610835348,DG53,577500.1013102453,6117499.841510532
1,DG54_1,0.21216101075187,DG54,577500.1209952927,6122499.946588742
1,DG56_1,0.17342640144233235,DG56,577500.129765069,6132499.940893321
1,DG57_1,0.22774262807423548,DG57,577500.1151194031,6137499.9413368525
1,DG58_1,0.22856313339285006,DG58,577500.1070374141,6142499.981399613
1,DG59_1,0.190004659651961,DG59,577500.1065061892,6147499.949774658
1,DG60_1,0.302256350100964,DG60,582500.1033814047,6102499.898955876
1,DG61_1,0.2523674082153477,DG61,582500.1087734731,6107499.811257644
1,DG62_1,0.2761791640857864,DG62,582500.1086388057,6112499.874676149
1,DG63_1,0.17897253936844662,DG63,582500.106121318,6117499.866638746
1,DG64_1,0.19858538111989427,DG64,582500.0981873247,6122499.898389105
1,DG65_1,0.19649007226419493,DG65,582500.1494407246,6127499.859806266
1,DG66_1,0.2064157595465562,DG66,582500.1276752406,6132499.971046642
1,DG67_1,0.18754606505392585,DG67,582500.1017190362,6137499.899436134
1,DG68_1,0.22038291597891926,DG68,582500.127661447,6142499.979957241
1,DG69_1,0.1867621815433605,DG69,582500.0820257012,6147499.987659226
1,DG70_1,0.24335213377991846,DG70,587500.1040743836,6102499.842870175
1,DG71_1,0.1970980089866975,DG71,587500.1277292037,6107499.8022988215
