survey,richness,site,X,Y,tmean_breeding,prec_breeding,hh,perc_urban,perc_cropland,perc_pasture,perc_forest,perc_grass_shrub,local_i,local_p,local_cluster,global_moran_i,global_moran_p,atlas,period
DG22_2,54.130006764227836,DG22,562500.0912223725,6112499.9040538985,8.67782277820486,190.198200337445,0.516591410109531,0.0138321361041617,0.0816317999733894,0.0974186691394997,0,0.0730640018546248,0.034940897753941776,0.04077018938674744,Low-low,0.04473625550928367,8.084712317106615e-238,2,1990s
DG23_2,62.540332912021576,DG23,562500.0828425015,6117499.910760884,8.6554717675989,189.173240418226,0.657995816899608,0.0487093345722462,0.167688726279459,0.0243546672861231,0.052233928149074,0.122121444185596,-0.005900253473403808,0.07595650373246698,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG24_2,39.53591164518996,DG24,562500.1336018639,6122499.845666463,8.4598444522075,199.54581179742,0.461190521028449,0.146128003708734,0.710931062446748,0,0.0346622097899333,0.103986629369767,0.05529410924853999,0.25723707927717077,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG25_2,44.28016356312309,DG25,562500.112409009,6127499.929512105,8.37972528747502,196.365364414422,0.0582174940284325,0.0182660004635745,0.969556665894043,0.012177333642383,0,0,0.04101999833152092,0.27150936279565224,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG26_2,45.25903375319903,DG26,562500.085315404,6132499.940609023,8.39493591650473,197.792066875104,0.19259368938196,0.0487093345724396,0.895493932844678,0,0,0.0557967325828822,0.037317672452870015,0.275254110161489,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG27_2,66.7595246328701,DG27,562500.1149576314,6137499.879825633,8.30732938039205,200.732202946877,0.625611137983254,0.122819236722973,0.532647459366396,0,0.258200391689277,0.0863329122213534,-0.018543412272640936,0.12559596858019814,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG28_2,70.33037102729905,DG28,562500.0706574302,6142499.967904787,8.37885518422479,190.064864111901,0.559223532408772,0.25369888277144,0.60484736835103,0,0.0872885743588489,0.054165174518681,-0.037789540532484046,0.05030997556033024,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG29_2,47.53537904597655,DG29,562500.0814846822,6147499.984051399,8.44923604920032,184.087163859374,0.17859221454681,0.0955449575468283,0.90126069389293,0,0.00114801738199969,0.00204633117824163,0.05249822797147443,0.05469473275839876,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG34_2,65.50901488486231,DG34,567500.1228144517,6122499.919391854,8.32848955034308,198.501308604633,0.0583818460646273,0,0.969574821665433,0,0,0.0304251783345672,-0.008235532474837288,0.4191874623922815,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG35_2,45.07545814581367,DG35,567500.1194090074,6127499.9028383605,8.19096383435898,200.806322560086,0.382589626671086,0,0.75510181233879,0,0.213519539446001,0.0313786482152088,0.02821471281774242,0.4232289266220645,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
