response,atlas,period,bandwidth,bandwidth_value,model_id,model_type,predictor,model_label,survey,site,X,Y,observed,fitted,residual,coefficient,local_se,local_t,abs_local_t,local_r2,supported,direction
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG31_2,BG31,467499.9036355267,6107499.750328558,93.50189085109872,65.78613756425017,27.715753286848553,6.22178281965873,0.7467056706092701,8.332309589375562,8.332309589375562,0.24041868801147806,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG32_2,BG32,467499.9121467563,6112499.746075479,81.39903495730556,62.075974540609614,19.323060416695945,6.1175237245020915,0.7290164007654081,8.39147612876636,8.39147612876636,0.24035184303173168,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG33_2,BG33,467499.8958406751,6117499.779495673,26.184293580690298,55.018731888700394,-28.834438308010096,6.0009189584156015,0.7129969394689823,8.416472254263667,8.416472254263667,0.24042626935112676,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG39_2,BG39,467500.05551854515,6147499.874007825,42.124388781960114,59.439074520594254,-17.31468573863414,5.122107928191751,0.6505682195213488,7.87328334599607,7.87328334599607,0.24136758093385025,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG41_2,BG41,472499.9268347365,6107499.810952676,66.99013392960963,62.68818737154494,4.301946558064685,6.181967789384834,0.7267298308393048,8.506555706190348,8.506555706190348,0.2392842937020893,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG42_2,BG42,472499.93091908237,6112499.750577684,63.21011860027019,61.51368808623776,1.6964305140324356,6.073224781394339,0.70877262897508575,8.568650273891743,8.568650273891743,0.23876013584019432,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG43_2,BG43,472499.9588106177,6117499.838705269,38.15857738928033,59.30130196179724,-21.14272457251691,5.953749438471508,0.6925204812706278,8.59721784335915,8.59721784335915,0.2384382873216852,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG45_2,BG45,472500.0200716098,6127499.904365897,45.60536041366975,60.07808314738651,-14.472722733716758,5.695444359825325,0.6647753875083487,8.567471760909315,8.567471760909315,0.23821876748995274,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG49_2,BG49,472500.049228468,6147499.927300755,62.176796387755424,65.82767007469236,-3.65087368693694,5.055589275643572,0.6289992286947241,8.037512678886337,8.037512678886337,0.23677550037501865,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG50_2,BG50,477499.9973141816,6102499.728152928,51.519556466977384,61.83681557513192,-10.317259108154538,6.234147127831564,0.7289282140067165,8.55248432978631,8.55248432978631,0.23854031234614648,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG55_2,BG55,477500.03509173164,6127499.82340314,76.40249799341446,60.479571491041284,15.922926502373173,5.639137226899807,0.6456133120193007,8.734542987135965,8.734542987135965,0.23508492314146168,TRUE,Positive
