Species,atlas,period,PC1,PC2
Pyrrhula_pyrrhula,1,1970s,0.3549147295527864,-0.2677595342252784
Rallus_aquaticus,1,1970s,0.09644691976645742,-0.11587254121668955
Recurvirostra_avosetta,1,1970s,-1.156720232855632,-0.047537471523423865
Regulus_ignicapilla,1,1970s,0.21749247234637653,0.27609308915924086
Regulus_regulus,1,1970s,0.3764045035941347,-0.026281810656834628
Remiz_pendulinus,1,1970s,-0.08231907763177226,-0.23001138105402993
Riparia_riparia,1,1970s,-0.01729259971092543,-0.15972388679716298
Saxicola_rubetra,1,1970s,0.2696698765601897,0.012909601461911764
Scolopax_rusticola,1,1970s,0.3308816831971712,-0.18471085121596403
Serinus_serinus,1,1970s,-0.3945434789657761,-0.1571488387421651
Sitta_europaea,1,1970s,0.3917173006615055,-0.0793346620694202
Somateria_mollissima,1,1970s,-0.8858353284015209,-0.5253081654966172
Spatula_clypeata,1,1970s,-0.2780857988465465,0.11836032022277704
Spatula_querquedula,1,1970s,-0.22358293521044764,0.21784380434246564
Spinus_spinus,1,1970s,-0.005931862426840262,-0.0252794169295942
Sterna_hirundo,1,1970s,-0.6700588376454171,0.08318699309793125
Sterna_paradisaea,1,1970s,-1.2827964642324126,0.02412729836409218
Sternula_albifrons,1,1970s,-1.0188310101622842,-0.017295404889680767
Streptopelia_decaocto,1,1970s,0.21251980539745594,-0.04614549857726285
Streptopelia_turtur,1,1970s,-0.2943149007120839,0.22906955883036204
Strix_aluco,1,1970s,0.3236470562332,-0.1867274314986553
Sturnus_vulgaris,1,1970s,0.41223318793700864,-0.09694713216092637
Sylvia_atricapilla,1,1970s,0.2817688410995565,-0.07194971187045135
Sylvia_borin,1,1970s,0.24788005930944776,-0.15146599060501398
Tachybaptus_ruficollis,1,1970s,0.239788342006815,-0.00606427033490607
Tadorna_tadorna,1,1970s,-0.5514572956998366,-0.12988962293725761
Thalasseus_sandvicensis,1,1970s,-0.7854572119376475,0.13101231324200513
Tringa_glareola,1,1970s,0.2120946236275817,0.6574304178425256
Tringa_ochropus,1,1970s,0.3414469797531205,-0.03360023149575366
Tringa_totanus,1,1970s,-0.7584133700865919,-0.02454890402665833
Troglodytes_troglodytes,1,1970s,0.3665452528412393,-0.14839645785666034
Turdus_merula,1,1970s,0.6178451959284385,-0.11372616373440717
Turdus_philomelos,1,1970s,0.49948326300199003,0.03403837147341307
Turdus_pilaris,1,1970s,-0.07746855566801751,-0.17775084357524054
Turdus_viscivorus,1,1970s,0.21269258024571824,0.28598660061287945
Tyto_alba,1,1970s,0.056747201958748425,0.3626958358484893
Vanellus_vanellus,1,1970s,0.06840770391711609,0.1301630984933236
Acanthis_flammea,2,1990s,-0.1621093555340047,0.015166121163598877
Accipiter_nisus,2,1990s,0.3270309490509938,-0.23509080559856826
Acrocephalus_arundinaceus,2,1990s,0.1629095882374169,-0.019840954266156917
Acrocephalus_palustris,2,1990s,0.21045305225656763,-0.061569422388913796
Acrocephalus_schoenobaenus,2,1990s,0.009114393829632441,-0.10463382236544082
Acrocephalus_scirpaceus,2,1990s,-0.1862517691507298,-0.18018257583512728
Aegithalos_caudatus,2,1990s,0.20745416956974547,-0.13721535083180364
Alauda_arvensis,2,1990s,-0.17054791673952407,-0.10370002588831603
Alcedo_atthis,2,1990s,0.7825665680566415,0.25096237627181284
Anarhynchus_alexandrinus,2,1990s,-0.7329590475010918,0.15239060404610036
Anas_acuta,2,1990s,-0.8995316736658101,0.14307566658341328
Anas_crecca,2,1990s,0.08733051908727,0.12095737879973807
Anas_platyrhynchos,2,1990s,0.17646397189898755,-0.12385494509468034
Anser_anser,2,1990s,0.054399076682465276,-0.02036974953009067
Anthus_pratensis,2,1990s,-0.47909110582652914,0.12468125615493429
Anthus_trivialis,2,1990s,0.4280380253137866,0.2886573354663239
Apus_apus,2,1990s,0.25605839138665887,-0.33201222142106684
Ardea_cinerea,2,1990s,-0.1276146903784096,-0.010653515102463292
Asio_flammeus,2,1990s,-0.24687935401359007,0.09962076289714833
Asio_otus,2,1990s,0.28878569120271663,-0.27115121005701676
Astur_gentilis,2,1990s,0.5186863250169925,0.12243024981285709
Athene_noctua,2,1990s,0.22437719484014834,-0.130418525317682
Aythya_ferina,2,1990s,0.06613979283556552,-0.18596234961574656
Aythya_fuligula,2,1990s,0.14852276696734867,-0.04383559028724568
Botaurus_stellaris,2,1990s,-0.21431994137826113,0.19973353232131694
Buteo_buteo,2,1990s,0.4633331967370647,0.03591492781383881
Calidris_alpina,2,1990s,-0.8403292127681541,-0.0017277260247391942
Calidris_pugnax,2,1990s,-0.4452155073143808,0.3259029474592436
Caprimulgus_europaeus,2,1990s,0.11433826480327913,0.042614689735253286
Carduelis_carduelis,2,1990s,0.02193743040005122,0.11942978503569979
Carpodacus_erythrinus,2,1990s,-0.6397039623353675,-0.21998616144217306
Certhia_brachydactyla,2,1990s,-0.23245446265754371,0.4691651169246949
Certhia_familiaris,2,1990s,0.3009249462587391,-0.0686405083991492
Charadrius_dubius,2,1990s,0.4093234099606405,0.054697157563136214
Charadrius_hiaticula,2,1990s,-1.071062349530576,-0.10749200741397467
Chlidonias_niger,2,1990s,-0.04576812374819751,0.01580628630970415
Chloris_chloris,2,1990s,0.23572187247440685,-0.20711781445757294
Chroicocephalus_ridibundus,2,1990s,-0.2621719807417202,0.043958291938411484
Cinclus_cinclus,2,1990s,0.25225994139663477,-0.4877483926898385
Circus_aeruginosus,2,1990s,-0.09241516101469936,-0.05202650316641538
Circus_pygargus,2,1990s,0.21312678932046655,0.4902393261995766
Coccothraustes_coccothraustes,2,1990s,0.4164297343683281,0.013615283924829776
Coloeus_monedula,2,1990s,0.5304811518923048,-0.3588502245317105
Columba_oenas,2,1990s,0.10951163060662496,-0.0376274595216317
Columba_palumbus,2,1990s,0.5875572663087758,-0.21518925355298218
Corvus_corax,2,1990s,0.19318452019656454,0.16405563504284723
Corvus_cornix,2,1990s,0.32234470085365113,-0.30816306018310935
Corvus_corone,2,1990s,-0.19182894391520883,0.6308329876787624
Corvus_frugilegus,2,1990s,0.2421530744646704,-0.4889153080758762
Coturnix_coturnix,2,1990s,0.14058811846328298,0.11337596486012079
